context,p,r,f1,n_pos,total_pos,n_neg,total_neg
also,0.9229249011857708,0.8115942028985508,0.8396534322528215,47,60,0,9
between,0.9206049149338374,0.7971014492753623,0.828086546349467,46,60,0,9
pastry,0.9184782608695652,0.782608695652174,0.8164878599661207,45,60,0,9
tops,0.9165217391304348,0.7681159420289855,0.8048396616171551,44,60,0,9
humble,0.9147157190635451,0.7536231884057971,0.7931254899595971,43,60,0,9
pear,0.9130434782608695,0.7391304347826086,0.7813299232736572,42,60,0,9
half,0.8689613526570049,0.7246376811594203,0.7675512892904198,43,60,2,9
almond,0.9100449775112445,0.7101449275362319,0.7574370709382151,40,60,0,9
edge,0.9100449775112445,0.7101449275362319,0.7574370709382151,40,60,0,9
18,0.8875086266390614,0.7101449275362319,0.7570332480818415,41,60,1,9
passion,0.9086956521739131,0.6956521739130435,0.7453126583561367,39,60,0,9
grape,0.9086956521739131,0.6956521739130435,0.7453126583561367,39,60,0,9
firm,0.8856233903953945,0.6956521739130435,0.7451687589440495,40,60,1,9
15,0.8442028985507246,0.6956521739130435,0.7430830039525692,42,60,3,9
known,0.883808095952024,0.6811594202898551,0.7331807780320367,39,60,1,9
third,0.883808095952024,0.6811594202898551,0.7331807780320367,39,60,1,9
60,0.883808095952024,0.6811594202898551,0.7331807780320367,39,60,1,9
developed,0.9074333800841514,0.6811594202898551,0.7330523513753328,38,60,0,9
tray,0.9074333800841514,0.6811594202898551,0.7330523513753328,38,60,0,9
bites,0.9074333800841514,0.6811594202898551,0.7330523513753328,38,60,0,9
plum,0.9074333800841514,0.6811594202898551,0.7330523513753328,38,60,0,9
fig,0.9074333800841514,0.6811594202898551,0.7330523513753328,38,60,0,9
apple,0.9074333800841514,0.6811594202898551,0.7330523513753328,38,60,0,9
tart,0.9074333800841514,0.6811594202898551,0.7330523513753328,38,60,0,9
apricot,0.9074333800841514,0.6811594202898551,0.7330523513753328,38,60,0,9
another,0.8619737750172533,0.6811594202898551,0.7327365728900255,40,60,2,9
first,0.8619737750172533,0.6811594202898551,0.7327365728900255,40,60,2,9
about,0.8619737750172533,0.6811594202898551,0.7327365728900255,40,60,2,9
did,0.8619737750172533,0.6811594202898551,0.7327365728900255,40,60,2,9
each,0.882051282051282,0.6666666666666666,0.7210567210567209,38,60,1,9
produced,0.882051282051282,0.6666666666666666,0.7210567210567209,38,60,1,9
town,0.882051282051282,0.6666666666666666,0.7210567210567209,38,60,1,9
cut,0.882051282051282,0.6666666666666666,0.7210567210567209,38,60,1,9
rest,0.8597560975609756,0.6666666666666666,0.7208991169387209,39,60,2,9
onto,0.90625,0.6666666666666666,0.7206437012823736,37,60,0,9
ripe,0.90625,0.6666666666666666,0.7206437012823736,37,60,0,9
double,0.90625,0.6666666666666666,0.7206437012823736,37,60,0,9
difference,0.90625,0.6666666666666666,0.7206437012823736,37,60,0,9
slice,0.90625,0.6666666666666666,0.7206437012823736,37,60,0,9
notes,0.90625,0.6666666666666666,0.7206437012823736,37,60,0,9
cheesecake,0.90625,0.6666666666666666,0.7206437012823736,37,60,0,9
were,0.8575712143928036,0.6521739130434783,0.708924485125858,38,60,2,9
through,0.8575712143928036,0.6521739130434783,0.708924485125858,38,60,2,9
atop,0.8575712143928036,0.6521739130434783,0.708924485125858,38,60,2,9
becomes,0.8575712143928036,0.6521739130434783,0.708924485125858,38,60,2,9
less,0.8575712143928036,0.6521739130434783,0.708924485125858,38,60,2,9
famous,0.8575712143928036,0.6521739130434783,0.708924485125858,38,60,2,9
not,0.8803425112571049,0.6521739130434783,0.7087843833185448,37,60,1,9
center,0.8803425112571049,0.6521739130434783,0.7087843833185448,37,60,1,9
almonds,0.8803425112571049,0.6521739130434783,0.7087843833185448,37,60,1,9
look,0.8803425112571049,0.6521739130434783,0.7087843833185448,37,60,1,9
off,0.8803425112571049,0.6521739130434783,0.7087843833185448,37,60,1,9
still,0.8803425112571049,0.6521739130434783,0.7087843833185448,37,60,1,9
nut,0.8803425112571049,0.6521739130434783,0.7087843833185448,37,60,1,9
annual,0.9051383399209486,0.6521739130434783,0.7080745341614906,36,60,0,9
surrounded,0.9051383399209486,0.6521739130434783,0.7080745341614906,36,60,0,9
yields,0.9051383399209486,0.6521739130434783,0.7080745341614906,36,60,0,9
corner,0.9051383399209486,0.6521739130434783,0.7080745341614906,36,60,0,9
pistachio,0.9051383399209486,0.6521739130434783,0.7080745341614906,36,60,0,9
cherry,0.9051383399209486,0.6521739130434783,0.7080745341614906,36,60,0,9
even,0.855406911928651,0.6376811594202898,0.6968007837573056,37,60,2,9
under,0.855406911928651,0.6376811594202898,0.6968007837573056,37,60,2,9
especially,0.855406911928651,0.6376811594202898,0.6968007837573056,37,60,2,9
14,0.855406911928651,0.6376811594202898,0.6968007837573056,37,60,2,9
19,0.8786721504112809,0.6376811594202898,0.6963518492199714,36,60,1,9
allow,0.8786721504112809,0.6376811594202898,0.6963518492199714,36,60,1,9
