context,p,r,f1,n_pos,total_pos,n_neg,total_neg
built,0.9130116959064328,0.8425925925925926,0.8567478738589609,70,87,0,21
table,0.900516795865633,0.7962962962962963,0.8165661549707601,65,87,0,21
rooms,0.898358585858586,0.7870370370370371,0.8084960661119601,64,87,0,21
dining,0.8943236714975845,0.7685185185185185,0.7922857747058889,62,87,0,21
sitting,0.890625,0.75,0.7759538598047914,60,87,0,21
desk,0.890625,0.75,0.7759538598047914,60,87,0,21
room,0.8888888888888888,0.7407407407407407,0.7677321156773211,59,87,0,21
tables,0.8888888888888888,0.7407407407407407,0.7677321156773211,59,87,0,21
kitchen,0.8872222222222221,0.7314814814814815,0.7594679186228482,58,87,0,21
installed,0.8731481481481481,0.7314814814814815,0.7593578494199612,59,87,1,21
her,0.8598839021349541,0.7314814814814815,0.7590514986588311,60,87,2,21
upstairs,0.8856209150326797,0.7222222222222222,0.7511574074074074,57,87,0,21
sits,0.8856209150326797,0.7222222222222222,0.7511574074074074,57,87,0,21
sit,0.8856209150326797,0.7222222222222222,0.7511574074074074,57,87,0,21
office,0.8712671509281679,0.7222222222222222,0.7511415525114155,58,87,1,21
where,0.8577490989419835,0.7222222222222222,0.7509273979862214,59,87,2,21
old,0.8577490989419835,0.7222222222222222,0.7509273979862214,59,87,2,21
set,0.8516666666666667,0.6944444444444444,0.7262910798122066,56,87,2,21
works,0.8659569597069597,0.6944444444444444,0.7262030207235687,55,87,1,21
boxes,0.8659569597069597,0.6944444444444444,0.7262030207235687,55,87,1,21
display,0.8659569597069597,0.6944444444444444,0.7262030207235687,55,87,1,21
used,0.8381944444444444,0.6944444444444444,0.7261658286503007,57,87,3,21
sofa,0.8811728395061729,0.6944444444444444,0.7259101654846337,54,87,0,21
sat,0.8811728395061729,0.6944444444444444,0.7259101654846337,54,87,0,21
library,0.8811728395061729,0.6944444444444444,0.7259101654846337,54,87,0,21
bar,0.8811728395061729,0.6944444444444444,0.7259101654846337,54,87,0,21
phone,0.8811728395061729,0.6944444444444444,0.7259101654846337,54,87,0,21
crammed,0.8811728395061729,0.6944444444444444,0.7259101654846337,54,87,0,21
small,0.8360236750067258,0.6851851851851852,0.7179604261796042,56,87,3,21
furniture,0.8642843529635983,0.6851851851851852,0.7177811614431333,54,87,1,21
serves,0.8642843529635983,0.6851851851851852,0.7177811614431333,54,87,1,21
seated,0.8797979797979798,0.6851851851851852,0.7173767752715121,53,87,0,21
screens,0.8797979797979798,0.6851851851851852,0.7173767752715121,53,87,0,21
reading,0.8797979797979798,0.6851851851851852,0.7173767752715121,53,87,0,21
shelf,0.8797979797979798,0.6851851851851852,0.7173767752715121,53,87,0,21
separate,0.8478327228327228,0.6759259259259259,0.709609264403785,54,87,2,21
guest,0.8626543209876543,0.6759259259259259,0.7092986603624901,53,87,1,21
equipped,0.8626543209876543,0.6759259259259259,0.7092986603624901,53,87,1,21
filled,0.8626543209876543,0.6759259259259259,0.7092986603624901,53,87,1,21
walls,0.8784722222222222,0.6759259259259259,0.7087784318000145,52,87,0,21
hidden,0.8784722222222222,0.6759259259259259,0.7087784318000145,52,87,0,21
find,0.8459691252144081,0.6666666666666666,0.7011800532927295,53,87,2,21
floor,0.8610634648370498,0.6666666666666666,0.7007518796992481,52,87,1,21
section,0.8610634648370498,0.6666666666666666,0.7007518796992481,52,87,1,21
couch,0.8771929824561403,0.6666666666666666,0.7001114827201783,51,87,0,21
my,0.8161111111111111,0.6574074074074074,0.6931142410015648,54,87,4,21
design,0.8441358024691357,0.6574074074074074,0.6926871552403469,52,87,2,21
along,0.8441358024691357,0.6574074074074074,0.6926871552403469,52,87,2,21
designed,0.8595085470085471,0.6574074074074074,0.6921371993314439,51,87,1,21
tucked,0.8595085470085471,0.6574074074074074,0.6921371993314439,51,87,1,21
can,0.7793166035353536,0.6574074074074074,0.6919284541801097,57,87,7,21
elegant,0.8759578544061303,0.6574074074074074,0.6913722833061279,50,87,0,21
shared,0.8759578544061303,0.6574074074074074,0.6913722833061279,50,87,0,21
ceiling,0.8759578544061303,0.6574074074074074,0.6913722833061279,50,87,0,21
downstairs,0.8759578544061303,0.6574074074074074,0.6913722833061279,50,87,0,21
doors,0.8759578544061303,0.6574074074074074,0.6913722833061279,50,87,0,21
extra,0.8759578544061303,0.6574074074074074,0.6913722833061279,50,87,0,21
choose,0.8759578544061303,0.6574074074074074,0.6913722833061279,50,87,0,21
lined,0.8759578544061303,0.6574074074074074,0.6913722833061279,50,87,0,21
stacked,0.8759578544061303,0.6574074074074074,0.6913722833061279,50,87,0,21
home,0.813840155945419,0.6481481481481481,0.6847993827160495,53,87,4,21
one,0.8276538974652182,0.6481481481481481,0.6845789451423253,52,87,3,21
were,0.8276538974652182,0.6481481481481481,0.6845789451423253,52,87,3,21
unit,0.8423289498761197,0.6481481481481481,0.684126984126984,51,87,2,21
notes,0.8423289498761197,0.6481481481481481,0.684126984126984,51,87,2,21
studio,0.8579864694415777,0.6481481481481481,0.6834510095379661,50,87,1,21
owner,0.8579864694415777,0.6481481481481481,0.6834510095379661,50,87,1,21
keys,0.8579864694415777,0.6481481481481481,0.6834510095379661,50,87,1,21
wall,0.8579864694415777,0.6481481481481481,0.6834510095379661,50,87,1,21
laptop,0.8579864694415777,0.6481481481481481,0.6834510095379661,50,87,1,21
tiny,0.8579864694415777,0.6481481481481481,0.6834510095379661,50,87,1,21
pack,0.8579864694415777,0.6481481481481481,0.6834510095379661,50,87,1,21
adjacent,0.8747645951035781,0.6481481481481481,0.6825571895424837,49,87,0,21
crowded,0.8747645951035781,0.6481481481481481,0.6825571895424837,49,87,0,21
sleep,0.8747645951035781,0.6481481481481481,0.6825571895424837,49,87,0,21
accommodate,0.8747645951035781,0.6481481481481481,0.6825571895424837,49,87,0,21
chairs,0.8747645951035781,0.6481481481481481,0.6825571895424837,49,87,0,21
in,0.8256172839506173,0.6388888888888888,0.6760756501182033,51,87,3,21
without,0.8256172839506173,0.6388888888888888,0.6760756501182033,51,87,3,21
fit,0.8405448717948718,0.6388888888888888,0.6754959668628734,50,87,2,21
photograph,0.8405448717948718,0.6388888888888888,0.6754959668628734,50,87,2,21
beside,0.8405448717948718,0.6388888888888888,0.6754959668628734,50,87,2,21
father,0.8405448717948718,0.6388888888888888,0.6754959668628734,50,87,2,21
class,0.8564942528735633,0.6388888888888888,0.674689704025378,49,87,1,21
parents,0.8564942528735633,0.6388888888888888,0.674689704025378,49,87,1,21
duty,0.8564942528735633,0.6388888888888888,0.674689704025378,49,87,1,21
shopping,0.8564942528735633,0.6388888888888888,0.674689704025378,49,87,1,21
suite,0.873611111111111,0.6388888888888888,0.6736625514403293,48,87,0,21
manhattan,0.873611111111111,0.6388888888888888,0.6736625514403293,48,87,0,21
spaces,0.873611111111111,0.6388888888888888,0.6736625514403293,48,87,0,21
student,0.873611111111111,0.6388888888888888,0.6736625514403293,48,87,0,21
hide,0.873611111111111,0.6388888888888888,0.6736625514403293,48,87,0,21
there,0.795894966173604,0.6296296296296297,0.66820987654321,52,87,5,21
are,0.7831584611245629,0.6296296296296297,0.6681887366818873,53,87,6,21
she,0.8093386697160282,0.6296296296296297,0.6679778369919214,51,87,4,21
their,0.8093386697160282,0.6296296296296297,0.6679778369919214,51,87,4,21
even,0.8093386697160282,0.6296296296296297,0.6679778369919214,51,87,4,21
looking,0.8235944349151896,0.6296296296296297,0.66750208855472,50,87,3,21
talk,0.8235944349151896,0.6296296296296297,0.66750208855472,50,87,3,21
arranged,0.8550290172566201,0.6296296296296297,0.6658496732026143,48,87,1,21
fancy,0.8550290172566201,0.6296296296296297,0.6658496732026143,48,87,1,21
use,0.8550290172566201,0.6296296296296297,0.6658496732026143,48,87,1,21
setting,0.8550290172566201,0.6296296296296297,0.6658496732026143,48,87,1,21
typical,0.8550290172566201,0.6296296296296297,0.6658496732026143,48,87,1,21
dedicated,0.8550290172566201,0.6296296296296297,0.6658496732026143,48,87,1,21
shelves,0.8550290172566201,0.6296296296296297,0.6658496732026143,48,87,1,21
marble,0.8724954462659381,0.6296296296296297,0.6646847065485579,47,87,0,21
sleeping,0.8724954462659381,0.6296296296296297,0.6646847065485579,47,87,0,21
client,0.8724954462659381,0.6296296296296297,0.6646847065485579,47,87,0,21
sheets,0.8724954462659381,0.6296296296296297,0.6646847065485579,47,87,0,21
drawer,0.8724954462659381,0.6296296296296297,0.6646847065485579,47,87,0,21
either,0.8070987654320988,0.6203703703703703,0.6594641449960598,50,87,4,21
access,0.8215811965811965,0.6203703703703703,0.6588547343943026,49,87,3,21
complete,0.8370306513409962,0.6203703703703703,0.6580071247446282,48,87,2,21
space,0.8370306513409962,0.6203703703703703,0.6580071247446282,48,87,2,21
busy,0.8370306513409962,0.6203703703703703,0.6580071247446282,48,87,2,21
note,0.8370306513409962,0.6203703703703703,0.6580071247446282,48,87,2,21
living,0.8535879629629629,0.6203703703703703,0.6569272976680383,47,87,1,21
found,0.8535879629629629,0.6203703703703703,0.6569272976680383,47,87,1,21
custom,0.8535879629629629,0.6203703703703703,0.6569272976680383,47,87,1,21
husband,0.8535879629629629,0.6203703703703703,0.6569272976680383,47,87,1,21
television,0.8535879629629629,0.6203703703703703,0.6569272976680383,47,87,1,21
neatly,0.8535879629629629,0.6203703703703703,0.6569272976680383,47,87,1,21
outfitted,0.871415770609319,0.6203703703703703,0.6556199736288513,46,87,0,21
stained,0.871415770609319,0.6203703703703703,0.6556199736288513,46,87,0,21
for,0.7655367231638418,0.6111111111111112,0.6515981735159817,52,87,7,21
they,0.7910234419668383,0.6111111111111112,0.6513767288415175,50,87,5,21
looks,0.8048599199542595,0.6111111111111112,0.6508771929824562,49,87,4,21
provide,0.8048599199542595,0.6111111111111112,0.6508771929824562,49,87,4,21
instance,0.8048599199542595,0.6111111111111112,0.6508771929824562,49,87,4,21
usually,0.8048599199542595,0.6111111111111112,0.6508771929824562,49,87,4,21
everything,0.8195734434124526,0.6111111111111112,0.6501300631735414,48,87,3,21
offers,0.8352934394096622,0.6111111111111112,0.6491421568627451,47,87,2,21
spent,0.8352934394096622,0.6111111111111112,0.6491421568627451,47,87,2,21
working,0.8352934394096622,0.6111111111111112,0.6491421568627451,47,87,2,21
virtual,0.8352934394096622,0.6111111111111112,0.6491421568627451,47,87,2,21
displayed,0.8352934394096622,0.6111111111111112,0.6491421568627451,47,87,2,21
becomes,0.8352934394096622,0.6111111111111112,0.6491421568627451,47,87,2,21
cards,0.8352934394096622,0.6111111111111112,0.6491421568627451,47,87,2,21
hotel,0.8521683525171492,0.6111111111111112,0.647918941875986,46,87,1,21
girls,0.8521683525171492,0.6111111111111112,0.647918941875986,46,87,1,21
item,0.8521683525171492,0.6111111111111112,0.647918941875986,46,87,1,21
framed,0.8521683525171492,0.6111111111111112,0.647918941875986,46,87,1,21
child,0.8521683525171492,0.6111111111111112,0.647918941875986,46,87,1,21
displays,0.8521683525171492,0.6111111111111112,0.647918941875986,46,87,1,21
panel,0.8521683525171492,0.6111111111111112,0.647918941875986,46,87,1,21
master,0.8703703703703703,0.6111111111111112,0.6464646464646464,45,87,0,21
rented,0.8703703703703703,0.6111111111111112,0.6464646464646464,45,87,0,21
pine,0.8703703703703703,0.6111111111111112,0.6464646464646464,45,87,0,21
employee,0.8703703703703703,0.6111111111111112,0.6464646464646464,45,87,0,21
had,0.7753357753357754,0.6018518518518519,0.6432342391246502,50,87,6,21
few,0.7753357753357754,0.6018518518518519,0.6432342391246502,50,87,6,21
them,0.7753357753357754,0.6018518518518519,0.6432342391246502,50,87,6,21
and,0.7885802469135802,0.6018518518518519,0.6428526398739165,49,87,5,21
with,0.8026175213675214,0.6018518518518519,0.6422135019257321,48,87,4,21
need,0.8026175213675214,0.6018518518518519,0.6422135019257321,48,87,4,21
mostly,0.8175670498084292,0.6018518518518519,0.6413245454638783,47,87,3,21
often,0.8175670498084292,0.6018518518518519,0.6413245454638783,47,87,3,21
windows,0.8335648148148148,0.6018518518518519,0.6401920438957476,46,87,2,21
view,0.8335648148148148,0.6018518518518519,0.6401920438957476,46,87,2,21
window,0.8335648148148148,0.6018518518518519,0.6401920438957476,46,87,2,21
located,0.8335648148148148,0.6018518518518519,0.6401920438957476,46,87,2,21
work,0.8335648148148148,0.6018518518518519,0.6401920438957476,46,87,2,21
writing,0.8335648148148148,0.6018518518518519,0.6401920438957476,46,87,2,21
covered,0.8335648148148148,0.6018518518518519,0.6401920438957476,46,87,2,21
station,0.8335648148148148,0.6018518518518519,0.6401920438957476,46,87,2,21
too,0.8335648148148148,0.6018518518518519,0.6401920438957476,46,87,2,21
decorated,0.8507674925977873,0.6018518518518519,0.6388209479522099,45,87,1,21
box,0.8507674925977873,0.6018518518518519,0.6388209479522099,45,87,1,21
cleaned,0.8507674925977873,0.6018518518518519,0.6388209479522099,45,87,1,21
stairs,0.8507674925977873,0.6018518518518519,0.6388209479522099,45,87,1,21
instructions,0.8507674925977873,0.6018518518518519,0.6388209479522099,45,87,1,21
units,0.8507674925977873,0.6018518518518519,0.6388209479522099,45,87,1,21
equipment,0.8507674925977873,0.6018518518518519,0.6388209479522099,45,87,1,21
queen,0.8693576388888888,0.6018518518518519,0.637214987776281,44,87,0,21
provides,0.8693576388888888,0.6018518518518519,0.637214987776281,44,87,0,21
lobby,0.8693576388888888,0.6018518518518519,0.637214987776281,44,87,0,21
nurse,0.8693576388888888,0.6018518518518519,0.637214987776281,44,87,0,21
herself,0.8693576388888888,0.6018518518518519,0.637214987776281,44,87,0,21
hid,0.8693576388888888,0.6018518518518519,0.637214987776281,44,87,0,21
been,0.7600045866299736,0.5925925925925926,0.6350308641975309,50,87,7,21
sometimes,0.8003669303978901,0.5925925925925926,0.6334695899913291,47,87,4,21
directly,0.8155578615627043,0.5925925925925926,0.6324346405228758,46,87,3,21
generally,0.8155578615627043,0.5925925925925926,0.6324346405228758,46,87,3,21
noticed,0.8318412587683603,0.5925925925925926,0.6311531772034139,45,87,2,21
staring,0.8318412587683603,0.5925925925925926,0.6311531772034139,45,87,2,21
ask,0.8318412587683603,0.5925925925925926,0.6311531772034139,45,87,2,21
customer,0.8318412587683603,0.5925925925925926,0.6311531772034139,45,87,2,21
go,0.8318412587683603,0.5925925925925926,0.6311531772034139,45,87,2,21
papers,0.8318412587683603,0.5925925925925926,0.6311531772034139,45,87,2,21
forget,0.8318412587683603,0.5925925925925926,0.6311531772034139,45,87,2,21
block,0.8318412587683603,0.5925925925925926,0.6311531772034139,45,87,2,21
loaded,0.8318412587683603,0.5925925925925926,0.6311531772034139,45,87,2,21
offices,0.8493827160493828,0.5925925925925926,0.6296296296296297,44,87,1,21
guests,0.8493827160493828,0.5925925925925926,0.6296296296296297,44,87,1,21
house,0.8493827160493828,0.5925925925925926,0.6296296296296297,44,87,1,21
900,0.8493827160493828,0.5925925925925926,0.6296296296296297,44,87,1,21
owners,0.8493827160493828,0.5925925925925926,0.6296296296296297,44,87,1,21
dead,0.8493827160493828,0.5925925925925926,0.6296296296296297,44,87,1,21
spare,0.8493827160493828,0.5925925925925926,0.6296296296296297,44,87,1,21
worker,0.8493827160493828,0.5925925925925926,0.6296296296296297,44,87,1,21
jokes,0.8493827160493828,0.5925925925925926,0.6296296296296297,44,87,1,21
mood,0.8493827160493828,0.5925925925925926,0.6296296296296297,44,87,1,21
storage,0.8493827160493828,0.5925925925925926,0.6296296296296297,44,87,1,21
types,0.8493827160493828,0.5925925925925926,0.6296296296296297,44,87,1,21
atop,0.8683760683760684,0.5925925925925926,0.6278672232160604,43,87,0,21
housed,0.8683760683760684,0.5925925925925926,0.6278672232160604,43,87,0,21
pleasant,0.8683760683760684,0.5925925925925926,0.6278672232160604,43,87,0,21
indoor,0.8683760683760684,0.5925925925925926,0.6278672232160604,43,87,0,21
operated,0.8683760683760684,0.5925925925925926,0.6278672232160604,43,87,0,21
mirror,0.8683760683760684,0.5925925925925926,0.6278672232160604,43,87,0,21
lab,0.8683760683760684,0.5925925925925926,0.6278672232160604,43,87,0,21
forgotten,0.8683760683760684,0.5925925925925926,0.6278672232160604,43,87,0,21
become,0.7700617283950616,0.5833333333333334,0.6262411347517731,48,87,6,21
