context,p,r,f1,n_pos,total_pos,n_neg,total_neg
cardboard,1.0,1.0,1.0,2,2,0,2
the,1.0,1.0,1.0,2,2,0,2
batter,1.0,1.0,1.0,2,2,0,2
inside,1.0,1.0,1.0,2,2,0,2
weekend,1.0,1.0,1.0,2,2,0,2
containing,1.0,1.0,1.0,2,2,0,2
wooden,1.0,1.0,1.0,2,2,0,2
into,1.0,1.0,1.0,2,2,0,2
ball,1.0,1.0,1.0,2,2,0,2
score,1.0,1.0,1.0,2,2,0,2
plastic,1.0,1.0,1.0,2,2,0,2
movie,1.0,1.0,1.0,2,2,0,2
film,1.0,1.0,1.0,2,2,0,2
hollywood,1.0,1.0,1.0,2,2,0,2
dvd,1.0,1.0,1.0,2,2,0,2
jewel,1.0,1.0,1.0,2,2,0,2
movies,1.0,1.0,1.0,2,2,0,2
metal,1.0,1.0,1.0,2,2,0,2
films,1.0,1.0,1.0,2,2,0,2
witness,1.0,1.0,1.0,2,2,0,2
toy,1.0,1.0,1.0,2,2,0,2
corner,1.0,1.0,1.0,2,2,0,2
shaped,1.0,1.0,1.0,2,2,0,2
records,1.0,1.0,1.0,2,2,0,2
topped,1.0,1.0,1.0,2,2,0,2
glass,1.0,1.0,1.0,2,2,0,2
small,1.0,1.0,1.0,2,2,0,2
hits,1.0,1.0,1.0,2,2,0,2
right,1.0,1.0,1.0,2,2,0,2
one,1.0,1.0,1.0,2,2,0,2
tickets,1.0,1.0,1.0,2,2,0,2
smash,1.0,1.0,1.0,2,2,0,2
empty,1.0,1.0,1.0,2,2,0,2
your,1.0,1.0,1.0,2,2,0,2
safe,1.0,1.0,1.0,2,2,0,2
lock,1.0,1.0,1.0,2,2,0,2
minute,1.0,1.0,1.0,2,2,0,2
sets,1.0,1.0,1.0,2,2,0,2
size,1.0,1.0,1.0,2,2,0,2
filled,1.0,1.0,1.0,2,2,0,2
six,1.0,1.0,1.0,2,2,0,2
studio,1.0,1.0,1.0,2,2,0,2
contains,1.0,1.0,1.0,2,2,0,2
pit,1.0,1.0,1.0,2,2,0,2
reviews,1.0,1.0,1.0,2,2,0,2
record,1.0,1.0,1.0,2,2,0,2
ticket,1.0,1.0,1.0,2,2,0,2
sitting,1.0,1.0,1.0,2,2,0,2
rectangular,1.0,1.0,1.0,2,2,0,2
atop,1.0,1.0,1.0,2,2,0,2
disc,1.0,1.0,1.0,2,2,0,2
returns,1.0,1.0,1.0,2,2,0,2
successes,1.0,1.0,1.0,2,2,0,2
cross,1.0,1.0,1.0,2,2,0,2
side,1.0,1.0,1.0,2,2,0,2
storage,1.0,1.0,1.0,2,2,0,2
bottom,1.0,1.0,1.0,2,2,0,2
star,1.0,1.0,1.0,2,2,0,2
placed,1.0,1.0,1.0,2,2,0,2
wrapped,1.0,1.0,1.0,2,2,0,2
every,1.0,1.0,1.0,2,2,0,2
each,1.0,1.0,1.0,2,2,0,2
contents,1.0,1.0,1.0,2,2,0,2
foot,1.0,1.0,1.0,2,2,0,2
sealed,1.0,1.0,1.0,2,2,0,2
magic,1.0,1.0,1.0,2,2,0,2
tracks,1.0,1.0,1.0,2,2,0,2
stadium,1.0,1.0,1.0,2,2,0,2
front,1.0,1.0,1.0,2,2,0,2
sits,1.0,1.0,1.0,2,2,0,2
attached,1.0,1.0,1.0,2,2,0,2
around,1.0,1.0,1.0,2,2,0,2
glance,1.0,1.0,1.0,2,2,0,2
ice,1.0,1.0,1.0,2,2,0,2
checking,1.0,1.0,1.0,2,2,0,2
room,1.0,1.0,1.0,2,2,0,2
debuted,1.0,1.0,1.0,2,2,0,2
look,1.0,1.0,1.0,2,2,0,2
all,1.0,1.0,1.0,2,2,0,2
four,1.0,1.0,1.0,2,2,0,2
watching,1.0,1.0,1.0,2,2,0,2
came,1.0,1.0,1.0,2,2,0,2
sized,1.0,1.0,1.0,2,2,0,2
13,1.0,1.0,1.0,2,2,0,2
comedy,1.0,1.0,1.0,2,2,0,2
draws,1.0,1.0,1.0,2,2,0,2
debut,1.0,1.0,1.0,2,2,0,2
biggest,1.0,1.0,1.0,2,2,0,2
lid,1.0,1.0,1.0,2,2,0,2
nest,1.0,1.0,1.0,2,2,0,2
best,1.0,1.0,1.0,2,2,0,2
gray,1.0,1.0,1.0,2,2,0,2
huge,1.0,1.0,1.0,2,2,0,2
fact,1.0,1.0,1.0,2,2,0,2
broke,1.0,1.0,1.0,2,2,0,2
game,1.0,1.0,1.0,2,2,0,2
concrete,1.0,1.0,1.0,2,2,0,2
fit,1.0,1.0,1.0,2,2,0,2
camera,1.0,1.0,1.0,2,2,0,2
space,1.0,1.0,1.0,2,2,0,2
looks,1.0,1.0,1.0,2,2,0,2
wide,1.0,1.0,1.0,2,2,0,2
console,1.0,1.0,1.0,2,2,0,2
pictures,1.0,1.0,1.0,2,2,0,2
feet,1.0,1.0,1.0,2,2,0,2
crossed,1.0,1.0,1.0,2,2,0,2
raced,1.0,1.0,1.0,2,2,0,2
center,1.0,1.0,1.0,2,2,0,2
wheels,1.0,1.0,1.0,2,2,0,2
diving,1.0,1.0,1.0,2,2,0,2
mark,1.0,1.0,1.0,2,2,0,2
pack,1.0,1.0,1.0,2,2,0,2
floor,1.0,1.0,1.0,2,2,0,2
single,1.0,1.0,1.0,2,2,0,2
list,1.0,1.0,1.0,2,2,0,2
sequel,1.0,1.0,1.0,2,2,0,2
watch,1.0,1.0,1.0,2,2,0,2
covered,1.0,1.0,1.0,2,2,0,2
wood,1.0,1.0,1.0,2,2,0,2
looking,1.0,1.0,1.0,2,2,0,2
place,1.0,1.0,1.0,2,2,0,2
ll,1.0,1.0,1.0,2,2,0,2
inch,1.0,1.0,1.0,2,2,0,2
square,1.0,1.0,1.0,2,2,0,2
refrigerator,1.0,1.0,1.0,2,2,0,2
collection,1.0,1.0,1.0,2,2,0,2
stars,1.0,1.0,1.0,2,2,0,2
opens,1.0,1.0,1.0,2,2,0,2
cinema,1.0,1.0,1.0,2,2,0,2
car,1.0,1.0,1.0,2,2,0,2
beside,1.0,1.0,1.0,2,2,0,2
upper,1.0,1.0,1.0,2,2,0,2
inches,1.0,1.0,1.0,2,2,0,2
known,1.0,1.0,1.0,2,2,0,2
fill,1.0,1.0,1.0,2,2,0,2
shape,1.0,1.0,1.0,2,2,0,2
putting,1.0,1.0,1.0,2,2,0,2
plain,1.0,1.0,1.0,2,2,0,2
standing,1.0,1.0,1.0,2,2,0,2
coaching,1.0,1.0,1.0,2,2,0,2
handed,1.0,1.0,1.0,2,2,0,2
original,1.0,1.0,1.0,2,2,0,2
container,1.0,1.0,1.0,2,2,0,2
pick,1.0,1.0,1.0,2,2,0,2
perfect,1.0,1.0,1.0,2,2,0,2
stepping,1.0,1.0,1.0,2,2,0,2
final,1.0,1.0,1.0,2,2,0,2
display,1.0,1.0,1.0,2,2,0,2
per,1.0,1.0,1.0,2,2,0,2
puzzle,1.0,1.0,1.0,2,2,0,2
acclaim,1.0,1.0,1.0,2,2,0,2
toys,1.0,1.0,1.0,2,2,0,2
