context,p,r,f1,n_pos,total_pos,n_neg,total_neg
with,1.0,1.0,1.0,8,8,0,2
are,1.0,1.0,1.0,8,8,0,2
desk,1.0,1.0,1.0,8,8,0,2
as,1.0,1.0,1.0,8,8,0,2
simple,1.0,1.0,1.0,8,8,0,2
by,1.0,1.0,1.0,8,8,0,2
works,1.0,1.0,1.0,8,8,0,2
elaborate,1.0,1.0,1.0,8,8,0,2
features,1.0,1.0,1.0,8,8,0,2
old,1.0,1.0,1.0,8,8,0,2
said,1.0,1.0,1.0,8,8,0,2
but,1.0,1.0,1.0,8,8,0,2
have,1.0,1.0,1.0,8,8,0,2
up,1.0,1.0,1.0,8,8,0,2
fine,1.0,1.0,1.0,8,8,0,2
set,1.0,1.0,1.0,8,8,0,2
fashioned,1.0,1.0,1.0,8,8,0,2
all,1.0,1.0,1.0,8,8,0,2
out,1.0,1.0,1.0,8,8,0,2
hidden,1.0,1.0,1.0,8,8,0,2
first,1.0,1.0,1.0,8,8,0,2
been,1.0,1.0,1.0,8,8,0,2
name,1.0,1.0,1.0,8,8,0,2
more,1.0,1.0,1.0,8,8,0,2
found,1.0,1.0,1.0,8,8,0,2
bought,1.0,1.0,1.0,8,8,0,2
sound,1.0,1.0,1.0,8,8,0,2
some,1.0,1.0,1.0,8,8,0,2
fake,1.0,1.0,1.0,8,8,0,2
copy,1.0,1.0,1.0,8,8,0,2
photographs,1.0,1.0,1.0,8,8,0,2
before,1.0,1.0,1.0,8,8,0,2
than,1.0,1.0,1.0,8,8,0,2
images,1.0,1.0,1.0,8,8,0,2
discovered,1.0,1.0,1.0,8,8,0,2
door,1.0,1.0,1.0,8,8,0,2
says,1.0,1.0,1.0,8,8,0,2
working,1.0,1.0,1.0,8,8,0,2
man,1.0,1.0,1.0,8,8,0,2
material,1.0,1.0,1.0,8,8,0,2
guest,1.0,1.0,1.0,8,8,0,2
david,1.0,1.0,1.0,8,8,0,2
even,1.0,1.0,1.0,8,8,0,2
entry,1.0,1.0,1.0,8,8,0,2
hand,1.0,1.0,1.0,8,8,0,2
husband,1.0,1.0,1.0,8,8,0,2
replace,1.0,1.0,1.0,8,8,0,2
why,1.0,1.0,1.0,8,8,0,2
instead,1.0,1.0,1.0,8,8,0,2
cost,1.0,1.0,1.0,8,8,0,2
do,1.0,1.0,1.0,8,8,0,2
does,1.0,1.0,1.0,8,8,0,2
photograph,1.0,1.0,1.0,8,8,0,2
work,1.0,1.0,1.0,8,8,0,2
us,1.0,1.0,1.0,8,8,0,2
re,1.0,1.0,1.0,8,8,0,2
weighing,1.0,1.0,1.0,8,8,0,2
ordering,1.0,1.0,1.0,8,8,0,2
screens,1.0,1.0,1.0,8,8,0,2
hours,1.0,1.0,1.0,8,8,0,2
mean,1.0,1.0,1.0,8,8,0,2
give,1.0,1.0,1.0,8,8,0,2
displays,1.0,1.0,1.0,8,8,0,2
items,1.0,1.0,1.0,8,8,0,2
evening,1.0,1.0,1.0,8,8,0,2
month,1.0,1.0,1.0,8,8,0,2
next,1.0,1.0,1.0,8,8,0,2
though,1.0,1.0,1.0,8,8,0,2
created,1.0,1.0,1.0,8,8,0,2
consider,1.0,1.0,1.0,8,8,0,2
putting,1.0,1.0,1.0,8,8,0,2
start,1.0,1.0,1.0,8,8,0,2
friend,1.0,1.0,1.0,8,8,0,2
looking,1.0,1.0,1.0,8,8,0,2
stuff,1.0,1.0,1.0,8,8,0,2
mother,1.0,1.0,1.0,8,8,0,2
save,1.0,1.0,1.0,8,8,0,2
something,1.0,1.0,1.0,8,8,0,2
john,1.0,1.0,1.0,8,8,0,2
typically,1.0,1.0,1.0,8,8,0,2
worked,1.0,1.0,1.0,8,8,0,2
comfortable,1.0,1.0,1.0,8,8,0,2
without,1.0,1.0,1.0,8,8,0,2
thousand,1.0,1.0,1.0,8,8,0,2
scene,1.0,1.0,1.0,8,8,0,2
money,1.0,1.0,1.0,8,8,0,2
choose,1.0,1.0,1.0,8,8,0,2
michael,1.0,1.0,1.0,8,8,0,2
ms,1.0,1.0,1.0,8,8,0,2
keys,1.0,1.0,1.0,8,8,0,2
wait,1.0,1.0,1.0,8,8,0,2
jewelry,1.0,1.0,1.0,8,8,0,2
interview,1.0,1.0,1.0,8,8,0,2
equivalent,1.0,1.0,1.0,8,8,0,2
carry,1.0,1.0,1.0,8,8,0,2
want,1.0,1.0,1.0,8,8,0,2
arrived,1.0,1.0,1.0,8,8,0,2
lucky,1.0,1.0,1.0,8,8,0,2
reveal,1.0,1.0,1.0,8,8,0,2
protect,1.0,1.0,1.0,8,8,0,2
picture,1.0,1.0,1.0,8,8,0,2
cover,1.0,1.0,1.0,8,8,0,2
offered,1.0,1.0,1.0,8,8,0,2
wonder,1.0,1.0,1.0,8,8,0,2
books,1.0,1.0,1.0,8,8,0,2
150,1.0,1.0,1.0,8,8,0,2
felt,1.0,1.0,1.0,8,8,0,2
addition,1.0,1.0,1.0,8,8,0,2
forget,1.0,1.0,1.0,8,8,0,2
worth,1.0,1.0,1.0,8,8,0,2
paying,1.0,1.0,1.0,8,8,0,2
ordinary,1.0,1.0,1.0,8,8,0,2
wo,1.0,1.0,1.0,8,8,0,2
placing,1.0,1.0,1.0,8,8,0,2
am,1.0,1.0,1.0,8,8,0,2
monitor,1.0,1.0,1.0,8,8,0,2
moore,1.0,1.0,1.0,8,8,0,2
sells,1.0,1.0,1.0,8,8,0,2
talking,1.0,1.0,1.0,8,8,0,2
easier,1.0,1.0,1.0,8,8,0,2
check,1.0,1.0,1.0,8,8,0,2
fighting,1.0,1.0,1.0,8,8,0,2
supposedly,1.0,1.0,1.0,8,8,0,2
explained,1.0,1.0,1.0,8,8,0,2
explains,1.0,1.0,1.0,8,8,0,2
computers,1.0,1.0,1.0,8,8,0,2
tore,1.0,1.0,1.0,8,8,0,2
