context,p,r,f1,n_pos,total_pos,n_neg,total_neg
room,1.0,1.0,1.0,1,1,0,2
table,1.0,1.0,1.0,1,1,0,2
rooms,1.0,1.0,1.0,1,1,0,2
casual,1.0,1.0,1.0,1,1,0,2
wining,1.0,1.0,1.0,1,1,0,2
kitchen,1.0,1.0,1.0,1,1,0,2
tables,1.0,1.0,1.0,1,1,0,2
fine,1.0,1.0,1.0,1,1,0,2
restaurant,1.0,1.0,1.0,1,1,0,2
hall,1.0,1.0,1.0,1,1,0,2
halls,1.0,1.0,1.0,1,1,0,2
shopping,1.0,1.0,1.0,1,1,0,2
lodging,1.0,1.0,1.0,1,1,0,2
chairs,1.0,1.0,1.0,1,1,0,2
restaurants,1.0,1.0,1.0,1,1,0,2
living,1.0,1.0,1.0,1,1,0,2
area,1.0,1.0,1.0,1,1,0,2
formal,1.0,1.0,1.0,1,1,0,2
establishments,1.0,1.0,1.0,1,1,0,2
hotel,1.0,1.0,1.0,1,1,0,2
entertainment,1.0,1.0,1.0,1,1,0,2
elegant,1.0,1.0,1.0,1,1,0,2
options,1.0,1.0,1.0,1,1,0,2
meals,1.0,1.0,1.0,1,1,0,2
outdoor,1.0,1.0,1.0,1,1,0,2
gourmet,1.0,1.0,1.0,1,1,0,2
sitting,1.0,1.0,1.0,1,1,0,2
experience,1.0,1.0,1.0,1,1,0,2
breakfast,1.0,1.0,1.0,1,1,0,2
dining,1.0,1.0,1.0,1,1,0,2
bar,1.0,1.0,1.0,1,1,0,2
in,1.0,1.0,1.0,1,1,0,2
floor,1.0,1.0,1.0,1,1,0,2
lunch,1.0,1.0,1.0,1,1,0,2
dinner,1.0,1.0,1.0,1,1,0,2
bedroom,1.0,1.0,1.0,1,1,0,2
seating,1.0,1.0,1.0,1,1,0,2
private,1.0,1.0,1.0,1,1,0,2
menu,1.0,1.0,1.0,1,1,0,2
at,1.0,1.0,1.0,1,1,0,2
lounge,1.0,1.0,1.0,1,1,0,2
main,1.0,1.0,1.0,1,1,0,2
patio,1.0,1.0,1.0,1,1,0,2
terrace,1.0,1.0,1.0,1,1,0,2
bedrooms,1.0,1.0,1.0,1,1,0,2
upscale,1.0,1.0,1.0,1,1,0,2
facilities,1.0,1.0,1.0,1,1,0,2
chef,1.0,1.0,1.0,1,1,0,2
