context,p,r,f1,n_pos,total_pos,n_neg,total_neg
corn,1.0,1.0,1.0,1,1,0,10
cos,1.0,1.0,1.0,1,1,0,10
kernels,1.0,1.0,1.0,1,1,0,10
melchor,1.0,1.0,1.0,1,1,0,10
castro,1.0,1.0,1.0,1,1,0,10
bolivian,1.0,1.0,1.0,1,1,0,10
conn,1.0,1.0,1.0,1,1,0,10
bourse,1.0,1.0,1.0,1,1,0,10
potatoes,1.0,1.0,1.0,1,1,0,10
watchdog,1.0,1.0,1.0,1,1,0,10
on,1.0,1.0,1.0,1,1,0,10
nam,1.0,1.0,1.0,1,1,0,10
regulator,1.0,1.0,1.0,1,1,0,10
cob,1.0,1.0,1.0,1,1,0,10
ears,1.0,1.0,1.0,1,1,0,10
olympic,1.0,1.0,1.0,1,1,0,10
brazilian,1.0,1.0,1.0,1,1,0,10
pipe,1.0,1.0,1.0,1,1,0,10
cut,1.0,1.0,1.0,1,1,0,10
husk,1.0,1.0,1.0,1,1,0,10
off,1.0,1.0,1.0,1,1,0,10
popcorn,1.0,1.0,1.0,1,1,0,10
scraped,1.0,1.0,1.0,1,1,0,10
ministerial,1.0,1.0,1.0,1,1,0,10
coordinating,1.0,1.0,1.0,1,1,0,10
arthur,1.0,1.0,1.0,1,1,0,10
shaved,1.0,1.0,1.0,1,1,0,10
carlos,1.0,1.0,1.0,1,1,0,10
coleslaw,1.0,1.0,1.0,1,1,0,10
stem,1.0,1.0,1.0,1,1,0,10
greenwich,1.0,1.0,1.0,1,1,0,10
de,1.0,1.0,1.0,1,1,0,10
cutting,1.0,1.0,1.0,1,1,0,10
workers,1.0,1.0,1.0,1,1,0,10
maize,1.0,1.0,1.0,1,1,0,10
scrape,1.0,1.0,1.0,1,1,0,10
federation,1.0,1.0,1.0,1,1,0,10
committee,1.0,1.0,1.0,1,1,0,10
ear,1.0,1.0,1.0,1,1,0,10
market,1.0,1.0,1.0,1,1,0,10
cereal,1.0,1.0,1.0,1,1,0,10
nuts,1.0,1.0,1.0,1,1,0,10
des,1.0,1.0,1.0,1,1,0,10
vendors,1.0,1.0,1.0,1,1,0,10
rough,1.0,1.0,1.0,1,1,0,10
welsh,1.0,1.0,1.0,1,1,0,10
confederation,1.0,1.0,1.0,1,1,0,10
delegation,1.0,1.0,1.0,1,1,0,10
operations,1.0,1.0,1.0,1,1,0,10
munching,1.0,1.0,1.0,1,1,0,10
graham,1.0,1.0,1.0,1,1,0,10
labor,1.0,1.0,1.0,1,1,0,10
slathered,1.0,1.0,1.0,1,1,0,10
laboratories,1.0,1.0,1.0,1,1,0,10
africa,1.0,1.0,1.0,1,1,0,10
mexico,1.0,1.0,1.0,1,1,0,10
freshly,1.0,1.0,1.0,1,1,0,10
cranberry,1.0,1.0,1.0,1,1,0,10
demands,1.0,1.0,1.0,1,1,0,10
crunchy,1.0,1.0,1.0,1,1,0,10
zucchini,1.0,1.0,1.0,1,1,0,10
upright,1.0,1.0,1.0,1,1,0,10
belonging,1.0,1.0,1.0,1,1,0,10
gnawing,1.0,1.0,1.0,1,1,0,10
junior,1.0,1.0,1.0,1,1,0,10
brownies,1.0,1.0,1.0,1,1,0,10
stealing,1.0,1.0,1.0,1,1,0,10
ready,1.0,1.0,1.0,1,1,0,10
saying,1.0,1.0,1.0,1,1,0,10
commission,1.0,1.0,1.0,1,1,0,10
call,1.0,1.0,1.0,1,1,0,10
artists,1.0,1.0,1.0,1,1,0,10
carlson,1.0,1.0,1.0,1,1,0,10
investigations,1.0,1.0,1.0,1,1,0,10
trophy,1.0,1.0,1.0,1,1,0,10
starch,1.0,1.0,1.0,1,1,0,10
simmers,1.0,1.0,1.0,1,1,0,10
shares,1.0,1.0,1.0,1,1,0,10
probe,1.0,1.0,1.0,1,1,0,10
okra,1.0,1.0,1.0,1,1,0,10
mangoes,1.0,1.0,1.0,1,1,0,10
investigate,1.0,1.0,1.0,1,1,0,10
insider,1.0,1.0,1.0,1,1,0,10
builders,1.0,1.0,1.0,1,1,0,10
moisture,1.0,1.0,1.0,1,1,0,10
push,1.0,1.0,1.0,1,1,0,10
strip,1.0,1.0,1.0,1,1,0,10
stripped,1.0,1.0,1.0,1,1,0,10
petersburg,1.0,1.0,1.0,1,1,0,10
paris,1.0,1.0,1.0,1,1,0,10
financial,1.0,1.0,1.0,1,1,0,10
mo,1.0,1.0,1.0,1,1,0,10
contacted,1.0,1.0,1.0,1,1,0,10
informed,1.0,1.0,1.0,1,1,0,10
cooled,1.0,1.0,1.0,1,1,0,10
investigation,1.0,1.0,1.0,1,1,0,10
92,1.0,1.0,1.0,1,1,0,10
issuing,1.0,1.0,1.0,1,1,0,10
weighed,1.0,1.0,1.0,1,1,0,10
fund,1.0,1.0,1.0,1,1,0,10
explained,1.0,1.0,1.0,1,1,0,10
stakes,1.0,1.0,1.0,1,1,0,10
freezing,1.0,1.0,1.0,1,1,0,10
cucumbers,1.0,1.0,1.0,1,1,0,10
holders,1.0,1.0,1.0,1,1,0,10
slide,1.0,1.0,1.0,1,1,0,10
donated,1.0,1.0,1.0,1,1,0,10
termed,1.0,1.0,1.0,1,1,0,10
mascot,1.0,1.0,1.0,1,1,0,10
demanded,1.0,1.0,1.0,1,1,0,10
fined,1.0,1.0,1.0,1,1,0,10
reporting,1.0,1.0,1.0,1,1,0,10
rated,1.0,1.0,1.0,1,1,0,10
decision,1.0,1.0,1.0,1,1,0,10
derived,1.0,1.0,1.0,1,1,0,10
chosen,1.0,1.0,1.0,1,1,0,10
marina,1.0,1.0,1.0,1,1,0,10
merely,1.0,1.0,1.0,1,1,0,10
stove,1.0,1.0,1.0,1,1,0,10
microwave,1.0,1.0,1.0,1,1,0,10
showed,1.0,1.0,1.0,1,1,0,10
law,1.0,1.0,1.0,1,1,0,10
sweeter,1.0,1.0,1.0,1,1,0,10
yes,1.0,1.0,1.0,1,1,0,10
66,1.0,1.0,1.0,1,1,0,10
calling,1.0,1.0,1.0,1,1,0,10
highly,1.0,1.0,1.0,1,1,0,10
refer,1.0,1.0,1.0,1,1,0,10
buttered,1.0,1.0,1.0,1,1,0,10
reveal,1.0,1.0,1.0,1,1,0,10
length,1.0,1.0,1.0,1,1,0,10
earlier,1.0,1.0,1.0,1,1,0,10
strong,1.0,1.0,1.0,1,1,0,10
tray,1.0,1.0,1.0,1,1,0,10
games,1.0,1.0,1.0,1,1,0,10
five,1.0,1.0,1.0,1,1,0,10
did,1.0,1.0,1.0,1,1,0,10
tea,1.0,1.0,1.0,1,1,0,10
dog,1.0,1.0,1.0,1,1,0,10
decided,1.0,1.0,1.0,1,1,0,10
deeply,1.0,1.0,1.0,1,1,0,10
45,1.0,1.0,1.0,1,1,0,10
400,1.0,1.0,1.0,1,1,0,10
left,1.0,1.0,1.0,1,1,0,10
suggestion,1.0,1.0,1.0,1,1,0,10
cord,1.0,1.0,1.0,1,1,0,10
subcommittee,1.0,1.0,1.0,1,1,0,10
posole,1.0,1.0,1.0,1,1,0,10
meteorologist,1.0,1.0,1.0,1,1,0,10
jasmine,1.0,1.0,1.0,1,1,0,10
photography,1.0,1.0,1.0,1,1,0,10
investment,1.0,1.0,1.0,1,1,0,10
accumulate,1.0,1.0,1.0,1,1,0,10
prosecutor,1.0,1.0,1.0,1,1,0,10
unions,1.0,1.0,1.0,1,1,0,10
roster,1.0,1.0,1.0,1,1,0,10
blanch,1.0,1.0,1.0,1,1,0,10
montage,1.0,1.0,1.0,1,1,0,10
bee,1.0,1.0,1.0,1,1,0,10
cereals,1.0,1.0,1.0,1,1,0,10
betty,1.0,1.0,1.0,1,1,0,10
muffins,1.0,1.0,1.0,1,1,0,10
plums,1.0,1.0,1.0,1,1,0,10
satisfaction,1.0,1.0,1.0,1,1,0,10
hay,1.0,1.0,1.0,1,1,0,10
investors,1.0,1.0,1.0,1,1,0,10
truman,1.0,1.0,1.0,1,1,0,10
owen,1.0,1.0,1.0,1,1,0,10
articles,1.0,1.0,1.0,1,1,0,10
securities,1.0,1.0,1.0,1,1,0,10
practices,1.0,1.0,1.0,1,1,0,10
criticized,1.0,1.0,1.0,1,1,0,10
venue,1.0,1.0,1.0,1,1,0,10
raspberry,1.0,1.0,1.0,1,1,0,10
tackle,1.0,1.0,1.0,1,1,0,10
ideals,1.0,1.0,1.0,1,1,0,10
nonstick,1.0,1.0,1.0,1,1,0,10
breads,1.0,1.0,1.0,1,1,0,10
throat,1.0,1.0,1.0,1,1,0,10
ministers,1.0,1.0,1.0,1,1,0,10
baguette,1.0,1.0,1.0,1,1,0,10
caribou,1.0,1.0,1.0,1,1,0,10
procedure,1.0,1.0,1.0,1,1,0,10
jose,1.0,1.0,1.0,1,1,0,10
lasting,1.0,1.0,1.0,1,1,0,10
maynard,1.0,1.0,1.0,1,1,0,10
stroke,1.0,1.0,1.0,1,1,0,10
topping,1.0,1.0,1.0,1,1,0,10
loser,1.0,1.0,1.0,1,1,0,10
advisor,1.0,1.0,1.0,1,1,0,10
yours,1.0,1.0,1.0,1,1,0,10
regulars,1.0,1.0,1.0,1,1,0,10
machines,1.0,1.0,1.0,1,1,0,10
dull,1.0,1.0,1.0,1,1,0,10
coca,1.0,1.0,1.0,1,1,0,10
solomon,1.0,1.0,1.0,1,1,0,10
cigarette,1.0,1.0,1.0,1,1,0,10
surged,1.0,1.0,1.0,1,1,0,10
qualify,1.0,1.0,1.0,1,1,0,10
surgeon,1.0,1.0,1.0,1,1,0,10
urging,1.0,1.0,1.0,1,1,0,10
questioned,1.0,1.0,1.0,1,1,0,10
failure,1.0,1.0,1.0,1,1,0,10
resolved,1.0,1.0,1.0,1,1,0,10
organizing,1.0,1.0,1.0,1,1,0,10
riverside,1.0,1.0,1.0,1,1,0,10
downgraded,1.0,1.0,1.0,1,1,0,10
handles,1.0,1.0,1.0,1,1,0,10
cobbler,1.0,1.0,1.0,1,1,0,10
details,1.0,1.0,1.0,1,1,0,10
edited,1.0,1.0,1.0,1,1,0,10
accomplished,1.0,1.0,1.0,1,1,0,10
generously,1.0,1.0,1.0,1,1,0,10
qualified,1.0,1.0,1.0,1,1,0,10
popping,1.0,1.0,1.0,1,1,0,10
heirloom,1.0,1.0,1.0,1,1,0,10
jug,1.0,1.0,1.0,1,1,0,10
dust,1.0,1.0,1.0,1,1,0,10
miguel,1.0,1.0,1.0,1,1,0,10
lights,1.0,1.0,1.0,1,1,0,10
guitars,1.0,1.0,1.0,1,1,0,10
canadians,1.0,1.0,1.0,1,1,0,10
ronald,1.0,1.0,1.0,1,1,0,10
rejected,1.0,1.0,1.0,1,1,0,10
teach,1.0,1.0,1.0,1,1,0,10
memo,1.0,1.0,1.0,1,1,0,10
smoking,1.0,1.0,1.0,1,1,0,10
social,1.0,1.0,1.0,1,1,0,10
arena,1.0,1.0,1.0,1,1,0,10
swiss,1.0,1.0,1.0,1,1,0,10
locks,1.0,1.0,1.0,1,1,0,10
veggie,1.0,1.0,1.0,1,1,0,10
cards,1.0,1.0,1.0,1,1,0,10
coveted,1.0,1.0,1.0,1,1,0,10
premier,1.0,1.0,1.0,1,1,0,10
patient,1.0,1.0,1.0,1,1,0,10
versus,1.0,1.0,1.0,1,1,0,10
hunger,1.0,1.0,1.0,1,1,0,10
easiest,1.0,1.0,1.0,1,1,0,10
inspections,1.0,1.0,1.0,1,1,0,10
shirts,1.0,1.0,1.0,1,1,0,10
copy,1.0,1.0,1.0,1,1,0,10
peruvian,1.0,1.0,1.0,1,1,0,10
league,1.0,1.0,1.0,1,1,0,10
aimed,1.0,1.0,1.0,1,1,0,10
reference,1.0,1.0,1.0,1,1,0,10
1980,1.0,1.0,1.0,1,1,0,10
transaction,1.0,1.0,1.0,1,1,0,10
context,1.0,1.0,1.0,1,1,0,10
suck,1.0,1.0,1.0,1,1,0,10
ipo,1.0,1.0,1.0,1,1,0,10
slicing,1.0,1.0,1.0,1,1,0,10
electricity,1.0,1.0,1.0,1,1,0,10
lemonade,1.0,1.0,1.0,1,1,0,10
amber,1.0,1.0,1.0,1,1,0,10
1971,1.0,1.0,1.0,1,1,0,10
namely,1.0,1.0,1.0,1,1,0,10
chicago,1.0,1.0,1.0,1,1,0,10
promote,1.0,1.0,1.0,1,1,0,10
jeans,1.0,1.0,1.0,1,1,0,10
bicycle,1.0,1.0,1.0,1,1,0,10
analysis,1.0,1.0,1.0,1,1,0,10
blank,1.0,1.0,1.0,1,1,0,10
leaders,1.0,1.0,1.0,1,1,0,10
drained,1.0,1.0,1.0,1,1,0,10
matching,1.0,1.0,1.0,1,1,0,10
protest,1.0,1.0,1.0,1,1,0,10
gate,1.0,1.0,1.0,1,1,0,10
string,1.0,1.0,1.0,1,1,0,10
political,1.0,1.0,1.0,1,1,0,10
tomorrow,1.0,1.0,1.0,1,1,0,10
blanched,1.0,1.0,1.0,1,1,0,10
experiment,1.0,1.0,1.0,1,1,0,10
sharing,1.0,1.0,1.0,1,1,0,10
february,1.0,1.0,1.0,1,1,0,10
tape,1.0,1.0,1.0,1,1,0,10
souvenir,1.0,1.0,1.0,1,1,0,10
dirty,1.0,1.0,1.0,1,1,0,10
delights,1.0,1.0,1.0,1,1,0,10
hospital,1.0,1.0,1.0,1,1,0,10
tries,1.0,1.0,1.0,1,1,0,10
discuss,1.0,1.0,1.0,1,1,0,10
stations,1.0,1.0,1.0,1,1,0,10
scraps,1.0,1.0,1.0,1,1,0,10
transport,1.0,1.0,1.0,1,1,0,10
delivery,1.0,1.0,1.0,1,1,0,10
berry,1.0,1.0,1.0,1,1,0,10
comment,1.0,1.0,1.0,1,1,0,10
trading,1.0,1.0,1.0,1,1,0,10
favor,1.0,1.0,1.0,1,1,0,10
indicate,1.0,1.0,1.0,1,1,0,10
napa,1.0,1.0,1.0,1,1,0,10
tore,1.0,1.0,1.0,1,1,0,10
deserves,1.0,1.0,1.0,1,1,0,10
understood,1.0,1.0,1.0,1,1,0,10
bold,1.0,1.0,1.0,1,1,0,10
tool,1.0,1.0,1.0,1,1,0,10
seattle,1.0,1.0,1.0,1,1,0,10
bare,1.0,1.0,1.0,1,1,0,10
promises,1.0,1.0,1.0,1,1,0,10
describe,1.0,1.0,1.0,1,1,0,10
clay,1.0,1.0,1.0,1,1,0,10
totally,1.0,1.0,1.0,1,1,0,10
custard,1.0,1.0,1.0,1,1,0,10
naming,1.0,1.0,1.0,1,1,0,10
sept,1.0,1.0,1.0,1,1,0,10
human,1.0,1.0,1.0,1,1,0,10
wins,1.0,1.0,1.0,1,1,0,10
laugh,1.0,1.0,1.0,1,1,0,10
freeze,1.0,1.0,1.0,1,1,0,10
applications,1.0,1.0,1.0,1,1,0,10
likened,1.0,1.0,1.0,1,1,0,10
halted,1.0,1.0,1.0,1,1,0,10
manage,1.0,1.0,1.0,1,1,0,10
cowboy,1.0,1.0,1.0,1,1,0,10
refused,1.0,1.0,1.0,1,1,0,10
refuse,1.0,1.0,1.0,1,1,0,10
striking,1.0,1.0,1.0,1,1,0,10
strongly,1.0,1.0,1.0,1,1,0,10
chatted,1.0,1.0,1.0,1,1,0,10
slab,1.0,1.0,1.0,1,1,0,10
marie,1.0,1.0,1.0,1,1,0,10
chasing,1.0,1.0,1.0,1,1,0,10
recommendation,1.0,1.0,1.0,1,1,0,10
gain,1.0,1.0,1.0,1,1,0,10
challenged,1.0,1.0,1.0,1,1,0,10
challenge,1.0,1.0,1.0,1,1,0,10
lack,1.0,1.0,1.0,1,1,0,10
candy,1.0,1.0,1.0,1,1,0,10
dreamed,1.0,1.0,1.0,1,1,0,10
despite,1.0,1.0,1.0,1,1,0,10
chile,1.0,1.0,1.0,1,1,0,10
project,1.0,1.0,1.0,1,1,0,10
estimated,1.0,1.0,1.0,1,1,0,10
americans,1.0,1.0,1.0,1,1,0,10
entire,1.0,1.0,1.0,1,1,0,10
