context,p,r,f1,n_pos,total_pos,n_neg,total_neg
sweet,0.8438363382608448,0.7710843373493976,0.7744915163352959,35,53,1,30
banana,0.8438363382608448,0.7710843373493976,0.7744915163352959,35,53,1,30
fruit,0.859847553479223,0.7710843373493976,0.773615632324146,34,53,0,30
jam,0.859847553479223,0.7710843373493976,0.773615632324146,34,53,0,30
blueberry,0.8554216867469879,0.7590361445783133,0.7611375735500139,33,53,0,30
berry,0.8554216867469879,0.7590361445783133,0.7611375735500139,33,53,0,30
sweetness,0.8184083853143069,0.7469879518072289,0.7507537812126954,34,53,2,30
apple,0.8336901025470429,0.7469879518072289,0.7497856988845824,33,53,1,30
plum,0.8470806302131603,0.7349397590361446,0.735786350978828,31,53,0,30
syrup,0.7929804323677688,0.7228915662650602,0.727016046090095,33,53,3,30
features,0.7929804323677688,0.7228915662650602,0.727016046090095,33,53,3,30
caramel,0.8241273919206237,0.7228915662650602,0.7245819880830511,31,53,1,30
pear,0.8241273919206237,0.7228915662650602,0.7245819880830511,31,53,1,30
coconut,0.8431461695839962,0.7228915662650602,0.7228915662650602,30,53,0,30
peach,0.8431461695839962,0.7228915662650602,0.7228915662650602,30,53,0,30
pecan,0.8431461695839962,0.7228915662650602,0.7228915662650602,30,53,0,30
passion,0.8431461695839962,0.7228915662650602,0.7228915662650602,30,53,0,30
grape,0.8195312266435469,0.7108433734939759,0.7117669283405399,30,53,1,30
cherry,0.8393574297188756,0.7108433734939759,0.7098358591159061,29,53,0,30
notes,0.8393574297188756,0.7108433734939759,0.7098358591159061,29,53,0,30
flavors,0.8150412972645298,0.6987951807228916,0.6987951807228916,29,53,1,30
strawberry,0.8357064622124862,0.6987951807228916,0.6966077818900877,28,53,0,30
currant,0.8357064622124862,0.6987951807228916,0.6966077818900877,28,53,0,30
fruits,0.8357064622124862,0.6987951807228916,0.6966077818900877,28,53,0,30
dessert,0.7613597246127367,0.6867469879518072,0.6908543263964951,31,53,4,30
golden,0.7756845564074479,0.6867469879518072,0.6894788456150182,30,53,3,30
sorbet,0.7919818230739333,0.6867469879518072,0.6877475057022515,29,53,2,30
lovely,0.7919818230739333,0.6867469879518072,0.6877475057022515,29,53,2,30
apricot,0.810644878364031,0.6867469879518072,0.6856555140422317,28,53,1,30
desserts,0.810644878364031,0.6867469879518072,0.6856555140422317,28,53,1,30
aroma,0.810644878364031,0.6867469879518072,0.6856555140422317,28,53,1,30
pineapple,0.810644878364031,0.6867469879518072,0.6856555140422317,28,53,1,30
front,0.810644878364031,0.6867469879518072,0.6856555140422317,28,53,1,30
blackberry,0.8321858864027538,0.6867469879518072,0.683195572989633,27,53,0,30
raspberry,0.7869364249450633,0.6746987951807228,0.6746987951807228,28,53,2,30
shade,0.7869364249450633,0.6746987951807228,0.6746987951807228,28,53,2,30
festival,0.7869364249450633,0.6746987951807228,0.6746987951807228,28,53,2,30
suddenly,0.806329212955719,0.6746987951807228,0.6723364044412945,27,53,1,30
pie,0.806329212955719,0.6746987951807228,0.6723364044412945,27,53,1,30
beneath,0.8287888395688014,0.6746987951807228,0.6695871219491673,26,53,0,30
compote,0.8287888395688014,0.6746987951807228,0.6695871219491673,26,53,0,30
bushes,0.8287888395688014,0.6746987951807228,0.6695871219491673,26,53,0,30
pure,0.7491055129609346,0.6626506024096386,0.6655926029700197,29,53,4,30
were,0.7491055129609346,0.6626506024096386,0.6655926029700197,29,53,4,30
skin,0.7644324195043201,0.6626506024096386,0.6637280830639631,28,53,3,30
touch,0.7644324195043201,0.6626506024096386,0.6637280830639631,28,53,3,30
cake,0.7819323270091861,0.6626506024096386,0.6614751689685572,27,53,2,30
eyes,0.7819323270091861,0.6626506024096386,0.6614751689685572,27,53,2,30
tart,0.7819323270091861,0.6626506024096386,0.6614751689685572,27,53,2,30
color,0.7819323270091861,0.6626506024096386,0.6614751689685572,27,53,2,30
pomegranate,0.7819323270091861,0.6626506024096386,0.6614751689685572,27,53,2,30
liqueur,0.8020813412379677,0.6626506024096386,0.6588260016811432,26,53,1,30
island,0.8020813412379677,0.6626506024096386,0.6588260016811432,26,53,1,30
glaze,0.8020813412379677,0.6626506024096386,0.6588260016811432,26,53,1,30
hints,0.8020813412379677,0.6626506024096386,0.6588260016811432,26,53,1,30
essence,0.8020813412379677,0.6626506024096386,0.6588260016811432,26,53,1,30
earth,0.8020813412379677,0.6626506024096386,0.6588260016811432,26,53,1,30
blossom,0.8255089322808475,0.6626506024096386,0.6557699328783666,25,53,0,30
creek,0.8255089322808475,0.6626506024096386,0.6557699328783666,25,53,0,30
concentrate,0.8255089322808475,0.6626506024096386,0.6557699328783666,25,53,0,30
flavored,0.7430014174344437,0.6506024096385542,0.6527338110612385,28,53,4,30
flower,0.7430014174344437,0.6506024096385542,0.6527338110612385,28,53,4,30
gets,0.7430014174344437,0.6506024096385542,0.6527338110612385,28,53,4,30
juices,0.7769519636989517,0.6506024096385542,0.6480650269925016,26,53,2,30
texas,0.7769519636989517,0.6506024096385542,0.6480650269925016,26,53,2,30
champagne,0.7769519636989517,0.6506024096385542,0.6480650269925016,26,53,2,30
cranberry,0.7978879079069313,0.6506024096385542,0.6451120939454019,25,53,1,30
chip,0.7978879079069313,0.6506024096385542,0.6451120939454019,25,53,1,30
aromas,0.7978879079069313,0.6506024096385542,0.6451120939454019,25,53,1,30
wines,0.7978879079069313,0.6506024096385542,0.6451120939454019,25,53,1,30
lush,0.7978879079069313,0.6506024096385542,0.6451120939454019,25,53,1,30
cider,0.7978879079069313,0.6506024096385542,0.6451120939454019,25,53,1,30
down,0.7098106712564545,0.6385542168674698,0.6432934535344175,29,53,6,30
applesauce,0.8223402082907901,0.6506024096385542,0.6417310860251161,24,53,0,30
chutney,0.8223402082907901,0.6506024096385542,0.6417310860251161,24,53,0,30
his,0.7225264695144213,0.6385542168674698,0.6417063603250209,28,53,5,30
mini,0.7225264695144213,0.6385542168674698,0.6417063603250209,28,53,5,30
offers,0.7225264695144213,0.6385542168674698,0.6417063603250209,28,53,5,30
orange,0.7368830159347066,0.6385542168674698,0.6397086604256748,27,53,4,30
whipped,0.7368830159347066,0.6385542168674698,0.6397086604256748,27,53,4,30
sometimes,0.7368830159347066,0.6385542168674698,0.6397086604256748,27,53,4,30
raisin,0.7532197756543415,0.6385542168674698,0.6372948238948828,26,53,3,30
base,0.7532197756543415,0.6385542168674698,0.6372948238948828,26,53,3,30
beautiful,0.7532197756543415,0.6385542168674698,0.6372948238948828,26,53,3,30
man,0.7532197756543415,0.6385542168674698,0.6372948238948828,26,53,3,30
trees,0.7719767960731816,0.6385542168674698,0.6344564303726535,25,53,2,30
walnut,0.7719767960731816,0.6385542168674698,0.6344564303726535,25,53,2,30
hint,0.7719767960731816,0.6385542168674698,0.6344564303726535,25,53,2,30
pink,0.7719767960731816,0.6385542168674698,0.6344564303726535,25,53,2,30
tangerine,0.7719767960731816,0.6385542168674698,0.6344564303726535,25,53,2,30
city,0.7719767960731816,0.6385542168674698,0.6344564303726535,25,53,2,30
classic,0.6912686205816172,0.6265060240963856,0.6320651055996935,29,53,7,30
upside,0.7937349397590361,0.6385542168674698,0.6311820709411071,24,53,1,30
juicy,0.7937349397590361,0.6385542168674698,0.6311820709411071,24,53,1,30
but,0.7159594259390503,0.6265060240963856,0.6287844187206342,27,53,5,30
all,0.7159594259390503,0.6265060240963856,0.6287844187206342,27,53,5,30
lovers,0.7159594259390503,0.6265060240963856,0.6287844187206342,27,53,5,30
thought,0.7159594259390503,0.6265060240963856,0.6287844187206342,27,53,5,30
pint,0.8192771084337349,0.6385542168674698,0.6274571972098922,23,53,0,30
honey,0.7307266803061303,0.6265060240963856,0.6265060240963856,26,53,4,30
stand,0.7307266803061303,0.6265060240963856,0.6265060240963856,26,53,4,30
called,0.7307266803061303,0.6265060240963856,0.6265060240963856,26,53,4,30
sits,0.7475747144421844,0.6265060240963856,0.6237936495437086,25,53,3,30
commercial,0.7475747144421844,0.6265060240963856,0.6237936495437086,25,53,3,30
glazed,0.7475747144421844,0.6265060240963856,0.6237936495437086,25,53,3,30
chocolate,0.7669869762450613,0.6265060240963856,0.6206370659416364,24,53,2,30
scents,0.7669869762450613,0.6265060240963856,0.6206370659416364,24,53,2,30
seller,0.7669869762450613,0.6265060240963856,0.6206370659416364,24,53,2,30
been,0.6840361445783133,0.6144578313253012,0.6195130171033786,28,53,7,30
so,0.6840361445783133,0.6144578313253012,0.6195130171033786,28,53,7,30
many,0.6840361445783133,0.6144578313253012,0.6195130171033786,28,53,7,30
where,0.695947426067908,0.6144578313253012,0.6178201176800224,27,53,6,30
extract,0.7896075828738683,0.6265060240963856,0.6170228850613311,23,53,1,30
maple,0.7896075828738683,0.6265060240963856,0.6170228850613311,23,53,1,30
cherries,0.7896075828738683,0.6265060240963856,0.6170228850613311,23,53,1,30
cheesecake,0.7896075828738683,0.6265060240963856,0.6170228850613311,23,53,1,30
dubbed,0.7896075828738683,0.6265060240963856,0.6170228850613311,23,53,1,30
kiwi,0.7896075828738683,0.6265060240963856,0.6170228850613311,23,53,1,30
halves,0.7896075828738683,0.6265060240963856,0.6170228850613311,23,53,1,30
fashioned,0.7093336123650931,0.6144578313253012,0.6156892377873865,26,53,5,30
