context,p,r,f1,n_pos,total_pos,n_neg,total_neg
stand,0.9590909090909091,0.9545454545454546,0.9548325358851675,12,13,0,9
candy,0.9590909090909091,0.9545454545454546,0.9548325358851675,12,13,0,9
sweet,0.9590909090909091,0.9545454545454546,0.9548325358851675,12,13,0,9
peaches,0.9590909090909091,0.9545454545454546,0.9548325358851675,12,13,0,9
wines,0.9590909090909091,0.9545454545454546,0.9548325358851675,12,13,0,9
festival,0.9590909090909091,0.9545454545454546,0.9548325358851675,12,13,0,9
grapes,0.9590909090909091,0.9545454545454546,0.9548325358851675,12,13,0,9
champagne,0.9256198347107438,0.9090909090909091,0.9098484848484848,11,13,0,9
wine,0.9256198347107438,0.9090909090909091,0.9098484848484848,11,13,0,9
apple,0.9256198347107438,0.9090909090909091,0.9098484848484848,11,13,0,9
syrup,0.9256198347107438,0.9090909090909091,0.9098484848484848,11,13,0,9
caramel,0.9256198347107438,0.9090909090909091,0.9098484848484848,11,13,0,9
sweeter,0.9256198347107438,0.9090909090909091,0.9098484848484848,11,13,0,9
reserved,0.9256198347107438,0.9090909090909091,0.9098484848484848,11,13,0,9
real,0.9256198347107438,0.9090909090909091,0.9098484848484848,11,13,0,9
bubble,0.9256198347107438,0.9090909090909091,0.9098484848484848,11,13,0,9
visitor,0.9256198347107438,0.9090909090909091,0.9098484848484848,11,13,0,9
entirely,0.9256198347107438,0.9090909090909091,0.9098484848484848,11,13,0,9
apples,0.9256198347107438,0.9090909090909091,0.9098484848484848,11,13,0,9
substitute,0.9256198347107438,0.9090909090909091,0.9098484848484848,11,13,0,9
holiday,0.9256198347107438,0.9090909090909091,0.9098484848484848,11,13,0,9
flowing,0.9090909090909091,0.9090909090909091,0.9090909090909091,12,13,1,9
rival,0.9090909090909091,0.9090909090909091,0.9090909090909091,12,13,1,9
wooden,0.9090909090909091,0.9090909090909091,0.9090909090909091,12,13,1,9
handed,0.868939393939394,0.8636363636363636,0.8644976076555024,11,13,1,9
dates,0.868939393939394,0.8636363636363636,0.8644976076555024,11,13,1,9
happy,0.868939393939394,0.8636363636363636,0.8644976076555024,11,13,1,9
53,0.868939393939394,0.8636363636363636,0.8644976076555024,11,13,1,9
jelly,0.868939393939394,0.8636363636363636,0.8644976076555024,11,13,1,9
stocked,0.868939393939394,0.8636363636363636,0.8644976076555024,11,13,1,9
stands,0.8977272727272727,0.8636363636363636,0.8644833427442122,10,13,0,9
spiked,0.8977272727272727,0.8636363636363636,0.8644833427442122,10,13,0,9
peach,0.8977272727272727,0.8636363636363636,0.8644833427442122,10,13,0,9
cookies,0.8977272727272727,0.8636363636363636,0.8644833427442122,10,13,0,9
sparkling,0.8977272727272727,0.8636363636363636,0.8644833427442122,10,13,0,9
cherry,0.8977272727272727,0.8636363636363636,0.8644833427442122,10,13,0,9
bottle,0.8977272727272727,0.8636363636363636,0.8644833427442122,10,13,0,9
grape,0.8977272727272727,0.8636363636363636,0.8644833427442122,10,13,0,9
strawberries,0.8977272727272727,0.8636363636363636,0.8644833427442122,10,13,0,9
cider,0.8977272727272727,0.8636363636363636,0.8644833427442122,10,13,0,9
sunshine,0.8977272727272727,0.8636363636363636,0.8644833427442122,10,13,0,9
promising,0.8977272727272727,0.8636363636363636,0.8644833427442122,10,13,0,9
cognac,0.8977272727272727,0.8636363636363636,0.8644833427442122,10,13,0,9
