context,p,r,f1,n_pos,total_pos,n_neg,total_neg
name,0.8815384615384616,0.7884615384615384,0.8003944773175543,27,38,0,14
known,0.8131868131868132,0.7307692307692307,0.7457980615875351,26,38,2,14
male,0.8311680911680911,0.7115384615384616,0.7275082640936298,24,38,1,14
christmas,0.8607427055702919,0.7115384615384616,0.7263849379747207,23,38,0,14
story,0.8607427055702919,0.7115384615384616,0.7263849379747207,23,38,0,14
works,0.8607427055702919,0.7115384615384616,0.7263849379747207,23,38,0,14
oldest,0.8607427055702919,0.7115384615384616,0.7263849379747207,23,38,0,14
project,0.8607427055702919,0.7115384615384616,0.7263849379747207,23,38,0,14
pair,0.7988165680473374,0.6923076923076923,0.7096153846153845,24,38,2,14
spotted,0.8253205128205129,0.6923076923076923,0.7088502894954508,23,38,1,14
call,0.8253205128205129,0.6923076923076923,0.7088502894954508,23,38,1,14
beloved,0.8253205128205129,0.6923076923076923,0.7088502894954508,23,38,1,14
crew,0.8253205128205129,0.6923076923076923,0.7088502894954508,23,38,1,14
her,0.8564102564102564,0.6923076923076923,0.7072261072261072,22,38,0,14
killer,0.8564102564102564,0.6923076923076923,0.7072261072261072,22,38,0,14
nose,0.8564102564102564,0.6923076923076923,0.7072261072261072,22,38,0,14
becomes,0.8564102564102564,0.6923076923076923,0.7072261072261072,22,38,0,14
favorite,0.791965811965812,0.6730769230769231,0.6911760326394472,23,38,2,14
type,0.791965811965812,0.6730769230769231,0.6911760326394472,23,38,2,14
looks,0.8196863106908084,0.6730769230769231,0.6899029297046833,22,38,1,14
haired,0.8196863106908084,0.6730769230769231,0.6899029297046833,22,38,1,14
child,0.8196863106908084,0.6730769230769231,0.6899029297046833,22,38,1,14
sight,0.8196863106908084,0.6730769230769231,0.6899029297046833,22,38,1,14
beach,0.8196863106908084,0.6730769230769231,0.6899029297046833,22,38,1,14
becoming,0.8196863106908084,0.6730769230769231,0.6899029297046833,22,38,1,14
collection,0.8196863106908084,0.6730769230769231,0.6899029297046833,22,38,1,14
cafe,0.8523573200992556,0.6730769230769231,0.6877299724757352,21,38,0,14
calif,0.8523573200992556,0.6730769230769231,0.6877299724757352,21,38,0,14
act,0.8523573200992556,0.6730769230769231,0.6877299724757352,21,38,0,14
traveling,0.8523573200992556,0.6730769230769231,0.6877299724757352,21,38,0,14
eventually,0.8523573200992556,0.6730769230769231,0.6877299724757352,21,38,0,14
nicknamed,0.7852564102564101,0.6538461538461539,0.6724565756823822,22,38,2,14
loving,0.8142191142191143,0.6538461538461539,0.6706293706293707,21,38,1,14
course,0.8142191142191143,0.6538461538461539,0.6706293706293707,21,38,1,14
