context,p,r,f1,n_pos,total_pos,n_neg,total_neg
chicken,1.0,1.0,1.0,75,75,0,2
recipe,1.0,1.0,1.0,75,75,0,2
tomato,0.9913419913419913,0.987012987012987,0.988268107731195,74,75,0,2
mixture,0.987012987012987,0.974025974025974,0.978179478179478,73,75,0,2
bread,0.987012987012987,0.974025974025974,0.978179478179478,73,75,0,2
dish,0.987012987012987,0.974025974025974,0.978179478179478,73,75,0,2
salad,0.9844155844155844,0.961038961038961,0.9689901934799893,72,75,0,2
cooked,0.9844155844155844,0.961038961038961,0.9689901934799893,72,75,0,2
fried,0.9844155844155844,0.961038961038961,0.9689901934799893,72,75,0,2
flavor,0.9844155844155844,0.961038961038961,0.9689901934799893,72,75,0,2
flavored,0.9844155844155844,0.961038961038961,0.9689901934799893,72,75,0,2
tomatoes,0.9826839826839827,0.948051948051948,0.9603273438889876,71,75,0,2
onions,0.9826839826839827,0.948051948051948,0.9603273438889876,71,75,0,2
vegetables,0.9826839826839827,0.948051948051948,0.9603273438889876,71,75,0,2
sauce,0.9826839826839827,0.948051948051948,0.9603273438889876,71,75,0,2
fresh,0.9826839826839827,0.948051948051948,0.9603273438889876,71,75,0,2
pepper,0.9826839826839827,0.948051948051948,0.9603273438889876,71,75,0,2
garlic,0.9826839826839827,0.948051948051948,0.9603273438889876,71,75,0,2
soup,0.9826839826839827,0.948051948051948,0.9603273438889876,71,75,0,2
potato,0.9826839826839827,0.948051948051948,0.9603273438889876,71,75,0,2
recipes,0.9826839826839827,0.948051948051948,0.9603273438889876,71,75,0,2
butter,0.9814471243042672,0.935064935064935,0.9519828830173659,70,75,0,2
cheese,0.9814471243042672,0.935064935064935,0.9519828830173659,70,75,0,2
beans,0.9814471243042672,0.935064935064935,0.9519828830173659,70,75,0,2
slices,0.9814471243042672,0.935064935064935,0.9519828830173659,70,75,0,2
potatoes,0.9814471243042672,0.935064935064935,0.9519828830173659,70,75,0,2
served,0.9814471243042672,0.935064935064935,0.9519828830173659,70,75,0,2
olive,0.9814471243042672,0.935064935064935,0.9519828830173659,70,75,0,2
spicy,0.9814471243042672,0.935064935064935,0.9519828830173659,70,75,0,2
spinach,0.9805194805194806,0.922077922077922,0.9438311688311688,69,75,0,2
