context,p,r,f1,n_pos,total_pos,n_neg,total_neg
dijon,1.0,1.0,1.0,1,1,0,9
gas,1.0,1.0,1.0,1,1,0,9
nerve,1.0,1.0,1.0,1,1,0,9
vinegar,1.0,1.0,1.0,1,1,0,9
seeds,1.0,1.0,1.0,1,1,0,9
sarin,1.0,1.0,1.0,1,1,0,9
honey,1.0,1.0,1.0,1,1,0,9
teaspoon,1.0,1.0,1.0,1,1,0,9
ketchup,1.0,1.0,1.0,1,1,0,9
yellow,1.0,1.0,1.0,1,1,0,9
mayonnaise,1.0,1.0,1.0,1,1,0,9
greens,1.0,1.0,1.0,1,1,0,9
garlic,1.0,1.0,1.0,1,1,0,9
vx,1.0,1.0,1.0,1,1,0,9
tablespoon,1.0,1.0,1.0,1,1,0,9
salt,1.0,1.0,1.0,1,1,0,9
lemon,1.0,1.0,1.0,1,1,0,9
pepper,1.0,1.0,1.0,1,1,0,9
dry,1.0,1.0,1.0,1,1,0,9
mustard,1.0,1.0,1.0,1,1,0,9
colored,1.0,1.0,1.0,1,1,0,9
seed,1.0,1.0,1.0,1,1,0,9
whisk,1.0,1.0,1.0,1,1,0,9
spicy,1.0,1.0,1.0,1,1,0,9
teaspoons,1.0,1.0,1.0,1,1,0,9
chemical,1.0,1.0,1.0,1,1,0,9
shells,1.0,1.0,1.0,1,1,0,9
horseradish,1.0,1.0,1.0,1,1,0,9
combine,1.0,1.0,1.0,1,1,0,9
agents,1.0,1.0,1.0,1,1,0,9
grain,1.0,1.0,1.0,1,1,0,9
worcestershire,1.0,1.0,1.0,1,1,0,9
dressing,1.0,1.0,1.0,1,1,0,9
grainy,1.0,1.0,1.0,1,1,0,9
relish,1.0,1.0,1.0,1,1,0,9
powder,1.0,1.0,1.0,1,1,0,9
mayo,1.0,1.0,1.0,1,1,0,9
gases,1.0,1.0,1.0,1,1,0,9
hot,1.0,1.0,1.0,1,1,0,9
agent,1.0,1.0,1.0,1,1,0,9
sugar,1.0,1.0,1.0,1,1,0,9
phil,1.0,1.0,1.0,1,1,0,9
blister,1.0,1.0,1.0,1,1,0,9
colonel,1.0,1.0,1.0,1,1,0,9
cumin,1.0,1.0,1.0,1,1,0,9
brown,1.0,1.0,1.0,1,1,0,9
poupon,1.0,1.0,1.0,1,1,0,9
phosgene,1.0,1.0,1.0,1,1,0,9
glaze,1.0,1.0,1.0,1,1,0,9
cayenne,1.0,1.0,1.0,1,1,0,9
creole,1.0,1.0,1.0,1,1,0,9
thyme,1.0,1.0,1.0,1,1,0,9
tarragon,1.0,1.0,1.0,1,1,0,9
gulden,1.0,1.0,1.0,1,1,0,9
mix,1.0,1.0,1.0,1,1,0,9
paprika,1.0,1.0,1.0,1,1,0,9
filled,1.0,1.0,1.0,1,1,0,9
style,1.0,1.0,1.0,1,1,0,9
colman,1.0,1.0,1.0,1,1,0,9
chemicals,1.0,1.0,1.0,1,1,0,9
tabasco,1.0,1.0,1.0,1,1,0,9
shallot,1.0,1.0,1.0,1,1,0,9
kurds,1.0,1.0,1.0,1,1,0,9
arabidopsis,1.0,1.0,1.0,1,1,0,9
spread,1.0,1.0,1.0,1,1,0,9
rosemary,1.0,1.0,1.0,1,1,0,9
precursor,1.0,1.0,1.0,1,1,0,9
blistering,1.0,1.0,1.0,1,1,0,9
weapons,1.0,1.0,1.0,1,1,0,9
coarse,1.0,1.0,1.0,1,1,0,9
together,1.0,1.0,1.0,1,1,0,9
tabun,1.0,1.0,1.0,1,1,0,9
munitions,1.0,1.0,1.0,1,1,0,9
deli,1.0,1.0,1.0,1,1,0,9
herbs,1.0,1.0,1.0,1,1,0,9
sour,1.0,1.0,1.0,1,1,0,9
collard,1.0,1.0,1.0,1,1,0,9
maple,1.0,1.0,1.0,1,1,0,9
yolk,1.0,1.0,1.0,1,1,0,9
anthrax,1.0,1.0,1.0,1,1,0,9
traces,1.0,1.0,1.0,1,1,0,9
deadly,1.0,1.0,1.0,1,1,0,9
belt,1.0,1.0,1.0,1,1,0,9
shallots,1.0,1.0,1.0,1,1,0,9
halabja,1.0,1.0,1.0,1,1,0,9
grained,1.0,1.0,1.0,1,1,0,9
slathered,1.0,1.0,1.0,1,1,0,9
barrels,1.0,1.0,1.0,1,1,0,9
550,1.0,1.0,1.0,1,1,0,9
bombs,1.0,1.0,1.0,1,1,0,9
ingredients,1.0,1.0,1.0,1,1,0,9
warheads,1.0,1.0,1.0,1,1,0,9
molasses,1.0,1.0,1.0,1,1,0,9
pinch,1.0,1.0,1.0,1,1,0,9
spices,1.0,1.0,1.0,1,1,0,9
artillery,1.0,1.0,1.0,1,1,0,9
precursors,1.0,1.0,1.0,1,1,0,9
poison,1.0,1.0,1.0,1,1,0,9
yogurt,1.0,1.0,1.0,1,1,0,9
grey,1.0,1.0,1.0,1,1,0,9
ballpark,1.0,1.0,1.0,1,1,0,9
chad,1.0,1.0,1.0,1,1,0,9
cyanide,1.0,1.0,1.0,1,1,0,9
1988,1.0,1.0,1.0,1,1,0,9
peppercorns,1.0,1.0,1.0,1,1,0,9
beer,1.0,1.0,1.0,1,1,0,9
qiqihar,1.0,1.0,1.0,1,1,0,9
barbecue,1.0,1.0,1.0,1,1,0,9
containers,1.0,1.0,1.0,1,1,0,9
bun,1.0,1.0,1.0,1,1,0,9
lethal,1.0,1.0,1.0,1,1,0,9
syrup,1.0,1.0,1.0,1,1,0,9
ground,1.0,1.0,1.0,1,1,0,9
toxic,1.0,1.0,1.0,1,1,0,9
powdered,1.0,1.0,1.0,1,1,0,9
arsenic,1.0,1.0,1.0,1,1,0,9
dipping,1.0,1.0,1.0,1,1,0,9
condiments,1.0,1.0,1.0,1,1,0,9
sauerkraut,1.0,1.0,1.0,1,1,0,9
crumbs,1.0,1.0,1.0,1,1,0,9
mizuna,1.0,1.0,1.0,1,1,0,9
stone,1.0,1.0,1.0,1,1,0,9
destroyed,1.0,1.0,1.0,1,1,0,9
condiment,1.0,1.0,1.0,1,1,0,9
sulfur,1.0,1.0,1.0,1,1,0,9
lott,1.0,1.0,1.0,1,1,0,9
coriander,1.0,1.0,1.0,1,1,0,9
nitrogen,1.0,1.0,1.0,1,1,0,9
buns,1.0,1.0,1.0,1,1,0,9
pretzels,1.0,1.0,1.0,1,1,0,9
exposure,1.0,1.0,1.0,1,1,0,9
biological,1.0,1.0,1.0,1,1,0,9
rub,1.0,1.0,1.0,1,1,0,9
weed,1.0,1.0,1.0,1,1,0,9
mustards,1.0,1.0,1.0,1,1,0,9
warfare,1.0,1.0,1.0,1,1,0,9
cocktail,1.0,1.0,1.0,1,1,0,9
exposed,1.0,1.0,1.0,1,1,0,9
rye,1.0,1.0,1.0,1,1,0,9
stockpile,1.0,1.0,1.0,1,1,0,9
pietersen,1.0,1.0,1.0,1,1,0,9
mm,1.0,1.0,1.0,1,1,0,9
tangy,1.0,1.0,1.0,1,1,0,9
dumped,1.0,1.0,1.0,1,1,0,9
cloves,1.0,1.0,1.0,1,1,0,9
yolks,1.0,1.0,1.0,1,1,0,9
poisonous,1.0,1.0,1.0,1,1,0,9
dash,1.0,1.0,1.0,1,1,0,9
mount,1.0,1.0,1.0,1,1,0,9
adulterated,1.0,1.0,1.0,1,1,0,9
iraqi,1.0,1.0,1.0,1,1,0,9
stockpiles,1.0,1.0,1.0,1,1,0,9
slather,1.0,1.0,1.0,1,1,0,9
caraway,1.0,1.0,1.0,1,1,0,9
inspectors,1.0,1.0,1.0,1,1,0,9
durham,1.0,1.0,1.0,1,1,0,9
leaked,1.0,1.0,1.0,1,1,0,9
leak,1.0,1.0,1.0,1,1,0,9
allspice,1.0,1.0,1.0,1,1,0,9
stains,1.0,1.0,1.0,1,1,0,9
paint,1.0,1.0,1.0,1,1,0,9
detection,1.0,1.0,1.0,1,1,0,9
poisoned,1.0,1.0,1.0,1,1,0,9
apricot,1.0,1.0,1.0,1,1,0,9
toasted,1.0,1.0,1.0,1,1,0,9
catsup,1.0,1.0,1.0,1,1,0,9
keen,1.0,1.0,1.0,1,1,0,9
blended,1.0,1.0,1.0,1,1,0,9
napa,1.0,1.0,1.0,1,1,0,9
unscom,1.0,1.0,1.0,1,1,0,9
sulphur,1.0,1.0,1.0,1,1,0,9
wicketkeeper,1.0,1.0,1.0,1,1,0,9
freshly,1.0,1.0,1.0,1,1,0,9
cider,1.0,1.0,1.0,1,1,0,9
155,1.0,1.0,1.0,1,1,0,9
smeared,1.0,1.0,1.0,1,1,0,9
preserves,1.0,1.0,1.0,1,1,0,9
leaking,1.0,1.0,1.0,1,1,0,9
cylinder,1.0,1.0,1.0,1,1,0,9
cornichons,1.0,1.0,1.0,1,1,0,9
coveted,1.0,1.0,1.0,1,1,0,9
museum,1.0,1.0,1.0,1,1,0,9
pommery,1.0,1.0,1.0,1,1,0,9
uniforms,1.0,1.0,1.0,1,1,0,9
pretzel,1.0,1.0,1.0,1,1,0,9
loaded,1.0,1.0,1.0,1,1,0,9
extra,1.0,1.0,1.0,1,1,0,9
tenderloin,1.0,1.0,1.0,1,1,0,9
pots,1.0,1.0,1.0,1,1,0,9
chops,1.0,1.0,1.0,1,1,0,9
chlorine,1.0,1.0,1.0,1,1,0,9
packets,1.0,1.0,1.0,1,1,0,9
quantity,1.0,1.0,1.0,1,1,0,9
fillets,1.0,1.0,1.0,1,1,0,9
marmalade,1.0,1.0,1.0,1,1,0,9
smear,1.0,1.0,1.0,1,1,0,9
geologist,1.0,1.0,1.0,1,1,0,9
alastair,1.0,1.0,1.0,1,1,0,9
gorny,1.0,1.0,1.0,1,1,0,9
sage,1.0,1.0,1.0,1,1,0,9
poisons,1.0,1.0,1.0,1,1,0,9
bourbon,1.0,1.0,1.0,1,1,0,9
vinegars,1.0,1.0,1.0,1,1,0,9
destruction,1.0,1.0,1.0,1,1,0,9
stained,1.0,1.0,1.0,1,1,0,9
stain,1.0,1.0,1.0,1,1,0,9
broncos,1.0,1.0,1.0,1,1,0,9
destroy,1.0,1.0,1.0,1,1,0,9
dab,1.0,1.0,1.0,1,1,0,9
family,1.0,1.0,1.0,1,1,0,9
zest,1.0,1.0,1.0,1,1,0,9
yellows,1.0,1.0,1.0,1,1,0,9
neutralize,1.0,1.0,1.0,1,1,0,9
swann,1.0,1.0,1.0,1,1,0,9
plasters,1.0,1.0,1.0,1,1,0,9
drums,1.0,1.0,1.0,1,1,0,9
coleman,1.0,1.0,1.0,1,1,0,9
col,1.0,1.0,1.0,1,1,0,9
slathering,1.0,1.0,1.0,1,1,0,9
canisters,1.0,1.0,1.0,1,1,0,9
teal,1.0,1.0,1.0,1,1,0,9
smearing,1.0,1.0,1.0,1,1,0,9
mud,1.0,1.0,1.0,1,1,0,9
army,1.0,1.0,1.0,1,1,0,9
ii,1.0,1.0,1.0,1,1,0,9
steaks,1.0,1.0,1.0,1,1,0,9
fenugreek,1.0,1.0,1.0,1,1,0,9
stored,1.0,1.0,1.0,1,1,0,9
english,1.0,1.0,1.0,1,1,0,9
era,1.0,1.0,1.0,1,1,0,9
seasonings,1.0,1.0,1.0,1,1,0,9
blue,1.0,1.0,1.0,1,1,0,9
lots,1.0,1.0,1.0,1,1,0,9
crust,1.0,1.0,1.0,1,1,0,9
chilies,1.0,1.0,1.0,1,1,0,9
produced,1.0,1.0,1.0,1,1,0,9
abandoned,1.0,1.0,1.0,1,1,0,9
indian,1.0,1.0,1.0,1,1,0,9
brick,1.0,1.0,1.0,1,1,0,9
anchovy,1.0,1.0,1.0,1,1,0,9
buttermilk,1.0,1.0,1.0,1,1,0,9
weapon,1.0,1.0,1.0,1,1,0,9
tubes,1.0,1.0,1.0,1,1,0,9
genes,1.0,1.0,1.0,1,1,0,9
toxin,1.0,1.0,1.0,1,1,0,9
wearing,1.0,1.0,1.0,1,1,0,9
substances,1.0,1.0,1.0,1,1,0,9
iraq,1.0,1.0,1.0,1,1,0,9
arsenal,1.0,1.0,1.0,1,1,0,9
unleashed,1.0,1.0,1.0,1,1,0,9
inactivated,1.0,1.0,1.0,1,1,0,9
authorising,1.0,1.0,1.0,1,1,0,9
