context,p,r,f1,n_pos,total_pos,n_neg,total_neg
fire,0.9607843137254902,0.620253164556962,0.7538461538461539,49,79,2,79
suddenly,0.9259259259259259,0.6329113924050633,0.7518796992481204,50,79,4,79
enormous,0.875,0.620253164556962,0.725925925925926,49,79,7,79
revealed,0.875,0.620253164556962,0.725925925925926,49,79,7,79
black,0.9387755102040817,0.5822784810126582,0.71875,46,79,3,79
vulnerable,0.9038461538461539,0.5949367088607594,0.7175572519083969,47,79,5,79
been,0.8448275862068966,0.620253164556962,0.7153284671532847,49,79,9,79
looked,0.92,0.5822784810126582,0.7131782945736436,46,79,4,79
evidence,0.9019607843137255,0.5822784810126582,0.7076923076923078,46,79,5,79
victim,0.9019607843137255,0.5822784810126582,0.7076923076923078,46,79,5,79
one,0.8421052631578947,0.6075949367088608,0.7058823529411764,48,79,9,79
eye,1.0,0.5443037974683544,0.7049180327868853,43,79,0,79
strange,0.9565217391304348,0.5569620253164557,0.704,44,79,2,79
equipped,0.9183673469387755,0.569620253164557,0.7031250000000001,45,79,4,79
identified,0.9183673469387755,0.569620253164557,0.7031250000000001,45,79,4,79
emerged,0.8275862068965517,0.6075949367088608,0.7007299270072993,48,79,10,79
claiming,0.9361702127659575,0.5569620253164557,0.6984126984126984,44,79,3,79
another,0.8392857142857143,0.5949367088607594,0.6962962962962963,47,79,9,79
seen,0.8135593220338984,0.6075949367088608,0.6956521739130435,48,79,11,79
could,0.8823529411764706,0.569620253164557,0.6923076923076924,45,79,6,79
himself,0.8518518518518519,0.5822784810126582,0.6917293233082706,46,79,8,79
allowed,0.8518518518518519,0.5822784810126582,0.6917293233082706,46,79,8,79
appeared,0.8518518518518519,0.5822784810126582,0.6917293233082706,46,79,8,79
fixed,0.9347826086956522,0.5443037974683544,0.6880000000000001,43,79,3,79
shooting,0.8979591836734694,0.5569620253164557,0.6875,44,79,5,79
put,0.8653846153846154,0.569620253164557,0.6870229007633588,45,79,7,79
likely,0.8653846153846154,0.569620253164557,0.6870229007633588,45,79,7,79
tracking,0.9545454545454546,0.5316455696202531,0.6829268292682926,42,79,2,79
men,0.88,0.5569620253164557,0.6821705426356589,44,79,6,79
stage,0.8490566037735849,0.569620253164557,0.6818181818181819,45,79,8,79
bigger,0.8490566037735849,0.569620253164557,0.6818181818181819,45,79,8,79
pilot,0.9761904761904762,0.5189873417721519,0.6776859504132231,41,79,1,79
eyes,0.9333333333333333,0.5316455696202531,0.6774193548387096,42,79,3,79
ii,0.9333333333333333,0.5316455696202531,0.6774193548387096,42,79,3,79
found,0.8070175438596491,0.5822784810126582,0.6764705882352942,46,79,11,79
will,0.8070175438596491,0.5822784810126582,0.6764705882352942,46,79,11,79
laboratory,0.9534883720930233,0.5189873417721519,0.6721311475409836,41,79,2,79
governor,0.9534883720930233,0.5189873417721519,0.6721311475409836,41,79,2,79
contact,0.9534883720930233,0.5189873417721519,0.6721311475409836,41,79,2,79
covering,0.9130434782608695,0.5316455696202531,0.672,42,79,4,79
hero,0.9130434782608695,0.5316455696202531,0.672,42,79,4,79
look,0.8775510204081632,0.5443037974683544,0.6718749999999999,43,79,6,79
right,0.8775510204081632,0.5443037974683544,0.6718749999999999,43,79,6,79
slipping,0.8775510204081632,0.5443037974683544,0.6718749999999999,43,79,6,79
latest,0.8775510204081632,0.5443037974683544,0.6718749999999999,43,79,6,79
before,0.8461538461538461,0.5569620253164557,0.6717557251908397,44,79,8,79
perhaps,0.8181818181818182,0.569620253164557,0.6716417910447762,45,79,10,79
past,0.7931034482758621,0.5822784810126582,0.6715328467153284,46,79,12,79
spot,0.8301886792452831,0.5569620253164557,0.6666666666666666,44,79,9,79
2001,0.8301886792452831,0.5569620253164557,0.6666666666666666,44,79,9,79
allowing,0.86,0.5443037974683544,0.6666666666666666,43,79,7,79
simon,0.8936170212765957,0.5316455696202531,0.6666666666666666,42,79,5,79
missing,0.8936170212765957,0.5316455696202531,0.6666666666666666,42,79,5,79
handling,0.9318181818181818,0.5189873417721519,0.6666666666666666,41,79,3,79
