context,p,r,f1,n_pos,total_pos,n_neg,total_neg
introduction,1.0,0.6216216216216216,0.7666666666666667,23,37,0,12
tracking,1.0,0.6216216216216216,0.7666666666666667,23,37,0,12
likely,0.9230769230769231,0.6486486486486487,0.7619047619047619,24,37,2,12
evidence,0.9583333333333334,0.6216216216216216,0.7540983606557377,23,37,1,12
suddenly,0.9583333333333334,0.6216216216216216,0.7540983606557377,23,37,1,12
any,1.0,0.5945945945945946,0.7457627118644068,22,37,0,12
victim,1.0,0.5945945945945946,0.7457627118644068,22,37,0,12
person,1.0,0.5945945945945946,0.7457627118644068,22,37,0,12
raising,0.9565217391304348,0.5945945945945946,0.7333333333333334,22,37,1,12
worst,0.9565217391304348,0.5945945945945946,0.7333333333333334,22,37,1,12
understand,1.0,0.5675675675675675,0.7241379310344828,21,37,0,12
ears,1.0,0.5675675675675675,0.7241379310344828,21,37,0,12
prevent,1.0,0.5675675675675675,0.7241379310344828,21,37,0,12
bigger,0.9166666666666666,0.5945945945945946,0.7213114754098361,22,37,2,12
can,0.8518518518518519,0.6216216216216216,0.7187499999999999,23,37,4,12
vulnerable,0.9545454545454546,0.5675675675675675,0.711864406779661,21,37,1,12
identified,0.9545454545454546,0.5675675675675675,0.711864406779661,21,37,1,12
been,0.88,0.5945945945945946,0.7096774193548386,22,37,3,12
circles,1.0,0.5405405405405406,0.7017543859649124,20,37,0,12
broken,1.0,0.5405405405405406,0.7017543859649124,20,37,0,12
brown,1.0,0.5405405405405406,0.7017543859649124,20,37,0,12
parts,1.0,0.5405405405405406,0.7017543859649124,20,37,0,12
containing,0.9130434782608695,0.5675675675675675,0.6999999999999998,21,37,2,12
threatening,0.9130434782608695,0.5675675675675675,0.6999999999999998,21,37,2,12
thus,0.9130434782608695,0.5675675675675675,0.6999999999999998,21,37,2,12
problem,0.9130434782608695,0.5675675675675675,0.6999999999999998,21,37,2,12
fire,0.9130434782608695,0.5675675675675675,0.6999999999999998,21,37,2,12
finally,0.9130434782608695,0.5675675675675675,0.6999999999999998,21,37,2,12
due,0.9130434782608695,0.5675675675675675,0.6999999999999998,21,37,2,12
following,0.9130434782608695,0.5675675675675675,0.6999999999999998,21,37,2,12
mentioned,0.9130434782608695,0.5675675675675675,0.6999999999999998,21,37,2,12
similar,0.8461538461538461,0.5945945945945946,0.6984126984126985,22,37,4,12
allowing,0.9523809523809523,0.5405405405405406,0.6896551724137931,20,37,1,12
cases,0.9523809523809523,0.5405405405405406,0.6896551724137931,20,37,1,12
