context,p,r,f1,n_pos,total_pos,n_neg,total_neg
based,1.0,0.9411764705882353,0.9696969696969697,16,17,0,6
dinner,1.0,0.9411764705882353,0.9696969696969697,16,17,0,6
offers,1.0,0.9411764705882353,0.9696969696969697,16,17,0,6
stand,1.0,0.8823529411764706,0.9375,15,17,0,6
sweet,1.0,0.8823529411764706,0.9375,15,17,0,6
soft,1.0,0.8823529411764706,0.9375,15,17,0,6
bought,1.0,0.8823529411764706,0.9375,15,17,0,6
rub,1.0,0.8823529411764706,0.9375,15,17,0,6
25,1.0,0.8823529411764706,0.9375,15,17,0,6
each,1.0,0.8823529411764706,0.9375,15,17,0,6
adds,1.0,0.8823529411764706,0.9375,15,17,0,6
locally,1.0,0.8823529411764706,0.9375,15,17,0,6
maker,1.0,0.8823529411764706,0.9375,15,17,0,6
becomes,1.0,0.8823529411764706,0.9375,15,17,0,6
drop,1.0,0.8823529411764706,0.9375,15,17,0,6
seeds,0.9375,0.8823529411764706,0.9090909090909091,15,17,1,6
concentrate,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
mix,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
making,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
champagne,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
gallons,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
combine,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
served,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
cocktail,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
picnic,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
chilled,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
serves,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
variety,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
basic,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
potato,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
honey,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
buy,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
lunch,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
usually,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
dubbed,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
fell,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
cheap,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
words,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
available,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
grade,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
together,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
tom,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
offering,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
grown,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
always,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
95,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
drops,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
include,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
66,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
drain,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
cost,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
delivered,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
fortified,1.0,0.8235294117647058,0.9032258064516129,14,17,0,6
