context,p,r,f1,n_pos,total_pos,n_neg,total_neg
hook,1.0,1.0,1.0,3,3,0,3
chef,1.0,1.0,1.0,3,3,0,3
occasional,1.0,1.0,1.0,3,3,0,3
used,1.0,1.0,1.0,3,3,0,3
executed,1.0,1.0,1.0,3,3,0,3
undergo,1.0,1.0,1.0,3,3,0,3
recalls,1.0,1.0,1.0,3,3,0,3
ray,1.0,1.0,1.0,3,3,0,3
heart,1.0,1.0,1.0,3,3,0,3
neck,1.0,1.0,1.0,3,3,0,3
do,1.0,1.0,1.0,3,3,0,3
never,1.0,1.0,1.0,3,3,0,3
fashion,1.0,1.0,1.0,3,3,0,3
fit,1.0,1.0,1.0,3,3,0,3
these,1.0,1.0,1.0,3,3,0,3
author,1.0,1.0,1.0,3,3,0,3
white,1.0,1.0,1.0,3,3,0,3
slices,1.0,1.0,1.0,3,3,0,3
surprisingly,1.0,1.0,1.0,3,3,0,3
opted,1.0,1.0,1.0,3,3,0,3
drives,1.0,1.0,1.0,3,3,0,3
man,1.0,1.0,1.0,3,3,0,3
operation,1.0,1.0,1.0,3,3,0,3
shaped,1.0,1.0,1.0,3,3,0,3
ends,1.0,1.0,1.0,3,3,0,3
hot,1.0,1.0,1.0,3,3,0,3
kind,1.0,1.0,1.0,3,3,0,3
tie,0.875,0.8333333333333334,0.8285714285714286,2,3,0,3
perez,0.875,0.8333333333333334,0.8285714285714286,2,3,0,3
ties,0.875,0.8333333333333334,0.8285714285714286,2,3,0,3
hat,0.875,0.8333333333333334,0.8285714285714286,2,3,0,3
boots,0.875,0.8333333333333334,0.8285714285714286,2,3,0,3
shirt,0.875,0.8333333333333334,0.8285714285714286,2,3,0,3
dutch,0.875,0.8333333333333334,0.8285714285714286,2,3,0,3
jacket,0.875,0.8333333333333334,0.8285714285714286,2,3,0,3
jeans,0.875,0.8333333333333334,0.8285714285714286,2,3,0,3
wore,0.875,0.8333333333333334,0.8285714285714286,2,3,0,3
monarch,0.875,0.8333333333333334,0.8285714285714286,2,3,0,3
buckle,0.875,0.8333333333333334,0.8285714285714286,2,3,0,3
worn,0.875,0.8333333333333334,0.8285714285714286,2,3,0,3
custom,0.875,0.8333333333333334,0.8285714285714286,2,3,0,3
howard,0.875,0.8333333333333334,0.8285714285714286,2,3,0,3
substitute,0.875,0.8333333333333334,0.8285714285714286,2,3,0,3
suits,0.875,0.8333333333333334,0.8285714285714286,2,3,0,3
vest,0.875,0.8333333333333334,0.8285714285714286,2,3,0,3
displaying,0.875,0.8333333333333334,0.8285714285714286,2,3,0,3
manhattan,0.875,0.8333333333333334,0.8285714285714286,2,3,0,3
knives,0.875,0.8333333333333334,0.8285714285714286,2,3,0,3
club,0.875,0.8333333333333334,0.8285714285714286,2,3,0,3
signature,0.875,0.8333333333333334,0.8285714285714286,2,3,0,3
tapped,0.875,0.8333333333333334,0.8285714285714286,2,3,0,3
