context,p,r,f1,n_pos,total_pos,n_neg,total_neg
been,1.0,1.0,1.0,5,5,0,4
him,1.0,1.0,1.0,5,5,0,4
on,1.0,1.0,1.0,5,5,0,4
attacks,1.0,1.0,1.0,5,5,0,4
500,1.0,1.0,1.0,5,5,0,4
there,1.0,1.0,1.0,5,5,0,4
are,1.0,1.0,1.0,5,5,0,4
row,1.0,1.0,1.0,5,5,0,4
mask,1.0,1.0,1.0,5,5,0,4
threatened,1.0,1.0,1.0,5,5,0,4
against,1.0,1.0,1.0,5,5,0,4
driver,1.0,1.0,1.0,5,5,0,4
54,1.0,1.0,1.0,5,5,0,4
person,1.0,1.0,1.0,5,5,0,4
demonstrated,1.0,1.0,1.0,5,5,0,4
22,1.0,1.0,1.0,5,5,0,4
think,1.0,1.0,1.0,5,5,0,4
during,1.0,1.0,1.0,5,5,0,4
nearly,1.0,1.0,1.0,5,5,0,4
15,1.0,1.0,1.0,5,5,0,4
000,0.911111111111111,0.8888888888888888,0.8888888888888888,4,5,0,4
was,0.911111111111111,0.8888888888888888,0.8888888888888888,4,5,0,4
garcia,0.911111111111111,0.8888888888888888,0.8888888888888888,4,5,0,4
an,0.911111111111111,0.8888888888888888,0.8888888888888888,4,5,0,4
wildlife,0.911111111111111,0.8888888888888888,0.8888888888888888,4,5,0,4
attacked,0.911111111111111,0.8888888888888888,0.8888888888888888,4,5,0,4
paid,0.911111111111111,0.8888888888888888,0.8888888888888888,4,5,0,4
spurs,0.911111111111111,0.8888888888888888,0.8888888888888888,4,5,0,4
attack,0.911111111111111,0.8888888888888888,0.8888888888888888,4,5,0,4
dead,0.911111111111111,0.8888888888888888,0.8888888888888888,4,5,0,4
where,0.911111111111111,0.8888888888888888,0.8888888888888888,4,5,0,4
but,0.911111111111111,0.8888888888888888,0.8888888888888888,4,5,0,4
knows,0.911111111111111,0.8888888888888888,0.8888888888888888,4,5,0,4
looking,0.911111111111111,0.8888888888888888,0.8888888888888888,4,5,0,4
area,0.911111111111111,0.8888888888888888,0.8888888888888888,4,5,0,4
hungry,0.911111111111111,0.8888888888888888,0.8888888888888888,4,5,0,4
perry,0.911111111111111,0.8888888888888888,0.8888888888888888,4,5,0,4
aggressive,0.911111111111111,0.8888888888888888,0.8888888888888888,4,5,0,4
number,0.911111111111111,0.8888888888888888,0.8888888888888888,4,5,0,4
old,0.911111111111111,0.8888888888888888,0.8888888888888888,4,5,0,4
see,0.911111111111111,0.8888888888888888,0.8888888888888888,4,5,0,4
