context,p,r,f1,n_pos,total_pos,n_neg,total_neg
carrying,0.963768115942029,0.9565217391304348,0.9578769057029924,17,18,0,5
loaded,0.963768115942029,0.9565217391304348,0.9578769057029924,17,18,0,5
deadly,0.9378881987577641,0.9130434782608695,0.9177323103154306,16,18,0,5
wielding,0.9184782608695652,0.8695652173913043,0.8786865308604439,15,18,0,5
armed,0.9184782608695652,0.8695652173913043,0.8786865308604439,15,18,0,5
used,0.9184782608695652,0.8695652173913043,0.8786865308604439,15,18,0,5
killed,0.9184782608695652,0.8695652173913043,0.8786865308604439,15,18,0,5
carries,0.9184782608695652,0.8695652173913043,0.8786865308604439,15,18,0,5
death,0.9184782608695652,0.8695652173913043,0.8786865308604439,15,18,0,5
shooting,0.9184782608695652,0.8695652173913043,0.8786865308604439,15,18,0,5
fire,0.9184782608695652,0.8695652173913043,0.8786865308604439,15,18,0,5
stone,0.9184782608695652,0.8695652173913043,0.8786865308604439,15,18,0,5
equipped,0.9184782608695652,0.8695652173913043,0.8786865308604439,15,18,0,5
equipment,0.9184782608695652,0.8695652173913043,0.8786865308604439,15,18,0,5
newspaper,0.9184782608695652,0.8695652173913043,0.8786865308604439,15,18,0,5
carried,0.9184782608695652,0.8695652173913043,0.8786865308604439,15,18,0,5
large,0.9184782608695652,0.8695652173913043,0.8786865308604439,15,18,0,5
shotgun,0.9184782608695652,0.8695652173913043,0.8786865308604439,15,18,0,5
discovered,0.9184782608695652,0.8695652173913043,0.8786865308604439,15,18,0,5
type,0.9184782608695652,0.8695652173913043,0.8786865308604439,15,18,0,5
instantly,0.9184782608695652,0.8695652173913043,0.8786865308604439,15,18,0,5
described,0.9184782608695652,0.8695652173913043,0.8786865308604439,15,18,0,5
rifle,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
knife,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
with,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
mounted,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
features,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
using,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
weapon,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
bloody,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
bag,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
threatened,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
machine,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
containing,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
steal,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
threatening,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
700,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
hundreds,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
authorities,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
name,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
including,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
without,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
attack,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
air,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
men,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
they,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
car,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
firing,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
small,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
purchased,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
vehicle,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
according,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
100,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
500,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
believed,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
include,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
direction,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
drop,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
seriously,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
march,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
crack,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
july,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
town,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
violence,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
none,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
lethal,0.9033816425120773,0.8260869565217391,0.8400621118012424,14,18,0,5
or,0.8579192546583851,0.8260869565217391,0.835464620630861,15,18,1,5
said,0.8579192546583851,0.8260869565217391,0.835464620630861,15,18,1,5
000,0.8579192546583851,0.8260869565217391,0.835464620630861,15,18,1,5
kill,0.8913043478260869,0.782608695652174,0.8013090229079008,13,18,0,5
pistol,0.8913043478260869,0.782608695652174,0.8013090229079008,13,18,0,5
assault,0.8913043478260869,0.782608695652174,0.8013090229079008,13,18,0,5
flash,0.8913043478260869,0.782608695652174,0.8013090229079008,13,18,0,5
drill,0.8913043478260869,0.782608695652174,0.8013090229079008,13,18,0,5
pointing,0.8913043478260869,0.782608695652174,0.8013090229079008,13,18,0,5
shoot,0.8913043478260869,0.782608695652174,0.8013090229079008,13,18,0,5
soldiers,0.8913043478260869,0.782608695652174,0.8013090229079008,13,18,0,5
rounds,0.8913043478260869,0.782608695652174,0.8013090229079008,13,18,0,5
guards,0.8913043478260869,0.782608695652174,0.8013090229079008,13,18,0,5
found,0.8913043478260869,0.782608695652174,0.8013090229079008,13,18,0,5
wounding,0.8913043478260869,0.782608695652174,0.8013090229079008,13,18,0,5
resisted,0.8913043478260869,0.782608695652174,0.8013090229079008,13,18,0,5
victims,0.8913043478260869,0.782608695652174,0.8013090229079008,13,18,0,5
guns,0.8913043478260869,0.782608695652174,0.8013090229079008,13,18,0,5
successful,0.8913043478260869,0.782608695652174,0.8013090229079008,13,18,0,5
250,0.8913043478260869,0.782608695652174,0.8013090229079008,13,18,0,5
pictures,0.8913043478260869,0.782608695652174,0.8013090229079008,13,18,0,5
