context,p,r,f1,n_pos,total_pos,n_neg,total_neg
lady,1.0,1.0,1.0,2,2,0,2
vampire,1.0,1.0,1.0,2,2,0,2
song,1.0,1.0,1.0,2,2,0,2
eyed,1.0,1.0,1.0,2,2,0,2
blond,1.0,1.0,1.0,2,2,0,2
dresses,1.0,1.0,1.0,2,2,0,2
piano,1.0,1.0,1.0,2,2,0,2
madonna,1.0,1.0,1.0,2,2,0,2
soul,1.0,1.0,1.0,2,2,0,2
fashion,1.0,1.0,1.0,2,2,0,2
band,1.0,1.0,1.0,2,2,0,2
silent,1.0,1.0,1.0,2,2,0,2
disco,1.0,1.0,1.0,2,2,0,2
plays,1.0,1.0,1.0,2,2,0,2
nickname,1.0,1.0,1.0,2,2,0,2
queen,1.0,1.0,1.0,2,2,0,2
keeps,1.0,1.0,1.0,2,2,0,2
she,1.0,1.0,1.0,2,2,0,2
sweet,1.0,1.0,1.0,2,2,0,2
polish,1.0,1.0,1.0,2,2,0,2
shoes,1.0,1.0,1.0,2,2,0,2
drum,1.0,1.0,1.0,2,2,0,2
mick,1.0,1.0,1.0,2,2,0,2
girlfriend,1.0,1.0,1.0,2,2,0,2
actress,1.0,1.0,1.0,2,2,0,2
ruthless,1.0,1.0,1.0,2,2,0,2
her,1.0,1.0,1.0,2,2,0,2
collection,1.0,1.0,1.0,2,2,0,2
accompany,1.0,1.0,1.0,2,2,0,2
teen,1.0,1.0,1.0,2,2,0,2
hip,1.0,1.0,1.0,2,2,0,2
nightclub,1.0,1.0,1.0,2,2,0,2
featuring,1.0,1.0,1.0,2,2,0,2
shallow,1.0,1.0,1.0,2,2,0,2
michelle,1.0,1.0,1.0,2,2,0,2
french,1.0,1.0,1.0,2,2,0,2
virgin,1.0,1.0,1.0,2,2,0,2
style,1.0,1.0,1.0,2,2,0,2
organ,1.0,1.0,1.0,2,2,0,2
girl,1.0,1.0,1.0,2,2,0,2
glamour,1.0,1.0,1.0,2,2,0,2
sings,1.0,1.0,1.0,2,2,0,2
welcome,1.0,1.0,1.0,2,2,0,2
christina,1.0,1.0,1.0,2,2,0,2
wear,1.0,1.0,1.0,2,2,0,2
jazz,1.0,1.0,1.0,2,2,0,2
charity,1.0,1.0,1.0,2,2,0,2
romantic,1.0,1.0,1.0,2,2,0,2
images,1.0,1.0,1.0,2,2,0,2
tunes,1.0,1.0,1.0,2,2,0,2
baby,1.0,1.0,1.0,2,2,0,2
hop,1.0,1.0,1.0,2,2,0,2
dylan,1.0,1.0,1.0,2,2,0,2
drink,1.0,1.0,1.0,2,2,0,2
sang,1.0,1.0,1.0,2,2,0,2
sing,1.0,1.0,1.0,2,2,0,2
mistress,1.0,1.0,1.0,2,2,0,2
dissolve,1.0,1.0,1.0,2,2,0,2
bedroom,1.0,1.0,1.0,2,2,0,2
born,1.0,1.0,1.0,2,2,0,2
morton,1.0,1.0,1.0,2,2,0,2
iconic,1.0,1.0,1.0,2,2,0,2
moore,1.0,1.0,1.0,2,2,0,2
ice,1.0,1.0,1.0,2,2,0,2
art,1.0,1.0,1.0,2,2,0,2
image,1.0,1.0,1.0,2,2,0,2
hoffman,1.0,1.0,1.0,2,2,0,2
miss,1.0,1.0,1.0,2,2,0,2
midnight,1.0,1.0,1.0,2,2,0,2
golden,1.0,1.0,1.0,2,2,0,2
gloria,1.0,1.0,1.0,2,2,0,2
opening,1.0,1.0,1.0,2,2,0,2
opens,1.0,1.0,1.0,2,2,0,2
british,1.0,1.0,1.0,2,2,0,2
brown,1.0,1.0,1.0,2,2,0,2
number,1.0,1.0,1.0,2,2,0,2
town,1.0,1.0,1.0,2,2,0,2
beer,1.0,1.0,1.0,2,2,0,2
hello,1.0,1.0,1.0,2,2,0,2
naked,1.0,1.0,1.0,2,2,0,2
tender,1.0,1.0,1.0,2,2,0,2
awkward,1.0,1.0,1.0,2,2,0,2
mysterious,1.0,1.0,1.0,2,2,0,2
niece,1.0,1.0,1.0,2,2,0,2
my,1.0,1.0,1.0,2,2,0,2
bee,1.0,1.0,1.0,2,2,0,2
bed,1.0,1.0,1.0,2,2,0,2
gypsy,1.0,1.0,1.0,2,2,0,2
ballet,1.0,1.0,1.0,2,2,0,2
homage,1.0,1.0,1.0,2,2,0,2
hewitt,1.0,1.0,1.0,2,2,0,2
heroine,1.0,1.0,1.0,2,2,0,2
beautiful,1.0,1.0,1.0,2,2,0,2
teenage,1.0,1.0,1.0,2,2,0,2
head,1.0,1.0,1.0,2,2,0,2
toast,1.0,1.0,1.0,2,2,0,2
hawaii,1.0,1.0,1.0,2,2,0,2
having,1.0,1.0,1.0,2,2,0,2
norfolk,1.0,1.0,1.0,2,2,0,2
biography,1.0,1.0,1.0,2,2,0,2
savannah,1.0,1.0,1.0,2,2,0,2
escape,1.0,1.0,1.0,2,2,0,2
entrance,1.0,1.0,1.0,2,2,0,2
crossing,1.0,1.0,1.0,2,2,0,2
routine,1.0,1.0,1.0,2,2,0,2
route,1.0,1.0,1.0,2,2,0,2
purple,1.0,1.0,1.0,2,2,0,2
