context,p,r,f1,n_pos,total_pos,n_neg,total_neg
flew,0.9354838709677419,0.6590909090909091,0.7733333333333332,29,44,2,44
fly,0.9655172413793104,0.6363636363636364,0.7671232876712328,28,44,1,44
flying,0.90625,0.6590909090909091,0.763157894736842,29,44,3,44
flies,0.8484848484848485,0.6363636363636364,0.7272727272727273,28,44,5,44
wings,0.8928571428571429,0.5681818181818182,0.6944444444444445,25,44,3,44
flight,0.8888888888888888,0.5454545454545454,0.676056338028169,24,44,3,44
bird,0.8846153846153846,0.5227272727272727,0.6571428571428571,23,44,3,44
birds,0.8846153846153846,0.5227272727272727,0.6571428571428571,23,44,3,44
overhead,0.9565217391304348,0.5,0.6567164179104478,22,44,1,44
wing,0.9166666666666666,0.5,0.6470588235294118,22,44,2,44
dove,0.875,0.4772727272727273,0.6176470588235294,21,44,3,44
flown,0.9523809523809523,0.45454545454545453,0.6153846153846153,20,44,1,44
air,0.7857142857142857,0.5,0.6111111111111112,22,44,6,44
hawk,0.9090909090909091,0.45454545454545453,0.6060606060606061,20,44,2,44
bright,0.9090909090909091,0.45454545454545453,0.6060606060606061,20,44,2,44
plane,0.8333333333333334,0.45454545454545453,0.5882352941176471,20,44,4,44
highly,0.75,0.4772727272727273,0.5833333333333334,21,44,7,44
prison,1.0,0.4090909090909091,0.5806451612903226,18,44,0,44
nest,0.8636363636363636,0.4318181818181818,0.5757575757575758,19,44,3,44
republican,0.8636363636363636,0.4318181818181818,0.5757575757575758,19,44,3,44
billed,0.9473684210526315,0.4090909090909091,0.5714285714285715,18,44,1,44
hovering,0.9473684210526315,0.4090909090909091,0.5714285714285715,18,44,1,44
light,0.8260869565217391,0.4318181818181818,0.5671641791044776,19,44,4,44
refuge,0.7916666666666666,0.4318181818181818,0.5588235294117647,19,44,5,44
christopher,1.0,0.38636363636363635,0.5573770491803279,17,44,0,44
indian,0.7142857142857143,0.45454545454545453,0.5555555555555556,20,44,8,44
extraordinary,0.8571428571428571,0.4090909090909091,0.5538461538461539,18,44,3,44
lands,0.76,0.4318181818181818,0.5507246376811594,19,44,6,44
altitude,0.9444444444444444,0.38636363636363635,0.5483870967741935,17,44,1,44
force,0.6896551724137931,0.45454545454545453,0.547945205479452,20,44,9,44
television,0.8181818181818182,0.4090909090909091,0.5454545454545455,18,44,4,44
came,0.5208333333333334,0.5681818181818182,0.5434782608695652,25,44,23,44
program,0.5945945945945946,0.5,0.5432098765432098,22,44,15,44
sophisticated,0.7307692307692307,0.4318181818181818,0.5428571428571428,19,44,7,44
sky,0.7307692307692307,0.4318181818181818,0.5428571428571428,19,44,7,44
am,0.6666666666666666,0.45454545454545453,0.5405405405405405,20,44,10,44
scott,0.8947368421052632,0.38636363636363635,0.5396825396825397,17,44,2,44
