context,p,r,f1,n_pos,total_pos,n_neg,total_neg
payload,1.0,0.9,0.9473684210526316,9,10,0,10
overhead,1.0,0.9,0.9473684210526316,9,10,0,10
study,1.0,0.9,0.9473684210526316,9,10,0,10
experimental,1.0,0.9,0.9473684210526316,9,10,0,10
hovering,1.0,0.9,0.9473684210526316,9,10,0,10
airplanes,0.9,0.9,0.9,9,10,1,10
flying,0.9,0.9,0.9,9,10,1,10
engineer,0.9,0.9,0.9,9,10,1,10
16,1.0,0.8,0.888888888888889,8,10,0,10
unmanned,1.0,0.8,0.888888888888889,8,10,0,10
drone,1.0,0.8,0.888888888888889,8,10,0,10
flown,1.0,0.8,0.888888888888889,8,10,0,10
aerial,1.0,0.8,0.888888888888889,8,10,0,10
altitude,1.0,0.8,0.888888888888889,8,10,0,10
ejected,1.0,0.8,0.888888888888889,8,10,0,10
demonstrated,1.0,0.8,0.888888888888889,8,10,0,10
quickly,1.0,0.8,0.888888888888889,8,10,0,10
reportedly,0.8181818181818182,0.9,0.8571428571428572,9,10,2,10
engineers,0.8181818181818182,0.9,0.8571428571428572,9,10,2,10
aviation,0.8888888888888888,0.8,0.8421052631578948,8,10,1,10
fitted,0.8888888888888888,0.8,0.8421052631578948,8,10,1,10
pilots,0.8888888888888888,0.8,0.8421052631578948,8,10,1,10
fly,0.8888888888888888,0.8,0.8421052631578948,8,10,1,10
determined,0.8888888888888888,0.8,0.8421052631578948,8,10,1,10
circled,0.8888888888888888,0.8,0.8421052631578948,8,10,1,10
releasing,0.8888888888888888,0.8,0.8421052631578948,8,10,1,10
col,0.8888888888888888,0.8,0.8421052631578948,8,10,1,10
clinton,0.8888888888888888,0.8,0.8421052631578948,8,10,1,10
images,0.8888888888888888,0.8,0.8421052631578948,8,10,1,10
developed,0.8888888888888888,0.8,0.8421052631578948,8,10,1,10
celebrated,0.8888888888888888,0.8,0.8421052631578948,8,10,1,10
boeing,1.0,0.7,0.8235294117647058,7,10,0,10
90,1.0,0.7,0.8235294117647058,7,10,0,10
nbc,1.0,0.7,0.8235294117647058,7,10,0,10
effective,1.0,0.7,0.8235294117647058,7,10,0,10
types,1.0,0.7,0.8235294117647058,7,10,0,10
engines,1.0,0.7,0.8235294117647058,7,10,0,10
29,1.0,0.7,0.8235294117647058,7,10,0,10
pilot,1.0,0.7,0.8235294117647058,7,10,0,10
crashed,1.0,0.7,0.8235294117647058,7,10,0,10
richard,1.0,0.7,0.8235294117647058,7,10,0,10
military,1.0,0.7,0.8235294117647058,7,10,0,10
flew,1.0,0.7,0.8235294117647058,7,10,0,10
lockheed,1.0,0.7,0.8235294117647058,7,10,0,10
manned,1.0,0.7,0.8235294117647058,7,10,0,10
touched,1.0,0.7,0.8235294117647058,7,10,0,10
tarmac,1.0,0.7,0.8235294117647058,7,10,0,10
balloon,1.0,0.7,0.8235294117647058,7,10,0,10
globe,1.0,0.7,0.8235294117647058,7,10,0,10
capsule,1.0,0.7,0.8235294117647058,7,10,0,10
landing,1.0,0.7,0.8235294117647058,7,10,0,10
underwent,1.0,0.7,0.8235294117647058,7,10,0,10
plunging,1.0,0.7,0.8235294117647058,7,10,0,10
earth,1.0,0.7,0.8235294117647058,7,10,0,10
instruments,1.0,0.7,0.8235294117647058,7,10,0,10
beyond,1.0,0.7,0.8235294117647058,7,10,0,10
clouds,1.0,0.7,0.8235294117647058,7,10,0,10
propelled,1.0,0.7,0.8235294117647058,7,10,0,10
technical,1.0,0.7,0.8235294117647058,7,10,0,10
breathing,1.0,0.7,0.8235294117647058,7,10,0,10
relations,1.0,0.7,0.8235294117647058,7,10,0,10
foam,1.0,0.7,0.8235294117647058,7,10,0,10
analysis,1.0,0.7,0.8235294117647058,7,10,0,10
iowa,1.0,0.7,0.8235294117647058,7,10,0,10
included,0.8,0.8,0.8000000000000002,8,10,2,10
blow,0.8,0.8,0.8000000000000002,8,10,2,10
trained,0.8,0.8,0.8000000000000002,8,10,2,10
destruction,0.8,0.8,0.8000000000000002,8,10,2,10
exited,0.8,0.8,0.8000000000000002,8,10,2,10
craft,0.8,0.8,0.8000000000000002,8,10,2,10
