context,p,r,f1,n_pos,total_pos,n_neg,total_neg
flew,0.8949984797810885,0.8863636363636364,0.8816719103604349,22,31,1,57
bird,0.8697172392824567,0.8636363636363636,0.8580062924325219,21,31,2,57
flying,0.8594237570210109,0.8409090909090909,0.8293939393939396,18,31,1,57
birds,0.840942513368984,0.8295454545454546,0.8186631016042781,18,31,2,57
nest,0.8508838383838384,0.8295454545454546,0.8156581888302923,17,31,1,57
fly,0.8508838383838384,0.8295454545454546,0.8156581888302923,17,31,1,57
wings,0.8239968986237642,0.8181818181818182,0.808030678998421,18,31,3,57
flies,0.8239968986237642,0.8181818181818182,0.808030678998421,18,31,3,57
billed,0.8580323785803238,0.8181818181818182,0.7977500760109456,15,31,0,57
hawk,0.8340435606060607,0.8068181818181818,0.7872227969951869,15,31,1,57
fields,0.8125894403856293,0.7954545454545454,0.7768110795454546,15,31,2,57
dove,0.8125894403856293,0.7954545454545454,0.7768110795454546,15,31,2,57
habitat,0.7932359307359307,0.7840909090909091,0.7665003725183702,15,31,3,57
flight,0.8030303030303029,0.7840909090909091,0.7621901848769735,14,31,2,57
refuge,0.8030303030303029,0.7840909090909091,0.7621901848769735,14,31,2,57
northern,0.7827445959177525,0.7727272727272727,0.7520123106060606,14,31,3,57
duck,0.7827445959177525,0.7727272727272727,0.7520123106060606,14,31,3,57
wing,0.7933167289331674,0.7727272727272727,0.7471875950136819,13,31,2,57
scott,0.8088111888111889,0.7727272727272727,0.7417355371900828,12,31,1,57
aircraft,0.8088111888111889,0.7727272727272727,0.7417355371900828,12,31,1,57
breast,0.8088111888111889,0.7727272727272727,0.7417355371900828,12,31,1,57
overhead,0.8088111888111889,0.7727272727272727,0.7417355371900828,12,31,1,57
christopher,0.8317591499409681,0.7727272727272727,0.7355753699037281,11,31,0,57
prison,0.8317591499409681,0.7727272727272727,0.7355753699037281,11,31,0,57
james,0.7477116704805492,0.75,0.731904761904762,14,31,5,57
am,0.7477116704805492,0.75,0.731904761904762,14,31,5,57
chicks,0.7833669708669707,0.7613636363636364,0.7317719176497802,12,31,2,57
involved,0.7833669708669707,0.7613636363636364,0.7317719176497802,12,31,2,57
perched,0.7833669708669707,0.7613636363636364,0.7317719176497802,12,31,2,57
bright,0.7528997514498758,0.75,0.7272135416666665,13,31,4,57
light,0.7528997514498758,0.75,0.7272135416666665,13,31,4,57
featured,0.730888429752066,0.7386363636363636,0.7260071957494876,15,31,7,57
manager,0.8001893939393938,0.7613636363636364,0.7256871035940804,11,31,1,57
