context,p,r,f1,n_pos,total_pos,n_neg,total_neg
item,1.0,1.0,1.0,1,1,0,7
legislative,1.0,1.0,1.0,1,1,0,7
on,1.0,1.0,1.0,1,1,0,7
ambitious,1.0,1.0,1.0,1,1,0,7
summit,1.0,1.0,1.0,1,1,0,7
top,1.0,1.0,1.0,1,1,0,7
reform,1.0,1.0,1.0,1,1,0,7
hidden,1.0,1.0,1.0,1,1,0,7
political,1.0,1.0,1.0,1,1,0,7
doha,1.0,1.0,1.0,1,1,0,7
items,1.0,1.0,1.0,1,1,0,7
meeting,1.0,1.0,1.0,1,1,0,7
talks,1.0,1.0,1.0,1,1,0,7
high,1.0,1.0,1.0,1,1,0,7
issue,1.0,1.0,1.0,1,1,0,7
apec,1.0,1.0,1.0,1,1,0,7
his,1.0,1.0,1.0,1,1,0,7
be,1.0,1.0,1.0,1,1,0,7
for,1.0,1.0,1.0,1,1,0,7
topped,1.0,1.0,1.0,1,1,0,7
domestic,1.0,1.0,1.0,1,1,0,7
push,1.0,1.0,1.0,1,1,0,7
set,1.0,1.0,1.0,1,1,0,7
topping,1.0,1.0,1.0,1,1,0,7
conservative,1.0,1.0,1.0,1,1,0,7
g8,1.0,1.0,1.0,1,1,0,7
will,1.0,1.0,1.0,1,1,0,7
bush,1.0,1.0,1.0,1,1,0,7
economic,1.0,1.0,1.0,1,1,0,7
agenda,1.0,1.0,1.0,1,1,0,7
setting,1.0,1.0,1.0,1,1,0,7
republican,1.0,1.0,1.0,1,1,0,7
pursuing,1.0,1.0,1.0,1,1,0,7
centerpiece,1.0,1.0,1.0,1,1,0,7
put,1.0,1.0,1.0,1,1,0,7
pursue,1.0,1.0,1.0,1,1,0,7
trade,1.0,1.0,1.0,1,1,0,7
dominate,1.0,1.0,1.0,1,1,0,7
congress,1.0,1.0,1.0,1,1,0,7
own,1.0,1.0,1.0,1,1,0,7
social,1.0,1.0,1.0,1,1,0,7
advance,1.0,1.0,1.0,1,1,0,7
policy,1.0,1.0,1.0,1,1,0,7
gop,1.0,1.0,1.0,1,1,0,7
include,1.0,1.0,1.0,1,1,0,7
their,1.0,1.0,1.0,1,1,0,7
development,1.0,1.0,1.0,1,1,0,7
discuss,1.0,1.0,1.0,1,1,0,7
priority,1.0,1.0,1.0,1,1,0,7
also,1.0,1.0,1.0,1,1,0,7
discussions,1.0,1.0,1.0,1,1,0,7
meetings,1.0,1.0,1.0,1,1,0,7
obama,1.0,1.0,1.0,1,1,0,7
priorities,1.0,1.0,1.0,1,1,0,7
includes,1.0,1.0,1.0,1,1,0,7
next,1.0,1.0,1.0,1,1,0,7
outlined,1.0,1.0,1.0,1,1,0,7
lisbon,1.0,1.0,1.0,1,1,0,7
ministers,1.0,1.0,1.0,1,1,0,7
session,1.0,1.0,1.0,1,1,0,7
