context,p,r,f1,n_pos,total_pos,n_neg,total_neg
maple,1.0,1.0,1.0,1,1,0,2
toronto,1.0,1.0,1.0,1,1,0,2
sundin,1.0,1.0,1.0,1,1,0,2
mats,1.0,1.0,1.0,1,1,0,2
canadiens,1.0,1.0,1.0,1,1,0,2
quinn,1.0,1.0,1.0,1,1,0,2
defenseman,1.0,1.0,1.0,1,1,0,2
goalie,1.0,1.0,1.0,1,1,0,2
islanders,1.0,1.0,1.0,1,1,0,2
outshot,1.0,1.0,1.0,1,1,0,2
devils,1.0,1.0,1.0,1,1,0,2
nhl,1.0,1.0,1.0,1,1,0,2
flyers,1.0,1.0,1.0,1,1,0,2
hockey,1.0,1.0,1.0,1,1,0,2
bruins,1.0,1.0,1.0,1,1,0,2
sabres,1.0,1.0,1.0,1,1,0,2
domi,1.0,1.0,1.0,1,1,0,2
pat,1.0,1.0,1.0,1,1,0,2
ot,1.0,1.0,1.0,1,1,0,2
scored,1.0,1.0,1.0,1,1,0,2
goaltender,1.0,1.0,1.0,1,1,0,2
lindros,1.0,1.0,1.0,1,1,0,2
blackhawks,1.0,1.0,1.0,1,1,0,2
hurricanes,1.0,1.0,1.0,1,1,0,2
curtis,1.0,1.0,1.0,1,1,0,2
dryden,1.0,1.0,1.0,1,1,0,2
ottawa,1.0,1.0,1.0,1,1,0,2
captain,1.0,1.0,1.0,1,1,0,2
goals,1.0,1.0,1.0,1,1,0,2
rangers,1.0,1.0,1.0,1,1,0,2
penguins,1.0,1.0,1.0,1,1,0,2
wings,1.0,1.0,1.0,1,1,0,2
period,1.0,1.0,1.0,1,1,0,2
kings,1.0,1.0,1.0,1,1,0,2
manager,1.0,1.0,1.0,1,1,0,2
beat,1.0,1.0,1.0,1,1,0,2
playoff,1.0,1.0,1.0,1,1,0,2
canucks,1.0,1.0,1.0,1,1,0,2
raptors,1.0,1.0,1.0,1,1,0,2
winless,1.0,1.0,1.0,1,1,0,2
potvin,1.0,1.0,1.0,1,1,0,2
goal,1.0,1.0,1.0,1,1,0,2
overtime,1.0,1.0,1.0,1,1,0,2
lightning,1.0,1.0,1.0,1,1,0,2
senators,1.0,1.0,1.0,1,1,0,2
straight,1.0,1.0,1.0,1,1,0,2
thrashers,1.0,1.0,1.0,1,1,0,2
fletcher,1.0,1.0,1.0,1,1,0,2
stanley,1.0,1.0,1.0,1,1,0,2
panthers,1.0,1.0,1.0,1,1,0,2
gilmour,1.0,1.0,1.0,1,1,0,2
won,1.0,1.0,1.0,1,1,0,2
oilers,1.0,1.0,1.0,1,1,0,2
detroit,1.0,1.0,1.0,1,1,0,2
rallied,1.0,1.0,1.0,1,1,0,2
playoffs,1.0,1.0,1.0,1,1,0,2
assists,1.0,1.0,1.0,1,1,0,2
berezin,1.0,1.0,1.0,1,1,0,2
leafs,1.0,1.0,1.0,1,1,0,2
cliff,1.0,1.0,1.0,1,1,0,2
belfour,1.0,1.0,1.0,1,1,0,2
tie,1.0,1.0,1.0,1,1,0,2
1942,1.0,1.0,1.0,1,1,0,2
wendel,1.0,1.0,1.0,1,1,0,2
traded,1.0,1.0,1.0,1,1,0,2
gm,1.0,1.0,1.0,1,1,0,2
1975,1.0,1.0,1.0,1,1,0,2
mogilny,1.0,1.0,1.0,1,1,0,2
kaberle,1.0,1.0,1.0,1,1,0,2
darcy,1.0,1.0,1.0,1,1,0,2
victory,1.0,1.0,1.0,1,1,0,2
coyotes,1.0,1.0,1.0,1,1,0,2
montreal,1.0,1.0,1.0,1,1,0,2
saves,1.0,1.0,1.0,1,1,0,2
tucker,1.0,1.0,1.0,1,1,0,2
defeated,1.0,1.0,1.0,1,1,0,2
td,1.0,1.0,1.0,1,1,0,2
conference,1.0,1.0,1.0,1,1,0,2
joseph,1.0,1.0,1.0,1,1,0,2
capitals,1.0,1.0,1.0,1,1,0,2
sharks,1.0,1.0,1.0,1,1,0,2
streak,1.0,1.0,1.0,1,1,0,2
felix,1.0,1.0,1.0,1,1,0,2
eastern,1.0,1.0,1.0,1,1,0,2
forward,1.0,1.0,1.0,1,1,0,2
