context,p,r,f1,n_pos,total_pos,n_neg,total_neg
cup,1.0,1.0,1.0,2,2,0,10
largest,1.0,1.0,1.0,2,2,0,10
of,1.0,1.0,1.0,2,2,0,10
holder,1.0,1.0,1.0,2,2,0,10
000,1.0,1.0,1.0,2,2,0,10
record,1.0,1.0,1.0,2,2,0,10
ranked,1.0,1.0,1.0,2,2,0,10
economy,1.0,1.0,1.0,2,2,0,10
rugby,1.0,1.0,1.0,2,2,0,10
no,1.0,1.0,1.0,2,2,0,10
at,1.0,1.0,1.0,2,2,0,10
heritage,1.0,1.0,1.0,2,2,0,10
leaders,1.0,1.0,1.0,2,2,0,10
producer,1.0,1.0,1.0,2,2,0,10
most,1.0,1.0,1.0,2,2,0,10
won,1.0,1.0,1.0,2,2,0,10
forum,1.0,1.0,1.0,2,2,0,10
china,1.0,1.0,1.0,2,2,0,10
second,1.0,1.0,1.0,2,2,0,10
third,1.0,1.0,1.0,2,2,0,10
2010,1.0,1.0,1.0,2,2,0,10
olympic,1.0,1.0,1.0,2,2,0,10
markets,1.0,1.0,1.0,2,2,0,10
united,1.0,1.0,1.0,2,2,0,10
cups,1.0,1.0,1.0,2,2,0,10
cricket,1.0,1.0,1.0,2,2,0,10
whole,1.0,1.0,1.0,2,2,0,10
leading,1.0,1.0,1.0,2,2,0,10
brazil,1.0,1.0,1.0,2,2,0,10
squad,1.0,1.0,1.0,2,2,0,10
world,1.0,1.0,1.0,2,2,0,10
win,1.0,1.0,1.0,2,2,0,10
round,1.0,1.0,1.0,2,2,0,10
country,1.0,1.0,1.0,2,2,0,10
players,1.0,1.0,1.0,2,2,0,10
fourth,1.0,1.0,1.0,2,2,0,10
renowned,1.0,1.0,1.0,2,2,0,10
junior,1.0,1.0,1.0,2,2,0,10
financial,1.0,1.0,1.0,2,2,0,10
market,1.0,1.0,1.0,2,2,0,10
women,1.0,1.0,1.0,2,2,0,10
highest,1.0,1.0,1.0,2,2,0,10
year,1.0,1.0,1.0,2,2,0,10
match,1.0,1.0,1.0,2,2,0,10
famous,1.0,1.0,1.0,2,2,0,10
chess,1.0,1.0,1.0,2,2,0,10
since,1.0,1.0,1.0,2,2,0,10
oldest,1.0,1.0,1.0,2,2,0,10
australia,1.0,1.0,1.0,2,2,0,10
medals,1.0,1.0,1.0,2,2,0,10
south,1.0,1.0,1.0,2,2,0,10
11,1.0,1.0,1.0,2,2,0,10
medal,1.0,1.0,1.0,2,2,0,10
two,1.0,1.0,1.0,2,2,0,10
fifth,1.0,1.0,1.0,2,2,0,10
against,1.0,1.0,1.0,2,2,0,10
20,1.0,1.0,1.0,2,2,0,10
here,1.0,1.0,1.0,2,2,0,10
important,1.0,1.0,1.0,2,2,0,10
entry,1.0,1.0,1.0,2,2,0,10
17,1.0,1.0,1.0,2,2,0,10
gold,1.0,1.0,1.0,2,2,0,10
asia,1.0,1.0,1.0,2,2,0,10
opening,1.0,1.0,1.0,2,2,0,10
england,1.0,1.0,1.0,2,2,0,10
regions,1.0,1.0,1.0,2,2,0,10
bronze,1.0,1.0,1.0,2,2,0,10
overall,1.0,1.0,1.0,2,2,0,10
major,1.0,1.0,1.0,2,2,0,10
hockey,1.0,1.0,1.0,2,2,0,10
italy,1.0,1.0,1.0,2,2,0,10
set,1.0,1.0,1.0,2,2,0,10
four,1.0,1.0,1.0,2,2,0,10
held,1.0,1.0,1.0,2,2,0,10
art,1.0,1.0,1.0,2,2,0,10
saturday,1.0,1.0,1.0,2,2,0,10
role,1.0,1.0,1.0,2,2,0,10
region,1.0,1.0,1.0,2,2,0,10
according,1.0,1.0,1.0,2,2,0,10
athletes,1.0,1.0,1.0,2,2,0,10
500,1.0,1.0,1.0,2,2,0,10
super,1.0,1.0,1.0,2,2,0,10
sweden,1.0,1.0,1.0,2,2,0,10
12,1.0,1.0,1.0,2,2,0,10
prosperity,1.0,1.0,1.0,2,2,0,10
some,1.0,1.0,1.0,2,2,0,10
100,1.0,1.0,1.0,2,2,0,10
ahead,1.0,1.0,1.0,2,2,0,10
cities,1.0,1.0,1.0,2,2,0,10
silver,1.0,1.0,1.0,2,2,0,10
powerful,1.0,1.0,1.0,2,2,0,10
beating,1.0,1.0,1.0,2,2,0,10
1995,1.0,1.0,1.0,2,2,0,10
competitive,1.0,1.0,1.0,2,2,0,10
chinese,1.0,1.0,1.0,2,2,0,10
200,1.0,1.0,1.0,2,2,0,10
holds,1.0,1.0,1.0,2,2,0,10
following,1.0,1.0,1.0,2,2,0,10
manufacturer,1.0,1.0,1.0,2,2,0,10
emerging,1.0,1.0,1.0,2,2,0,10
25,1.0,1.0,1.0,2,2,0,10
2005,1.0,1.0,1.0,2,2,0,10
five,1.0,1.0,1.0,2,2,0,10
view,1.0,1.0,1.0,2,2,0,10
outdoor,1.0,1.0,1.0,2,2,0,10
total,1.0,1.0,1.0,2,2,0,10
better,1.0,1.0,1.0,2,2,0,10
known,1.0,1.0,1.0,2,2,0,10
six,1.0,1.0,1.0,2,2,0,10
fair,1.0,1.0,1.0,2,2,0,10
virtual,1.0,1.0,1.0,2,2,0,10
music,1.0,1.0,1.0,2,2,0,10
traveled,1.0,1.0,1.0,2,2,0,10
shocked,1.0,1.0,1.0,2,2,0,10
16,1.0,1.0,1.0,2,2,0,10
davis,1.0,1.0,1.0,2,2,0,10
1990,1.0,1.0,1.0,2,2,0,10
crown,1.0,1.0,1.0,2,2,0,10
attend,1.0,1.0,1.0,2,2,0,10
copper,1.0,1.0,1.0,2,2,0,10
association,1.0,1.0,1.0,2,2,0,10
order,1.0,1.0,1.0,2,2,0,10
wonders,1.0,1.0,1.0,2,2,0,10
19,1.0,1.0,1.0,2,2,0,10
taiwan,1.0,1.0,1.0,2,2,0,10
1997,1.0,1.0,1.0,2,2,0,10
finest,1.0,1.0,1.0,2,2,0,10
beijing,1.0,1.0,1.0,2,2,0,10
netherlands,1.0,1.0,1.0,2,2,0,10
2004,1.0,1.0,1.0,2,2,0,10
companies,1.0,1.0,1.0,2,2,0,10
21,1.0,1.0,1.0,2,2,0,10
11th,1.0,1.0,1.0,2,2,0,10
wins,1.0,1.0,1.0,2,2,0,10
shanghai,1.0,1.0,1.0,2,2,0,10
veteran,1.0,1.0,1.0,2,2,0,10
dream,1.0,1.0,1.0,2,2,0,10
ranks,1.0,1.0,1.0,2,2,0,10
online,1.0,1.0,1.0,2,2,0,10
cold,1.0,1.0,1.0,2,2,0,10
membership,1.0,1.0,1.0,2,2,0,10
reach,1.0,1.0,1.0,2,2,0,10
dominated,1.0,1.0,1.0,2,2,0,10
june,1.0,1.0,1.0,2,2,0,10
star,1.0,1.0,1.0,2,2,0,10
september,1.0,1.0,1.0,2,2,0,10
technology,1.0,1.0,1.0,2,2,0,10
romania,1.0,1.0,1.0,2,2,0,10
contribution,1.0,1.0,1.0,2,2,0,10
fashion,1.0,1.0,1.0,2,2,0,10
zealand,1.0,1.0,1.0,2,2,0,10
makers,1.0,1.0,1.0,2,2,0,10
26,1.0,1.0,1.0,2,2,0,10
stadium,1.0,1.0,1.0,2,2,0,10
grand,1.0,1.0,1.0,2,2,0,10
steel,1.0,1.0,1.0,2,2,0,10
coach,1.0,1.0,1.0,2,2,0,10
figure,1.0,1.0,1.0,2,2,0,10
produces,1.0,1.0,1.0,2,2,0,10
cultural,1.0,1.0,1.0,2,2,0,10
kong,1.0,1.0,1.0,2,2,0,10
map,1.0,1.0,1.0,2,2,0,10
table,1.0,1.0,1.0,2,2,0,10
organisers,1.0,1.0,1.0,2,2,0,10
union,1.0,1.0,1.0,2,2,0,10
upset,1.0,1.0,1.0,2,2,0,10
reached,1.0,1.0,1.0,2,2,0,10
advanced,1.0,1.0,1.0,2,2,0,10
hong,1.0,1.0,1.0,2,2,0,10
mining,1.0,1.0,1.0,2,2,0,10
mines,1.0,1.0,1.0,2,2,0,10
regarded,1.0,1.0,1.0,2,2,0,10
23,1.0,1.0,1.0,2,2,0,10
sites,1.0,1.0,1.0,2,2,0,10
brazilian,1.0,1.0,1.0,2,2,0,10
rapidly,1.0,1.0,1.0,2,2,0,10
gas,1.0,1.0,1.0,2,2,0,10
access,1.0,1.0,1.0,2,2,0,10
particularly,1.0,1.0,1.0,2,2,0,10
corners,1.0,1.0,1.0,2,2,0,10
injury,1.0,1.0,1.0,2,2,0,10
taipei,1.0,1.0,1.0,2,2,0,10
lanka,1.0,1.0,1.0,2,2,0,10
nearly,1.0,1.0,1.0,2,2,0,10
adding,1.0,1.0,1.0,2,2,0,10
proven,1.0,1.0,1.0,2,2,0,10
computers,1.0,1.0,1.0,2,2,0,10
everywhere,1.0,1.0,1.0,2,2,0,10
enter,1.0,1.0,1.0,2,2,0,10
singapore,1.0,1.0,1.0,2,2,0,10
currency,1.0,1.0,1.0,2,2,0,10
eve,1.0,1.0,1.0,2,2,0,10
clash,1.0,1.0,1.0,2,2,0,10
australian,1.0,1.0,1.0,2,2,0,10
exhibition,1.0,1.0,1.0,2,2,0,10
racism,1.0,1.0,1.0,2,2,0,10
rate,1.0,1.0,1.0,2,2,0,10
remind,1.0,1.0,1.0,2,2,0,10
