context,p,r,f1,n_pos,total_pos,n_neg,total_neg
speed,1.0,1.0,1.0,7,7,0,2
stolen,1.0,1.0,1.0,7,7,0,2
hands,1.0,1.0,1.0,7,7,0,2
appeared,1.0,1.0,1.0,7,7,0,2
area,1.0,1.0,1.0,7,7,0,2
green,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
turtle,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
la,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
production,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
exhibit,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
compound,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
filmed,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
blow,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
south,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
camera,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
oversized,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
slowly,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
bus,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
built,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
orange,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
approaching,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
keys,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
rose,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
length,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
watched,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
wait,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
ii,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
five,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
arrived,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
display,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
reports,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
ride,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
armor,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
shoulder,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
800,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
soft,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
transported,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
miles,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
bearing,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
sell,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
fitted,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
traveled,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
27,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
plans,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
ford,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
passenger,1.0,0.8571428571428571,0.923076923076923,6,7,0,2
bound,0.8571428571428571,0.8571428571428571,0.8571428571428571,6,7,1,2
included,0.8571428571428571,0.8571428571428571,0.8571428571428571,6,7,1,2
straight,0.8571428571428571,0.8571428571428571,0.8571428571428571,6,7,1,2
established,0.8571428571428571,0.8571428571428571,0.8571428571428571,6,7,1,2
broken,0.8571428571428571,0.8571428571428571,0.8571428571428571,6,7,1,2
marine,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
large,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
trapped,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
facility,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
turtles,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
reptile,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
were,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
nowhere,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
hour,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
visit,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
rare,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
darwin,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
giant,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
spotted,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
1984,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
indigenous,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
newt,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
glass,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
prone,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
protecting,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
el,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
faux,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
base,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
hit,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
symbol,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
reservations,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
cowboy,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
resembles,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
freely,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
carved,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
heights,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
slow,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
guinea,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
stopping,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
footage,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
elephant,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
hybrid,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
conservation,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
emerges,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
royal,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
risk,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
leather,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
waving,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
memorable,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
killing,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
wire,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
entrance,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
500,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
residents,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
wednesday,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
central,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
scientists,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
experts,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
export,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
desert,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
inch,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
shed,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
collision,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
snatched,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
mock,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
kong,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
clad,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
international,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
remote,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
meters,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
crossing,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
chinese,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
suits,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
saturday,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
overturned,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
plunged,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
jeans,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
friday,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
protected,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
wide,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
rocket,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
climbing,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
bridge,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
swept,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
edge,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
models,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
monitors,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
bangkok,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
dress,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
crowds,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
rolled,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
crushed,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
decade,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
loaded,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
fell,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
00,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
canvas,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
centre,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
eastern,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
operation,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
decorated,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
protection,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
spoke,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
sources,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
grounds,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
guided,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
emerged,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
explosion,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
equipped,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
stepped,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
further,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
flat,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
east,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
shiny,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
ambassador,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
operators,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
safely,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
security,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
van,1.0,0.7142857142857143,0.8333333333333333,5,7,0,2
