context,p,r,f1,n_pos,total_pos,n_neg,total_neg
juice,1.0,1.0,1.0,1,1,0,1
growers,1.0,1.0,1.0,1,1,0,1
varieties,1.0,1.0,1.0,1,1,0,1
wine,1.0,1.0,1.0,1,1,0,1
tomatoes,1.0,1.0,1.0,1,1,0,1
vines,1.0,1.0,1.0,1,1,0,1
gilbert,1.0,1.0,1.0,1,1,0,1
harvest,1.0,1.0,1.0,1,1,0,1
wines,1.0,1.0,1.0,1,1,0,1
nuts,1.0,1.0,1.0,1,1,0,1
cherry,1.0,1.0,1.0,1,1,0,1
jelly,1.0,1.0,1.0,1,1,0,1
variety,1.0,1.0,1.0,1,1,0,1
grower,1.0,1.0,1.0,1,1,0,1
growing,1.0,1.0,1.0,1,1,0,1
leaves,1.0,1.0,1.0,1,1,0,1
skins,1.0,1.0,1.0,1,1,0,1
stuffed,1.0,1.0,1.0,1,1,0,1
noir,1.0,1.0,1.0,1,1,0,1
chardonnay,1.0,1.0,1.0,1,1,0,1
concord,1.0,1.0,1.0,1,1,0,1
grape,1.0,1.0,1.0,1,1,0,1
pinot,1.0,1.0,1.0,1,1,0,1
syrah,1.0,1.0,1.0,1,1,0,1
vine,1.0,1.0,1.0,1,1,0,1
vineyards,1.0,1.0,1.0,1,1,0,1
purple,1.0,1.0,1.0,1,1,0,1
planted,1.0,1.0,1.0,1,1,0,1
blanc,1.0,1.0,1.0,1,1,0,1
merlot,1.0,1.0,1.0,1,1,0,1
moby,1.0,1.0,1.0,1,1,0,1
sangiovese,1.0,1.0,1.0,1,1,0,1
zinfandel,1.0,1.0,1.0,1,1,0,1
arbor,1.0,1.0,1.0,1,1,0,1
grapes,1.0,1.0,1.0,1,1,0,1
bordeaux,1.0,1.0,1.0,1,1,0,1
fruit,1.0,1.0,1.0,1,1,0,1
california,1.0,1.0,1.0,1,1,0,1
vineyard,1.0,1.0,1.0,1,1,0,1
cabernet,1.0,1.0,1.0,1,1,0,1
winemaking,1.0,1.0,1.0,1,1,0,1
seed,1.0,1.0,1.0,1,1,0,1
riesling,1.0,1.0,1.0,1,1,0,1
varietals,1.0,1.0,1.0,1,1,0,1
apple,1.0,1.0,1.0,1,1,0,1
seeds,1.0,1.0,1.0,1,1,0,1
pickers,1.0,1.0,1.0,1,1,0,1
welch,1.0,1.0,1.0,1,1,0,1
winemakers,1.0,1.0,1.0,1,1,0,1
glut,1.0,1.0,1.0,1,1,0,1
sauvignon,1.0,1.0,1.0,1,1,0,1
clusters,1.0,1.0,1.0,1,1,0,1
the,1.0,1.0,1.0,1,1,0,1
red,1.0,1.0,1.0,1,1,0,1
blending,1.0,1.0,1.0,1,1,0,1
varietal,1.0,1.0,1.0,1,1,0,1
crop,1.0,1.0,1.0,1,1,0,1
burgundy,1.0,1.0,1.0,1,1,0,1
rhone,1.0,1.0,1.0,1,1,0,1
gamay,1.0,1.0,1.0,1,1,0,1
fermented,1.0,1.0,1.0,1,1,0,1
obscure,1.0,1.0,1.0,1,1,0,1
strawberry,1.0,1.0,1.0,1,1,0,1
grown,1.0,1.0,1.0,1,1,0,1
wineries,1.0,1.0,1.0,1,1,0,1
soda,1.0,1.0,1.0,1,1,0,1
napa,1.0,1.0,1.0,1,1,0,1
eating,1.0,1.0,1.0,1,1,0,1
nebbiolo,1.0,1.0,1.0,1,1,0,1
brandy,1.0,1.0,1.0,1,1,0,1
and,1.0,1.0,1.0,1,1,0,1
flavor,1.0,1.0,1.0,1,1,0,1
production,1.0,1.0,1.0,1,1,0,1
hyacinths,1.0,1.0,1.0,1,1,0,1
000,1.0,1.0,1.0,1,1,0,1
flavored,1.0,1.0,1.0,1,1,0,1
white,1.0,1.0,1.0,1,1,0,1
blend,1.0,1.0,1.0,1,1,0,1
of,1.0,1.0,1.0,1,1,0,1
tempranillo,1.0,1.0,1.0,1,1,0,1
sonoma,1.0,1.0,1.0,1,1,0,1
boycott,1.0,1.0,1.0,1,1,0,1
flavors,1.0,1.0,1.0,1,1,0,1
yields,1.0,1.0,1.0,1,1,0,1
stomping,1.0,1.0,1.0,1,1,0,1
acres,1.0,1.0,1.0,1,1,0,1
is,1.0,1.0,1.0,1,1,0,1
sparkling,1.0,1.0,1.0,1,1,0,1
leaf,1.0,1.0,1.0,1,1,0,1
native,1.0,1.0,1.0,1,1,0,1
valley,1.0,1.0,1.0,1,1,0,1
hyacinth,1.0,1.0,1.0,1,1,0,1
fermentation,1.0,1.0,1.0,1,1,0,1
malbec,1.0,1.0,1.0,1,1,0,1
lemon,1.0,1.0,1.0,1,1,0,1
sirah,1.0,1.0,1.0,1,1,0,1
made,1.0,1.0,1.0,1,1,0,1
table,1.0,1.0,1.0,1,1,0,1
produces,1.0,1.0,1.0,1,1,0,1
vinifera,1.0,1.0,1.0,1,1,0,1
chianti,1.0,1.0,1.0,1,1,0,1
orchards,1.0,1.0,1.0,1,1,0,1
region,1.0,1.0,1.0,1,1,0,1
grenache,1.0,1.0,1.0,1,1,0,1
sweet,1.0,1.0,1.0,1,1,0,1
champagne,1.0,1.0,1.0,1,1,0,1
sour,1.0,1.0,1.0,1,1,0,1
oregon,1.0,1.0,1.0,1,1,0,1
pomegranate,1.0,1.0,1.0,1,1,0,1
juices,1.0,1.0,1.0,1,1,0,1
taste,1.0,1.0,1.0,1,1,0,1
viognier,1.0,1.0,1.0,1,1,0,1
stomp,1.0,1.0,1.0,1,1,0,1
olive,1.0,1.0,1.0,1,1,0,1
arbors,1.0,1.0,1.0,1,1,0,1
beaujolais,1.0,1.0,1.0,1,1,0,1
tomato,1.0,1.0,1.0,1,1,0,1
extract,1.0,1.0,1.0,1,1,0,1
winery,1.0,1.0,1.0,1,1,0,1
crush,1.0,1.0,1.0,1,1,0,1
noble,1.0,1.0,1.0,1,1,0,1
harvesting,1.0,1.0,1.0,1,1,0,1
orange,1.0,1.0,1.0,1,1,0,1
harvests,1.0,1.0,1.0,1,1,0,1
green,1.0,1.0,1.0,1,1,0,1
acreage,1.0,1.0,1.0,1,1,0,1
cultivation,1.0,1.0,1.0,1,1,0,1
cranberry,1.0,1.0,1.0,1,1,0,1
tasting,1.0,1.0,1.0,1,1,0,1
lime,1.0,1.0,1.0,1,1,0,1
peach,1.0,1.0,1.0,1,1,0,1
vintage,1.0,1.0,1.0,1,1,0,1
blueberry,1.0,1.0,1.0,1,1,0,1
halved,1.0,1.0,1.0,1,1,0,1
farmer,1.0,1.0,1.0,1,1,0,1
picking,1.0,1.0,1.0,1,1,0,1
blended,1.0,1.0,1.0,1,1,0,1
sugar,1.0,1.0,1.0,1,1,0,1
planting,1.0,1.0,1.0,1,1,0,1
grows,1.0,1.0,1.0,1,1,0,1
jam,1.0,1.0,1.0,1,1,0,1
shiraz,1.0,1.0,1.0,1,1,0,1
petite,1.0,1.0,1.0,1,1,0,1
vintners,1.0,1.0,1.0,1,1,0,1
cup,1.0,1.0,1.0,1,1,0,1
produced,1.0,1.0,1.0,1,1,0,1
italian,1.0,1.0,1.0,1,1,0,1
alsace,1.0,1.0,1.0,1,1,0,1
regions,1.0,1.0,1.0,1,1,0,1
quality,1.0,1.0,1.0,1,1,0,1
which,1.0,1.0,1.0,1,1,0,1
tree,1.0,1.0,1.0,1,1,0,1
fermenting,1.0,1.0,1.0,1,1,0,1
pear,1.0,1.0,1.0,1,1,0,1
hybrid,1.0,1.0,1.0,1,1,0,1
crops,1.0,1.0,1.0,1,1,0,1
farming,1.0,1.0,1.0,1,1,0,1
principal,1.0,1.0,1.0,1,1,0,1
winemaker,1.0,1.0,1.0,1,1,0,1
franc,1.0,1.0,1.0,1,1,0,1
that,1.0,1.0,1.0,1,1,0,1
as,1.0,1.0,1.0,1,1,0,1
loire,1.0,1.0,1.0,1,1,0,1
carmenere,1.0,1.0,1.0,1,1,0,1
prices,1.0,1.0,1.0,1,1,0,1
cereal,1.0,1.0,1.0,1,1,0,1
concentrate,1.0,1.0,1.0,1,1,0,1
type,1.0,1.0,1.0,1,1,0,1
groves,1.0,1.0,1.0,1,1,0,1
rioja,1.0,1.0,1.0,1,1,0,1
fresno,1.0,1.0,1.0,1,1,0,1
french,1.0,1.0,1.0,1,1,0,1
cognac,1.0,1.0,1.0,1,1,0,1
plantings,1.0,1.0,1.0,1,1,0,1
turpan,1.0,1.0,1.0,1,1,0,1
trees,1.0,1.0,1.0,1,1,0,1
sauce,1.0,1.0,1.0,1,1,0,1
drink,1.0,1.0,1.0,1,1,0,1
same,1.0,1.0,1.0,1,1,0,1
amp,1.0,1.0,1.0,1,1,0,1
muscat,1.0,1.0,1.0,1,1,0,1
gris,1.0,1.0,1.0,1,1,0,1
foundation,1.0,1.0,1.0,1,1,0,1
crushed,1.0,1.0,1.0,1,1,0,1
grow,1.0,1.0,1.0,1,1,0,1
cluster,1.0,1.0,1.0,1,1,0,1
producers,1.0,1.0,1.0,1,1,0,1
canola,1.0,1.0,1.0,1,1,0,1
sugars,1.0,1.0,1.0,1,1,0,1
acidity,1.0,1.0,1.0,1,1,0,1
picker,1.0,1.0,1.0,1,1,0,1
creek,1.0,1.0,1.0,1,1,0,1
bunches,1.0,1.0,1.0,1,1,0,1
crips,1.0,1.0,1.0,1,1,0,1
vinegar,1.0,1.0,1.0,1,1,0,1
yield,1.0,1.0,1.0,1,1,0,1
allied,1.0,1.0,1.0,1,1,0,1
fields,1.0,1.0,1.0,1,1,0,1
kool,1.0,1.0,1.0,1,1,0,1
recipe,1.0,1.0,1.0,1,1,0,1
or,1.0,1.0,1.0,1,1,0,1
particular,1.0,1.0,1.0,1,1,0,1
famous,1.0,1.0,1.0,1,1,0,1
cups,1.0,1.0,1.0,1,1,0,1
peel,1.0,1.0,1.0,1,1,0,1
types,1.0,1.0,1.0,1,1,0,1
label,1.0,1.0,1.0,1,1,0,1
laced,1.0,1.0,1.0,1,1,0,1
area,1.0,1.0,1.0,1,1,0,1
aglianico,1.0,1.0,1.0,1,1,0,1
berry,1.0,1.0,1.0,1,1,0,1
