context,p,r,f1,n_pos,total_pos,n_neg,total_neg
above,1.0,1.0,1.0,3,3,0,2
gun,1.0,1.0,1.0,3,3,0,2
jumped,1.0,1.0,1.0,3,3,0,2
topped,1.0,1.0,1.0,3,3,0,2
hitting,1.0,1.0,1.0,3,3,0,2
hit,1.0,1.0,1.0,3,3,0,2
lock,1.0,1.0,1.0,3,3,0,2
fish,1.0,1.0,1.0,3,3,0,2
shaped,1.0,1.0,1.0,3,3,0,2
rocket,1.0,1.0,1.0,3,3,0,2
beer,1.0,1.0,1.0,3,3,0,2
wooden,1.0,1.0,1.0,3,3,0,2
metal,1.0,1.0,1.0,3,3,0,2
plastic,1.0,1.0,1.0,3,3,0,2
inch,1.0,1.0,1.0,3,3,0,2
loaded,1.0,1.0,1.0,3,3,0,2
roof,1.0,1.0,1.0,3,3,0,2
lowered,1.0,1.0,1.0,3,3,0,2
bullets,1.0,1.0,1.0,3,3,0,2
grabbed,1.0,1.0,1.0,3,3,0,2
hidden,1.0,1.0,1.0,3,3,0,2
piazza,0.75,1.0,0.8571428571428571,3,3,1,2
futures,1.0,0.6666666666666666,0.8,2,3,0,2
ice,1.0,0.6666666666666666,0.8,2,3,0,2
below,1.0,0.6666666666666666,0.8,2,3,0,2
48,1.0,0.6666666666666666,0.8,2,3,0,2
fell,1.0,0.6666666666666666,0.8,2,3,0,2
rose,1.0,0.6666666666666666,0.8,2,3,0,2
midday,1.0,0.6666666666666666,0.8,2,3,0,2
72,1.0,0.6666666666666666,0.8,2,3,0,2
light,1.0,0.6666666666666666,0.8,2,3,0,2
afternoon,1.0,0.6666666666666666,0.8,2,3,0,2
high,1.0,0.6666666666666666,0.8,2,3,0,2
down,1.0,0.6666666666666666,0.8,2,3,0,2
climbed,1.0,0.6666666666666666,0.8,2,3,0,2
dropped,1.0,0.6666666666666666,0.8,2,3,0,2
falling,1.0,0.6666666666666666,0.8,2,3,0,2
higher,1.0,0.6666666666666666,0.8,2,3,0,2
low,1.0,0.6666666666666666,0.8,2,3,0,2
near,1.0,0.6666666666666666,0.8,2,3,0,2
bottom,1.0,0.6666666666666666,0.8,2,3,0,2
slipped,1.0,0.6666666666666666,0.8,2,3,0,2
pit,1.0,0.6666666666666666,0.8,2,3,0,2
heating,1.0,0.6666666666666666,0.8,2,3,0,2
briefly,1.0,0.6666666666666666,0.8,2,3,0,2
slid,1.0,0.6666666666666666,0.8,2,3,0,2
rise,1.0,0.6666666666666666,0.8,2,3,0,2
shed,1.0,0.6666666666666666,0.8,2,3,0,2
rifle,1.0,0.6666666666666666,0.8,2,3,0,2
shotgun,1.0,0.6666666666666666,0.8,2,3,0,2
