context,p,r,f1,n_pos,total_pos,n_neg,total_neg
wine,0.8422619047619048,0.7976190476190477,0.7918887897833736,27,43,1,41
concentrated,0.82883352279904,0.7738095238095238,0.7653658740615261,25,43,1,41
currant,0.8454365079365079,0.7738095238095238,0.7630130816919645,24,43,0,41
vibrant,0.7961785341095686,0.7619047619047619,0.7561177248677249,26,43,3,41
sherry,0.839968774395004,0.7619047619047619,0.7491723962312197,23,43,0,41
lovely,0.793591606133979,0.7380952380952381,0.7270028011204482,23,43,2,41
plum,0.8097104843362862,0.7380952380952381,0.7240896358543418,22,43,1,41
cider,0.8035365172461947,0.7261904761904762,0.7098723283189303,21,43,1,41
accent,0.7529007704446302,0.7142857142857143,0.7049562682215743,23,43,4,41
intense,0.7648426150121065,0.7142857142857143,0.7021848739495798,22,43,3,41
champagne,0.7794521942775684,0.7142857142857143,0.6990068754774638,21,43,2,41
sophisticated,0.7974300831443689,0.7142857142857143,0.6953983516483516,20,43,1,41
preserve,0.7342687074829932,0.7023809523809523,0.6939541026226085,23,43,5,41
concentration,0.7570436507936508,0.7023809523809523,0.688175107489427,21,43,3,41
plenty,0.7036329683388507,0.6904761904761905,0.6869347281246595,25,43,8,41
complement,0.7723956151375505,0.7023809523809523,0.6846438351292721,20,43,2,41
berry,0.7723956151375505,0.7023809523809523,0.6846438351292721,20,43,2,41
purple,0.7913690476190476,0.7023809523809523,0.680650037792895,19,43,1,41
peach,0.7913690476190476,0.7023809523809523,0.680650037792895,19,43,1,41
frank,0.7913690476190476,0.7023809523809523,0.680650037792895,19,43,1,41
condiments,0.7913690476190476,0.7023809523809523,0.680650037792895,19,43,1,41
horseradish,0.7253782604659798,0.6904761904761905,0.6803692905733721,22,43,5,41
wish,0.7253782604659798,0.6904761904761905,0.6803692905733721,22,43,5,41
tomato,0.736093623890234,0.6904761904761905,0.6773669467787115,21,43,4,41
simple,0.736093623890234,0.6904761904761905,0.6773669467787115,21,43,4,41
balsamic,0.8151154401154401,0.7023809523809523,0.6761620229522789,18,43,0,41
right,0.6887815126050421,0.6785714285714286,0.6756814613957471,25,43,9,41
depending,0.6887815126050421,0.6785714285714286,0.6756814613957471,25,43,9,41
cherry,0.7491939042188508,0.6904761904761905,0.6739241151005857,20,43,3,41
