context,p,r,f1,n_pos,total_pos,n_neg,total_neg
potato,1.0,0.7368421052631579,0.8484848484848484,14,19,0,22
nickname,1.0,0.6842105263157895,0.8125000000000001,13,19,0,22
lovers,0.9285714285714286,0.6842105263157895,0.7878787878787878,13,19,1,22
jam,1.0,0.631578947368421,0.7741935483870968,12,19,0,22
sugar,1.0,0.5789473684210527,0.7333333333333334,11,19,0,22
banana,1.0,0.5789473684210527,0.7333333333333334,11,19,0,22
quarter,1.0,0.5789473684210527,0.7333333333333334,11,19,0,22
one,0.8571428571428571,0.631578947368421,0.7272727272727273,12,19,2,22
golden,0.8571428571428571,0.631578947368421,0.7272727272727273,12,19,2,22
sweet,0.9166666666666666,0.5789473684210527,0.7096774193548387,11,19,1,22
annual,0.9166666666666666,0.5789473684210527,0.7096774193548387,11,19,1,22
mean,0.9166666666666666,0.5789473684210527,0.7096774193548387,11,19,1,22
crushed,0.9166666666666666,0.5789473684210527,0.7096774193548387,11,19,1,22
sometimes,0.8,0.631578947368421,0.7058823529411765,12,19,3,22
chunks,0.8,0.631578947368421,0.7058823529411765,12,19,3,22
side,0.8,0.631578947368421,0.7058823529411765,12,19,3,22
stick,1.0,0.5263157894736842,0.6896551724137931,10,19,0,22
ripe,1.0,0.5263157894736842,0.6896551724137931,10,19,0,22
fun,1.0,0.5263157894736842,0.6896551724137931,10,19,0,22
pie,1.0,0.5263157894736842,0.6896551724137931,10,19,0,22
cloves,1.0,0.5263157894736842,0.6896551724137931,10,19,0,22
pass,0.8461538461538461,0.5789473684210527,0.6875,11,19,2,22
cousin,0.8461538461538461,0.5789473684210527,0.6875,11,19,2,22
fork,0.8461538461538461,0.5789473684210527,0.6875,11,19,2,22
yes,0.8461538461538461,0.5789473684210527,0.6875,11,19,2,22
sweetness,0.8461538461538461,0.5789473684210527,0.6875,11,19,2,22
skin,0.8461538461538461,0.5789473684210527,0.6875,11,19,2,22
baking,0.75,0.631578947368421,0.6857142857142857,12,19,4,22
up,0.7058823529411765,0.631578947368421,0.6666666666666667,12,19,5,22
features,0.7857142857142857,0.5789473684210527,0.6666666666666667,11,19,3,22
touch,0.7857142857142857,0.5789473684210527,0.6666666666666667,11,19,3,22
adjust,0.7857142857142857,0.5789473684210527,0.6666666666666667,11,19,3,22
rub,0.7857142857142857,0.5789473684210527,0.6666666666666667,11,19,3,22
right,0.7857142857142857,0.5789473684210527,0.6666666666666667,11,19,3,22
syrup,0.7857142857142857,0.5789473684210527,0.6666666666666667,11,19,3,22
won,0.9090909090909091,0.5263157894736842,0.6666666666666666,10,19,1,22
suddenly,0.9090909090909091,0.5263157894736842,0.6666666666666666,10,19,1,22
poured,0.9090909090909091,0.5263157894736842,0.6666666666666666,10,19,1,22
crust,0.9090909090909091,0.5263157894736842,0.6666666666666666,10,19,1,22
ready,0.6666666666666666,0.631578947368421,0.6486486486486486,12,19,6,22
honey,0.7333333333333333,0.5789473684210527,0.6470588235294117,11,19,4,22
his,0.7333333333333333,0.5789473684210527,0.6470588235294117,11,19,4,22
rich,0.7333333333333333,0.5789473684210527,0.6470588235294117,11,19,4,22
soda,0.7333333333333333,0.5789473684210527,0.6470588235294117,11,19,4,22
single,0.7333333333333333,0.5789473684210527,0.6470588235294117,11,19,4,22
optional,0.7333333333333333,0.5789473684210527,0.6470588235294117,11,19,4,22
oven,0.7333333333333333,0.5789473684210527,0.6470588235294117,11,19,4,22
pear,0.8333333333333334,0.5263157894736842,0.6451612903225806,10,19,2,22
chip,0.8333333333333334,0.5263157894736842,0.6451612903225806,10,19,2,22
