context,p,r,f1,n_pos,total_pos,n_neg,total_neg
yellow,0.8148148148148148,0.5116279069767442,0.6285714285714286,22,43,5,43
quarters,0.6857142857142857,0.5581395348837209,0.6153846153846154,24,43,11,43
smile,0.6764705882352942,0.5348837209302325,0.5974025974025974,23,43,11,43
40,0.631578947368421,0.5581395348837209,0.5925925925925927,24,43,14,43
sun,0.7,0.4883720930232558,0.5753424657534246,21,43,9,43
bubble,0.7,0.4883720930232558,0.5753424657534246,21,43,9,43
displays,0.7,0.4883720930232558,0.5753424657534246,21,43,9,43
remarkable,0.7407407407407407,0.46511627906976744,0.5714285714285714,20,43,7,43
smoking,0.7916666666666666,0.4418604651162791,0.5671641791044777,19,43,5,43
boxes,0.7916666666666666,0.4418604651162791,0.5671641791044777,19,43,5,43
trade,0.7142857142857143,0.46511627906976744,0.5633802816901409,20,43,8,43
somewhat,0.65625,0.4883720930232558,0.5599999999999999,21,43,11,43
earn,0.76,0.4418604651162791,0.5588235294117647,19,43,6,43
girl,0.7307692307692307,0.4418604651162791,0.5507246376811594,19,43,7,43
poster,0.6666666666666666,0.46511627906976744,0.547945205479452,20,43,10,43
1988,0.6666666666666666,0.46511627906976744,0.547945205479452,20,43,10,43
apple,0.782608695652174,0.4186046511627907,0.5454545454545454,18,43,5,43
reception,0.85,0.3953488372093023,0.5396825396825397,17,43,3,43
yes,0.6,0.4883720930232558,0.5384615384615383,21,43,14,43
preferred,0.6,0.4883720930232558,0.5384615384615383,21,43,14,43
she,0.5641025641025641,0.5116279069767442,0.5365853658536586,22,43,17,43
million,0.5641025641025641,0.5116279069767442,0.5365853658536586,22,43,17,43
rose,0.6785714285714286,0.4418604651162791,0.5352112676056338,19,43,9,43
names,0.6785714285714286,0.4418604651162791,0.5352112676056338,19,43,9,43
laid,0.5833333333333334,0.4883720930232558,0.5316455696202531,21,43,15,43
looking,0.55,0.5116279069767442,0.5301204819277109,22,43,18,43
worldwide,0.72,0.4186046511627907,0.5294117647058824,18,43,7,43
sold,0.6060606060606061,0.46511627906976744,0.5263157894736842,20,43,13,43
25,0.6060606060606061,0.46511627906976744,0.5263157894736842,20,43,13,43
usual,0.6060606060606061,0.46511627906976744,0.5263157894736842,20,43,13,43
wo,0.5675675675675675,0.4883720930232558,0.525,21,43,16,43
which,0.5111111111111111,0.5348837209302325,0.5227272727272726,23,43,22,43
this,0.4897959183673469,0.5581395348837209,0.5217391304347826,24,43,25,43
sales,0.6923076923076923,0.4186046511627907,0.5217391304347826,18,43,8,43
queen,0.6923076923076923,0.4186046511627907,0.5217391304347826,18,43,8,43
selling,0.6333333333333333,0.4418604651162791,0.5205479452054794,19,43,11,43
pale,0.6333333333333333,0.4418604651162791,0.5205479452054794,19,43,11,43
many,0.5238095238095238,0.5116279069767442,0.5176470588235295,22,43,20,43
lion,1.0,0.3488372093023256,0.5172413793103449,15,43,0,43
girls,1.0,0.3488372093023256,0.5172413793103449,15,43,0,43
share,1.0,0.3488372093023256,0.5172413793103449,15,43,0,43
li,0.8421052631578947,0.37209302325581395,0.5161290322580645,16,43,3,43
shapes,0.7391304347826086,0.3953488372093023,0.5151515151515151,17,43,6,43
discover,0.6666666666666666,0.4186046511627907,0.5142857142857143,18,43,9,43
highly,0.6666666666666666,0.4186046511627907,0.5142857142857143,18,43,9,43
favorites,0.6129032258064516,0.4418604651162791,0.5135135135135135,19,43,12,43
august,0.5384615384615384,0.4883720930232558,0.5121951219512196,21,43,18,43
slightly,0.5384615384615384,0.4883720930232558,0.5121951219512196,21,43,18,43
larger,0.5384615384615384,0.4883720930232558,0.5121951219512196,21,43,18,43
18,0.9375,0.3488372093023256,0.5084745762711865,15,43,1,43
books,0.9375,0.3488372093023256,0.5084745762711865,15,43,1,43
quarter,0.6428571428571429,0.4186046511627907,0.5070422535211269,18,43,10,43
widely,0.6428571428571429,0.4186046511627907,0.5070422535211269,18,43,10,43
preferably,0.59375,0.4418604651162791,0.5066666666666667,19,43,13,43
manhattan,0.59375,0.4418604651162791,0.5066666666666667,19,43,13,43
name,0.59375,0.4418604651162791,0.5066666666666667,19,43,13,43
carefully,0.5555555555555556,0.46511627906976744,0.5063291139240507,20,43,16,43
lay,0.5405405405405406,0.46511627906976744,0.5,20,43,17,43
goods,0.5757575757575758,0.4418604651162791,0.5,19,43,14,43
lobby,0.6206896551724138,0.4186046511627907,0.5,18,43,11,43
producing,0.6206896551724138,0.4186046511627907,0.5,18,43,11,43
cash,0.6206896551724138,0.4186046511627907,0.5,18,43,11,43
cooperative,0.68,0.3953488372093023,0.5,17,43,8,43
brands,0.68,0.3953488372093023,0.5,17,43,8,43
deals,0.68,0.3953488372093023,0.5,17,43,8,43
sipping,0.8823529411764706,0.3488372093023256,0.5,15,43,2,43
island,0.8823529411764706,0.3488372093023256,0.5,15,43,2,43
jobs,0.8823529411764706,0.3488372093023256,0.5,15,43,2,43
year,0.46,0.5348837209302325,0.4946236559139785,23,43,27,43
such,0.4782608695652174,0.5116279069767442,0.49438202247191015,22,43,24,43
similar,0.5,0.4883720930232558,0.4941176470588235,21,43,21,43
latest,0.5263157894736842,0.46511627906976744,0.49382716049382713,20,43,18,43
1990s,0.5263157894736842,0.46511627906976744,0.49382716049382713,20,43,18,43
supermarket,0.5588235294117647,0.4418604651162791,0.49350649350649345,19,43,15,43
featuring,0.5588235294117647,0.4418604651162791,0.49350649350649345,19,43,15,43
money,0.5588235294117647,0.4418604651162791,0.49350649350649345,19,43,15,43
library,0.6,0.4186046511627907,0.49315068493150693,18,43,12,43
paid,0.6,0.4186046511627907,0.49315068493150693,18,43,12,43
scale,0.6,0.4186046511627907,0.49315068493150693,18,43,12,43
gain,0.6,0.4186046511627907,0.49315068493150693,18,43,12,43
passing,0.6538461538461539,0.3953488372093023,0.49275362318840576,17,43,9,43
flowers,0.7272727272727273,0.37209302325581395,0.49230769230769234,16,43,6,43
accounting,0.7272727272727273,0.37209302325581395,0.49230769230769234,16,43,6,43
hats,0.7272727272727273,0.37209302325581395,0.49230769230769234,16,43,6,43
flower,0.8333333333333334,0.3488372093023256,0.4918032786885246,15,43,3,43
print,0.8333333333333334,0.3488372093023256,0.4918032786885246,15,43,3,43
opened,0.5428571428571428,0.4418604651162791,0.48717948717948717,19,43,16,43
book,0.6296296296296297,0.3953488372093023,0.48571428571428577,17,43,10,43
front,0.6296296296296297,0.3953488372093023,0.48571428571428577,17,43,10,43
sub,0.6956521739130435,0.37209302325581395,0.48484848484848486,16,43,7,43
cent,0.7894736842105263,0.3488372093023256,0.48387096774193555,15,43,4,43
drag,0.7894736842105263,0.3488372093023256,0.48387096774193555,15,43,4,43
example,0.4772727272727273,0.4883720930232558,0.4827586206896552,21,43,23,43
bit,0.4772727272727273,0.4883720930232558,0.4827586206896552,21,43,23,43
fall,0.5277777777777778,0.4418604651162791,0.4810126582278481,19,43,17,43
decided,0.5277777777777778,0.4418604651162791,0.4810126582278481,19,43,17,43
titled,0.5277777777777778,0.4418604651162791,0.4810126582278481,19,43,17,43
were,0.5277777777777778,0.4418604651162791,0.4810126582278481,19,43,17,43
took,0.5277777777777778,0.4418604651162791,0.4810126582278481,19,43,17,43
easier,0.5625,0.4186046511627907,0.48,18,43,14,43
dollars,0.5625,0.4186046511627907,0.48,18,43,14,43
touching,0.5625,0.4186046511627907,0.48,18,43,14,43
betty,0.6071428571428571,0.3953488372093023,0.4788732394366197,17,43,11,43
barn,0.6071428571428571,0.3953488372093023,0.4788732394366197,17,43,11,43
dry,0.6071428571428571,0.3953488372093023,0.4788732394366197,17,43,11,43
autumn,0.6666666666666666,0.37209302325581395,0.4776119402985074,16,43,8,43
cents,0.75,0.3488372093023256,0.4761904761904763,15,43,5,43
little,0.5135135135135135,0.4418604651162791,0.47500000000000003,19,43,18,43
wanted,0.5135135135135135,0.4418604651162791,0.47500000000000003,19,43,18,43
approximately,0.5135135135135135,0.4418604651162791,0.47500000000000003,19,43,18,43
cab,0.875,0.32558139534883723,0.47457627118644063,14,43,2,43
marketing,0.5454545454545454,0.4186046511627907,0.47368421052631576,18,43,15,43
shape,0.5454545454545454,0.4186046511627907,0.47368421052631576,18,43,15,43
hand,0.5454545454545454,0.4186046511627907,0.47368421052631576,18,43,15,43
post,0.5454545454545454,0.4186046511627907,0.47368421052631576,18,43,15,43
largest,0.5454545454545454,0.4186046511627907,0.47368421052631576,18,43,15,43
promote,0.5862068965517241,0.3953488372093023,0.4722222222222222,17,43,12,43
varieties,0.5862068965517241,0.3953488372093023,0.4722222222222222,17,43,12,43
ends,0.5862068965517241,0.3953488372093023,0.4722222222222222,17,43,12,43
operating,0.64,0.37209302325581395,0.4705882352941177,16,43,9,43
begins,0.47619047619047616,0.46511627906976744,0.4705882352941176,20,43,22,43
make,0.5,0.4418604651162791,0.46913580246913583,19,43,19,43
alone,0.5,0.4418604651162791,0.46913580246913583,19,43,19,43
desert,0.7142857142857143,0.3488372093023256,0.46875,15,43,6,43
celebrate,0.7142857142857143,0.3488372093023256,0.46875,15,43,6,43
carrying,0.7142857142857143,0.3488372093023256,0.46875,15,43,6,43
posing,0.7142857142857143,0.3488372093023256,0.46875,15,43,6,43
taiwan,0.7142857142857143,0.3488372093023256,0.46875,15,43,6,43
newly,0.5294117647058824,0.4186046511627907,0.4675324675324676,18,43,16,43
actually,0.5294117647058824,0.4186046511627907,0.4675324675324676,18,43,16,43
july,0.5294117647058824,0.4186046511627907,0.4675324675324676,18,43,16,43
cloud,0.5294117647058824,0.4186046511627907,0.4675324675324676,18,43,16,43
beautifully,0.5294117647058824,0.4186046511627907,0.4675324675324676,18,43,16,43
half,0.44680851063829785,0.4883720930232558,0.4666666666666666,21,43,26,43
including,0.44680851063829785,0.4883720930232558,0.4666666666666666,21,43,26,43
sunshine,0.5666666666666667,0.3953488372093023,0.46575342465753417,17,43,13,43
lemonade,1.0,0.3023255813953488,0.46428571428571425,13,43,0,43
gap,1.0,0.3023255813953488,0.46428571428571425,13,43,0,43
circles,0.6153846153846154,0.37209302325581395,0.463768115942029,16,43,10,43
munching,0.6153846153846154,0.37209302325581395,0.463768115942029,16,43,10,43
thinking,0.48717948717948717,0.4418604651162791,0.46341463414634154,19,43,20,43
explaining,0.48717948717948717,0.4418604651162791,0.46341463414634154,19,43,20,43
launched,0.5142857142857142,0.4186046511627907,0.4615384615384615,18,43,17,43
tables,0.5142857142857142,0.4186046511627907,0.4615384615384615,18,43,17,43
longer,0.5142857142857142,0.4186046511627907,0.4615384615384615,18,43,17,43
followed,0.45454545454545453,0.46511627906976744,0.45977011494252873,20,43,24,43
how,0.45454545454545453,0.46511627906976744,0.45977011494252873,20,43,24,43
true,0.5483870967741935,0.3953488372093023,0.45945945945945943,17,43,14,43
