context,evidence_type,categories
vegetable, ,relation food
egg, ,relation food measure
minute, ,relation food
oven, ,food
bean, ,relation food
medium, ,relation food
potatoes, ,food
olive, ,relation food measure
tomato, ,food measure
vegetables, ,relation food
microwave, ,relation food
breakfast, ,food
tablespoon, ,food
pepper, ,food
oil, ,relation food measure
oyster, ,food
together, ,food
teaspoon, ,food
flour, ,food
soups, ,food
whole, ,relation food
yesterday, ,relation food
pressing, ,food
note, ,relation food
cup, ,food measure
squash, ,food
meat, ,relation food
soup, ,food measure
rice, ,food
salmon, ,relation food
mushroom, ,food
pork, ,food
aside, ,relation food
stove, ,food
minutes, ,relation food measure
heated, ,relation food all measure
meal, ,food
carrots, ,food
refrigerate, ,food
prepared, ,relation food measure
until, ,relation food
dump, ,relation food
lobster, ,food
toast, ,food
cooks, ,food
fit, ,relation food
peppers, ,food
herbs, ,relation food measure
sides, ,relation food
excess, ,relation food
tender, ,relation food
warmed, ,relation food
quarters, ,food measure
substitute, ,food
nicely, ,relation food measure
heating, ,relation food measure
paste, ,food
lettuce, ,relation food
burn, ,relation food
soy, ,relation food
spices, ,relation food
delicate, ,relation food measure
recommended, ,relation food
enhanced, ,relation food
flower, ,relation food measure
method, ,relation food
skillet, ,food
heat, ,relation food measure
mixture, ,food
pan, ,relation food
baked, ,food
butter, ,food
lid, ,food measure
lamb, ,relation food
or, ,relation food
cook, ,food
remove, ,relation food
beans, ,food
pot, ,food measure
bread, ,food
tablespoons, ,food
bottom, ,relation food
stew, ,food
lightly, ,food measure
spinach, ,food
spray, ,relation food
tightly, ,relation food
shrimp, ,food
degree, ,relation food
toss, ,relation food
duck, ,relation food
boil, ,food
salt, ,food
chile, ,food
broth, ,food
tofu, ,food
serve, ,food
mushrooms, ,food
let, ,relation food
sliced, ,food
fish, ,relation food
pans, ,food
desired, ,food
using, ,relation food measure
traditional, ,food object relation all measure
mess, ,relation food
repeat, ,food
individual, ,relation food
prepare, ,relation food
boiling, ,relation food
banana, ,food
slice, ,food
turning, ,relation food measure
remaining, ,food
soak, ,food measure
fork, ,food
spreading, ,food
muffins, ,food
culinary, ,food
wraps, ,food
strainer, ,food
whisk, ,food
heats, ,food
preparation, ,relation food
designer, ,relation food all
follow, ,relation food
delivered, ,relation food
skin, ,relation food
wipe, ,relation food
dining, ,relation food
sprinkled, ,relation food
bone, ,relation food
dried, ,relation food
simple, ,relation food
rich, ,relation food
spiced, ,food
split, ,relation food
use, ,relation food
black, ,relation food communication
chemical, ,relation food
burned, ,relation food measure
poor, ,relation food
painting, ,relation food measure
directions, ,relation food
