context,evidence_type,categories
suddenly,u,animal bird object all
fire,u,object all
enormous,u,object
shot,u,measure no-cat
smoked,NA,measure
cuts,NA,measure
high,u,measure no-cat
contemporary,NA,measure
surface,NA,fruit measure
cool,r,measure no-cat
act,u,measure no-cat
sit,u,fruit measure no-cat
cover,u,fruit measure
smoke,NA,measure
heat,u,measure no-cat
fingers,u,fruit measure
place,NA,measure
fitting,NA,measure
gold,NA,measure
salt,NA,measure
turned,NA,measure
corp,NA,measure
watched,NA,measure
burned,NA,measure
electric,NA,measure
burning,NA,measure
shots,NA,measure
lift,u,measure no-cat
shining,NA,measure
raw,NA,measure
vacuum,NA,measure
say,NA,fruit measure
allow,u,measure no-cat
facing,u,measure no-cat
bones,u,measure no-cat
seattle,u,measure no-cat
ever,u,bird measure no-cat
halfway,NA,measure
loose,NA,measure
mess,NA,measure
divided,NA,measure
rainbow,NA,measure
ate,NA,measure
frozen,NA,measure
escaped,NA,measure
actors,NA,measure
coal,NA,measure
thieves,NA,measure
wet,NA,measure
legs,NA,measure
inner,NA,measure
easy,NA,measure
medical,NA,measure
minutes,NA,measure
ultimate,NA,measure
moss,NA,measure
interviewed,NA,measure
everybody,NA,measure
defense,NA,measure
jungle,NA,measure
tight,NA,measure
theory,NA,measure
abandoned,u,mammal measure no-cat
dock,NA,measure
suburban,NA,measure
referring,NA,measure
burn,NA,measure
burns,NA,measure
pushing,NA,measure
immediately,NA,measure
fixed,NA,measure
obvious,NA,measure
escape,NA,measure
suffering,u,measure no-cat
greg,NA,measure
clinton,NA,measure
ill,NA,measure
smoking,NA,measure
simon,NA,measure
referred,NA,measure
regular,NA,measure
problem,u,measure no-cat
roll,NA,measure
automatically,NA,measure
bloody,NA,measure
swim,NA,measure
remained,NA,measure
swings,NA,measure
sick,NA,measure
intriguing,NA,measure
episode,NA,measure
aside,NA,measure
effects,NA,measure
broad,NA,fruit measure
handful,NA,fruit measure
terrible,NA,measure
foreign,NA,measure
died,NA,fruit measure
prepared,u,measure no-cat
rough,NA,measure
reportedly,NA,measure
war,NA,measure
sister,NA,measure
headed,NA,measure
traditionally,NA,measure
carol,NA,measure
minute,NA,measure
deeper,NA,measure
script,NA,measure
anna,NA,measure
yeah,NA,measure
horror,NA,measure
indeed,u,measure no-cat
hiding,NA,measure
accused,NA,measure
musicians,NA,measure
sex,NA,measure
surely,u,measure no-cat
lawyers,NA,measure
senior,NA,measure
calling,NA,bird measure
drivers,NA,measure
media,NA,measure
hut,NA,measure
1979,NA,measure
awarded,NA,measure
results,u,measure no-cat
met,u,measure no-cat
apparent,NA,measure
realize,NA,measure
youngest,u,measure no-cat
positive,NA,measure
potential,u,measure no-cat
designated,NA,measure
backed,NA,measure
money,NA,measure
league,NA,measure
linked,NA,measure
equal,NA,measure
track,NA,measure
luck,u,measure no-cat
limit,NA,measure
broadcast,NA,measure
worry,u,measure no-cat
accept,NA,measure
1994,NA,measure
civil,NA,measure
college,u,measure no-cat
brain,NA,measure
ban,NA,measure
sandy,NA,measure
bound,NA,measure
admits,NA,fruit measure
killed,NA,measure
elite,NA,measure
patients,NA,measure
fried,NA,measure
federal,NA,measure
make,NA,measure
dating,NA,measure
crush,NA,fruit measure
remaining,NA,measure
barely,u,measure no-cat
doctor,NA,measure
truly,NA,measure
partially,NA,measure
reduce,NA,measure
classics,NA,measure
diverse,NA,fruit measure
parker,NA,measure
jeans,i,plant
restaurants,u,fruit plant
beach,u,plant
call,u,fruit plant
carries,u,plant
lace,i,fruit plant
chic,u,plant
stream,u,plant
except,u,no-cat plant
under,u,fruit food plant
wool,NA,fruit plant
as,NA,plant
linda,NA,fruit plant
distributors,NA,fruit plant
picker,u,fruit plant
sam,NA,plant
picking,u,fruit food plant
nuts,NA,plant
jersey,NA,plant
tank,NA,plant
feeling,NA,plant
maroon,NA,plant
breaks,NA,fruit plant
main,u,fruit no-cat plant
packed,u,fruit no-cat plant
better,NA,plant
lunch,NA,plant
three,u,food plant
shooting,u,no-cat plant
chains,NA,fruit plant
star,u,bird fruit plant
chartreuse,NA,plant
darker,NA,plant
strange,NA,plant
branch,NA,fruit plant
suited,NA,plant
bar,NA,fruit plant
blends,NA,fruit plant
became,NA,plant
wine,NA,fruit plant
sherry,NA,fruit plant
best,u,fruit plant
appeared,u,fruit food plant
well,NA,plant
kitchen,u,no-cat plant
breast,NA,plant
everyone,NA,plant
guest,NA,plant
la,NA,plant
fare,NA,plant
whereas,NA,plant
really,u,mammal fruit no-cat
come,u,mammal
bag,i,mammal no-cat
nest,u,bird
habitat,u,bird
populations,u,bird
miles,u,bird fruit
following,u,bird no-cat
