context,evidence_type,categories
operation, ,tool relation
technique, ,tool
used, ,tool communication weapon animal no-cat
heart, ,tool
kicked, ,tool
her, ,tool
takes, ,tool
laid, ,tool
hat, ,tool
knives, ,tool
leather, ,tool
recalls, ,tool
neck, ,tool
wielding, ,tool weapon
arm, ,tool animal relation
stabbed, ,tool
weapon, ,tool relation
holding, ,tool
crack, ,tool
repeatedly, ,tool
girlfriend, ,tool
old, ,tool mammal
throat, ,tool
uses, ,tool
flat, ,tool
cutting, ,tool
applied, ,tool
violent, ,tool
edged, ,tool
firmly, ,tool
camera, ,tool
pattern, ,tool
teen, ,tool
involves, ,tool
been, ,mammal animal relation
him, ,mammal criminal
on, ,mammal relation
attacks, ,mammal animal no-cat
500, ,mammal relation
there, ,mammal
are, ,mammal animal relation
row, ,mammal animal relation
mask, ,mammal
threatened, ,mammal relation
against, ,mammal animal
driver, ,mammal
54, ,mammal
person, ,mammal
demonstrated, ,mammal
22, ,mammal
think, ,mammal
during, ,mammal animal relation
nearly, ,mammal no-cat
15, ,mammal relation
000, ,mammal relation
was, ,mammal relation
garcia, ,mammal
an, ,mammal criminal
wildlife, ,mammal relation
attacked, ,mammal animal relation
paid, ,mammal
spurs, ,mammal
attack, ,mammal object animal relation
dead, ,mammal communication
where, ,mammal relation
but, ,mammal
knows, ,mammal
looking, ,mammal
area, ,mammal
hungry, ,mammal
perry, ,mammal
aggressive, ,mammal
number, ,mammal relation
see, ,mammal
close, ,mammal relation
threatening, ,mammal relation
mike, ,mammal
report, ,mammal relation
within, ,mammal
loose, ,mammal relation
boat, ,mammal relation
400, ,mammal relation
cast, ,mammal
take, ,mammal
killed, ,mammal relation all communication weapon animal no-cat object
carrying, ,mammal weapon relation communication
apparently, ,mammal animal relation communication
suddenly, ,mammal communication
say, ,mammal animal relation
group, ,mammal
any, ,mammal relation
reports, ,mammal animal relation
800, ,mammal relation
make, ,mammal animal
newest, ,mammal relation
their, ,mammal
local, ,mammal
similar, ,mammal
last, ,mammal relation
parts, ,mammal no-cat
just, ,mammal animal
wing, ,mammal
slam, ,mammal
frequent, ,mammal
complicated, ,mammal
assigned, ,mammal
ads, ,mammal
worked, ,mammal relation
stalking, ,mammal
code, ,mammal
nature, ,mammal
decade, ,mammal
feels, ,mammal
walk, ,mammal
drew, ,mammal relation
700, ,mammal relation
loss, ,mammal animal relation
problem, ,mammal
whale, ,mammal
fun, ,mammal
attempts, ,mammal animal relation
resort, ,mammal relation
multiple, ,mammal
living, ,mammal
alone, ,mammal
needed, ,mammal
stopped, ,mammal
campaign, ,mammal animal no-cat
came, ,mammal relation
nine, ,mammal animal relation
most, ,mammal
toward, ,mammal relation
reputation, ,mammal
reported, ,mammal relation
playing, ,mammal relation
experts, ,mammal no-cat
incident, ,mammal
re, ,mammal
put, ,mammal relation
fourth, ,mammal relation
referring, ,mammal
shots, ,mammal animal
shot, ,mammal animal relation
only, ,mammal
least, ,mammal no-cat relation
31, ,mammal
inside, ,mammal relation
dropped, ,mammal relation
second, ,mammal
become, ,mammal
western, ,mammal relation communication
resources, ,mammal
officials, ,mammal relation
casual, ,mammal
fallout, ,mammal
subject, ,mammal
profile, ,mammal
spending, ,mammal
screenplay, ,mammal
anti, ,mammal no-cat
aware, ,mammal
sending, ,mammal relation
challenge, ,mammal relation
slot, ,mammal
daily, ,mammal
skill, ,mammal
possibility, ,mammal no-cat relation communication
neal, ,mammal
vegas, ,mammal
client, ,mammal
kit, ,mammal
tool, ,mammal
inquiry, ,mammal
mighty, ,mammal
weapons, ,mammal
favor, ,mammal
providing, ,mammal
arguing, ,mammal
failing, ,mammal
assured, ,mammal
treated, ,mammal
states, ,mammal relation
dangerous, ,mammal no-cat relation communication
current, ,mammal relation
blamed, ,mammal relation
crashed, ,mammal relation
17th, ,mammal relation
dealing, ,mammal no-cat relation
wound, ,mammal
speaking, ,mammal
online, ,mammal
somewhat, ,mammal
figured, ,mammal
revenge, ,mammal
plenty, ,mammal
fifth, ,mammal relation
drowned, ,mammal
worker, ,mammal
visitor, ,mammal
fans, ,mammal
virtually, ,mammal
label, ,mammal
shown, ,mammal no-cat
detective, ,mammal
december, ,mammal
tribe, ,mammal
largest, ,mammal
position, ,mammal
doubled, ,mammal
justin, ,mammal
political, ,mammal
clear, ,mammal
stretch, ,mammal
test, ,mammal relation
professional, ,mammal
talented, ,mammal
afraid, ,mammal
charged, ,mammal criminal
teammates, ,mammal
third, ,mammal
broke, ,mammal relation
nobody, ,mammal
missed, ,mammal relation
thousands, ,mammal no-cat relation
proved, ,mammal communication
injured, ,mammal
police, ,mammal criminal relation
indian, ,mammal relation
saturday, ,mammal relation
saw, ,mammal relation
able, ,mammal relation
money, ,mammal
25, ,mammal
accused, ,mammal
effort, ,mammal relation
capture, ,mammal
captivity, ,mammal
grown, ,mammal
revealed, ,mammal
march, ,mammal
gone, ,mammal
view, ,mammal
south, ,mammal communication
spreading, ,mammal
helped, ,mammal relation
spot, ,mammal relation
sport, ,mammal
suspected, ,mammal relation
steps, ,mammal
hours, ,mammal
described, ,mammal weapon
nasty, ,mammal
tree, ,mammal
lady, ,mammal
african, ,mammal
failed, ,mammal relation
30, ,mammal
want, ,mammal
19, ,mammal
interviewed, ,mammal
asking, ,mammal
apparent, ,mammal relation
drives, ,mammal
equally, ,mammal
decided, ,mammal
laughed, ,mammal
audience, ,mammal
conference, ,mammal
comparing, ,mammal
600, ,mammal relation
authored, ,mammal
tools, ,mammal
