context,evidence_type,categories
her, ,mammal female animal communication
she, ,female mammal all communication object
herself, ,mammal female object all
in, ,female
haired, ,female
lady, ,mammal female communication
birth, ,mammal
grass, ,mammal
pregnant, ,mammal
pregnancy, ,mammal
actress, ,mammal animal communication
so, ,mammal
beautiful, ,object all
baby, ,communication
walk, ,communication
like, ,communication
sex, ,communication
likes, ,communication
girl, ,communication
angel, ,communication
fun, ,communication
university, ,communication
bed, ,communication
art, ,communication
wine, ,communication
friends, ,communication
45, ,communication
grace, ,communication
everyone, ,communication
married, ,communication
reading, ,communication
becomes, ,communication
sister, ,communication
media, ,communication
gambling, ,communication
visit, ,communication
associate, ,communication
mind, ,communication
original, ,communication
quite, ,communication
about, ,communication
others, ,communication
embrace, ,communication
glimpse, ,communication
stories, ,animal
