context,evidence_type,categories
water,i,measure
table,u,measure
fill,u,measure
kitchen,r,measure
add,u,measure
filling,u,measure
milk,u,measure
filled,u,measure
tea,i,measure
combine,u,measure
served,u,measure
stir,u,measure
breakfast,r,measure
stirring,u,measure
empty,u,measure
container,u,measure
juice,u,measure
pour,u,measure
dish,i,measure
bowl,u,measure
bottom,u,measure
small,u,measure
liquid,i,measure
coffee,i,measure
cafe,u,measure
chocolate,i,measure
oven,i,measure food
sugar,u,measure
ingredients,i,measure
mix,u,measure
preferably,u,measure
easily,u,measure
beans,i,measure
rack,u,measure
readers,u,measure
plus,u,measure
rice,i,hot
heat,p,hot all
dry,r,hot
produce,u,hot
equivalent,u,hot
metal,u,hot
remove,u,food
easy,u,food
pan,i,food
crisp,r,food
flame,i,object relation all
hot,p,object all
burned,r,relation
chemical,u,relation
died,u,relation
burning,n,object relation
burnt,r,relation
pieces,u,relation
virtually,u,relation
substances,u,relation
lived,u,relation
melted,r,relation
picked,u,relation
900,u,relation
lit,r,relation
pile,u,relation
bits,u,relation
dust,u,relation
coal,i,relation
thick,u,relation
collection,u,relation
toxic,u,relation
mud,u,relation
pipe,i,relation
chemicals,u,relation
trace,u,relation
scientists,u,relation
houses,u,relation
tended,u,relation
entire,u,relation
urban,u,relation
elements,u,relation
formed,u,relation
village,u,relation
led,u,relation
melt,u,relation
heavy,u,relation
release,u,relation
