context,evidence_type,categories
driver, ,vehicle
truck, ,no-cat vehicle
drove, ,object no-cat vehicle all
vehicle, ,no-cat vehicle
wheel, ,object no-cat vehicle all
parked, ,object vehicle all
driving, ,vehicle all
mounted, ,no-cat
equipped, ,no-cat
riding, ,no-cat
toward, ,no-cat
honda, ,no-cat
accident, ,no-cat
safety, ,no-cat
75, ,no-cat
collided, ,no-cat
rear, ,no-cat
crashed, ,no-cat
earlier, ,no-cat
injured, ,no-cat
designed, ,no-cat
adding, ,no-cat
pulled, ,no-cat
speed, ,no-cat
gear, ,no-cat
stable, ,no-cat
17, ,no-cat
atop, ,no-cat
800, ,no-cat
currently, ,no-cat
driven, ,no-cat
65, ,no-cat
growing, ,no-cat
rolling, ,no-cat
patrol, ,no-cat
injuries, ,no-cat
23, ,no-cat
vehicles, ,no-cat
distance, ,no-cat
bigger, ,no-cat
ultra, ,no-cat
seat, ,no-cat
steep, ,no-cat
strapped, ,no-cat
contact, ,no-cat
powered, ,no-cat
maneuver, ,no-cat
62, ,no-cat
59, ,no-cat
bicycle, ,no-cat
poised, ,no-cat
design, ,no-cat
thus, ,no-cat
unveiled, ,no-cat
generation, ,no-cat
hybrid, ,no-cat
car, ,no-cat
spin, ,no-cat
bmw, ,no-cat
boasts, ,no-cat
exploded, ,no-cat
operated, ,no-cat
mexico, ,no-cat
platform, ,no-cat
20, ,no-cat
jury, ,no-cat
an, ,no-cat
blew, ,no-cat
blast, ,no-cat
crew, ,no-cat
miles, ,no-cat
maker, ,no-cat
trucks, ,no-cat
connected, ,no-cat
two, ,no-cat
owns, ,no-cat
foot, ,no-cat
worst, ,no-cat
corp, ,no-cat
tow, ,no-cat
may, ,no-cat
22, ,no-cat
attached, ,no-cat
damaged, ,no-cat
diesel, ,no-cat
built, ,no-cat
activity, ,no-cat
control, ,no-cat
nearby, ,no-cat
southern, ,no-cat
200, ,no-cat
largest, ,no-cat
fuel, ,no-cat
british, ,no-cat
involved, ,no-cat
haul, ,no-cat
thursday, ,no-cat
five, ,no-cat
meter, ,no-cat
climbed, ,no-cat
hit, ,no-cat
charges, ,no-cat
monday, ,no-cat
stopped, ,no-cat
capable, ,no-cat
knocked, ,no-cat
manufacturer, ,no-cat
tipped, ,no-cat
tires, ,no-cat
denied, ,no-cat
escaped, ,no-cat
engines, ,no-cat
smaller, ,no-cat
causing, ,no-cat
afternoon, ,no-cat
84, ,no-cat
29, ,no-cat
market, ,no-cat
highway, ,no-cat
90, ,no-cat
fired, ,no-cat
directly, ,no-cat
belonging, ,no-cat
69, ,no-cat
returning, ,no-cat
segment, ,no-cat
action, ,no-cat
stopping, ,no-cat
per, ,no-cat
less, ,no-cat
minutes, ,no-cat
initial, ,no-cat
available, ,no-cat
connection, ,no-cat
doubt, ,no-cat
crashing, ,no-cat
originally, ,no-cat
stored, ,no-cat
significant, ,no-cat
project, ,no-cat
estimates, ,no-cat
mid, ,no-cat
tank, ,no-cat
suspect, ,no-cat
prepared, ,no-cat
flies, ,no-cat
price, ,no-cat
filled, ,no-cat
previous, ,no-cat
accounted, ,no-cat
carry, ,no-cat
cars, ,no-cat
class, ,no-cat
virtual, ,no-cat
closing, ,no-cat
full, ,no-cat
designer, ,no-cat
37, ,no-cat
indonesia, ,no-cat
requires, ,no-cat
2009, ,no-cat
efficient, ,no-cat
competition, ,no-cat
2006, ,no-cat
flipped, ,no-cat
unnamed, ,no-cat
faster, ,no-cat
carried, ,no-cat
craft, ,no-cat
fatal, ,no-cat
nation, ,no-cat
63, ,no-cat
heavily, ,no-cat
2001, ,no-cat
steering, ,no-cat
1991, ,no-cat
1999, ,no-cat
1997, ,no-cat
shifting, ,no-cat
motorcycle, ,no-cat
bus, ,no-cat
buying, ,no-cat
seating, ,no-cat
sept, ,no-cat
activated, ,no-cat
serves, ,no-cat
main, ,no-cat
barrier, ,no-cat
sped, ,no-cat
obvious, ,no-cat
41, ,no-cat
closest, ,no-cat
event, ,no-cat
terms, ,no-cat
factor, ,no-cat
aug, ,no-cat
traveled, ,no-cat
quest, ,no-cat
120, ,no-cat
priced, ,no-cat
plunged, ,no-cat
mini, ,no-cat
venture, ,no-cat
active, ,no-cat
longest, ,no-cat
compact, ,no-cat
crowd, ,no-cat
locate, ,no-cat
bullet, ,no-cat
addition, ,no-cat
shorter, ,no-cat
likelihood, ,no-cat
1985, ,no-cat
fort, ,no-cat
sustained, ,no-cat
1989, ,no-cat
annually, ,no-cat
handful, ,no-cat
dick, ,no-cat
benefited, ,no-cat
motor, ,no-cat
ride, ,no-cat
bike, ,no-cat
rode, ,no-cat
wheels, ,no-cat
99, ,no-cat
sold, ,no-cat
125, ,no-cat
crash, ,no-cat
cross, ,no-cat
passenger, ,no-cat
received, ,no-cat
country, ,no-cat
transmission, ,no-cat
thanks, ,no-cat
press, ,no-cat
slightly, ,no-cat
essentially, ,no-cat
competitor, ,no-cat
st, ,no-cat
with, ,no-cat
german, ,no-cat
listed, ,no-cat
luxury, ,no-cat
