context,evidence_type,categories
jeans, ,plant
restaurants, ,plant
beach, ,plant
call, ,plant
carries, ,plant
lace, ,plant fruit
chic, ,plant
stream, ,plant
except, ,plant no-cat
under, ,plant food
introduction, ,animal no-cat
tracking, ,animal no-cat
likely, ,animal no-cat
evidence, ,animal
suddenly, ,animal object all
named, ,food fruit
species, ,food
bearing, ,food
three, ,food
picking, ,food fruit
size, ,food
appeared, ,food
discovered, ,food fruit
nest, ,bird
ever, ,no-cat bird
habitat, ,bird
populations, ,bird
miles, ,fruit bird
following, ,no-cat bird
tim, ,bird
devastated, ,bird
above, ,bird
winter, ,bird
ii, ,bird
nearly, ,no-cat bird
last, ,bird
11, ,bird
creature, ,bird
fire, ,object all
enormous, ,object
of, ,fruit
picker, ,fruit
director, ,fruit
sits, ,fruit no-cat
ugly, ,fruit no-cat
called, ,fruit
young, ,fruit
sometimes, ,fruit
your, ,fruit
featuring, ,fruit
dozens, ,fruit
city, ,fruit no-cat
caught, ,fruit
herself, ,fruit
labeled, ,fruit
mother, ,fruit
cover, ,fruit
brought, ,fruit no-cat
world, ,fruit
laden, ,fruit
season, ,fruit
parties, ,fruit
star, ,fruit
stage, ,fruit
reference, ,fruit
fingers, ,fruit
types, ,fruit
shop, ,fruit no-cat
oven, ,fruit
best, ,fruit
there, ,fruit
did, ,fruit
looking, ,fruit no-cat
ca, ,fruit
course, ,fruit
first, ,fruit
find, ,fruit
substitute, ,fruit
works, ,fruit
takes, ,fruit no-cat
opportunity, ,fruit
why, ,fruit
ago, ,fruit no-cat
southern, ,fruit
gets, ,fruit
really, ,mammal no-cat
abandoned, ,mammal no-cat
come, ,mammal
bag, ,mammal no-cat
grandmother, ,relation
tossed, ,relation
neighbor, ,relation
cloth, ,relation
black, ,relation all
perhaps, ,relation
cheers, ,relation
spread, ,no-cat
red, ,no-cat
europe, ,no-cat
market, ,no-cat
past, ,no-cat
canada, ,no-cat
way, ,no-cat
add, ,no-cat
lot, ,no-cat
500, ,no-cat
without, ,no-cat
machine, ,no-cat
central, ,no-cat
everything, ,no-cat
thanks, ,no-cat
larger, ,no-cat
causing, ,no-cat
present, ,no-cat
emerged, ,no-cat
davis, ,no-cat
candy, ,no-cat
growing, ,no-cat
nothing, ,no-cat
due, ,no-cat
making, ,no-cat
low, ,no-cat
picked, ,no-cat
cold, ,no-cat
our, ,no-cat
job, ,no-cat
parents, ,no-cat
worked, ,no-cat
slow, ,no-cat
finally, ,no-cat
remember, ,no-cat
especially, ,no-cat
because, ,no-cat
different, ,no-cat
third, ,no-cat
kansas, ,no-cat
glass, ,no-cat
heat, ,no-cat
thin, ,no-cat
ran, ,no-cat
ready, ,no-cat
putting, ,no-cat
suggest, ,no-cat
sense, ,no-cat
turning, ,no-cat
meaning, ,no-cat
layer, ,no-cat
paint, ,no-cat
post, ,no-cat
originally, ,no-cat
depending, ,no-cat
disappeared, ,no-cat
among, ,no-cat
decade, ,no-cat
else, ,no-cat
either, ,no-cat
doing, ,no-cat
change, ,no-cat
brings, ,no-cat
cool, ,no-cat
car, ,no-cat
engine, ,no-cat
classic, ,no-cat
200, ,no-cat
drove, ,no-cat
mountain, ,no-cat
1970s, ,no-cat
color, ,no-cat
having, ,no-cat
proved, ,no-cat
she, ,no-cat
powerful, ,no-cat
transformed, ,no-cat
sales, ,no-cat
inside, ,no-cat
space, ,no-cat
1999, ,no-cat
era, ,no-cat
moving, ,no-cat
south, ,no-cat
1980s, ,no-cat
brother, ,no-cat
africa, ,no-cat
nor, ,no-cat
lay, ,no-cat
indicated, ,no-cat
underneath, ,no-cat
work, ,no-cat
control, ,no-cat
waiting, ,no-cat
coffee, ,no-cat
vacation, ,no-cat
valley, ,no-cat
product, ,no-cat
labor, ,no-cat
cheap, ,no-cat
packed, ,no-cat
phenomenon, ,no-cat
little, ,no-cat
comes, ,no-cat
every, ,no-cat
all, ,no-cat
food, ,no-cat
came, ,no-cat
those, ,no-cat
probably, ,no-cat
pop, ,no-cat
prevent, ,no-cat
cabin, ,no-cat
reads, ,no-cat
likes, ,no-cat
racing, ,no-cat
kids, ,no-cat
compared, ,no-cat
compete, ,no-cat
impossible, ,no-cat
crash, ,no-cat
christmas, ,no-cat
highest, ,no-cat
hit, ,no-cat
managed, ,no-cat
32, ,no-cat
clear, ,no-cat
enter, ,no-cat
returns, ,no-cat
somehow, ,no-cat
solid, ,no-cat
fight, ,no-cat
streets, ,no-cat
york, ,no-cat
fine, ,no-cat
writes, ,no-cat
father, ,no-cat
18, ,no-cat
stand, ,no-cat
falling, ,no-cat
august, ,no-cat
european, ,no-cat
flew, ,no-cat
sellers, ,no-cat
outside, ,no-cat
rather, ,no-cat
potential, ,no-cat
went, ,no-cat
giving, ,no-cat
korea, ,no-cat
handling, ,no-cat
hair, ,no-cat
grand, ,no-cat
wonderful, ,no-cat
keeping, ,no-cat
knew, ,no-cat
frequently, ,no-cat
forcing, ,no-cat
forgotten, ,no-cat
wrong, ,no-cat
insisted, ,no-cat
wife, ,no-cat
virtually, ,no-cat
flat, ,no-cat
indeed, ,no-cat
increasing, ,no-cat
ripped, ,no-cat
providing, ,no-cat
problem, ,no-cat
pulling, ,no-cat
reach, ,no-cat
tends, ,no-cat
sky, ,no-cat
sit, ,no-cat
split, ,no-cat
soft, ,no-cat
suggesting, ,no-cat
met, ,no-cat
michael, ,no-cat
treat, ,no-cat
movies, ,no-cat
lewis, ,no-cat
lift, ,no-cat
literally, ,no-cat
main, ,no-cat
luck, ,no-cat
plans, ,no-cat
police, ,no-cat
possible, ,no-cat
notice, ,no-cat
traffic, ,no-cat
organization, ,no-cat
charles, ,no-cat
alone, ,no-cat
determined, ,no-cat
dangerous, ,no-cat
act, ,no-cat
dust, ,no-cat
aimed, ,no-cat
capable, ,no-cat
bright, ,no-cat
budget, ,no-cat
broke, ,no-cat
considering, ,no-cat
balance, ,no-cat
bad, ,no-cat
bigger, ,no-cat
emergency, ,no-cat
fair, ,no-cat
facilities, ,no-cat
68, ,no-cat
equipment, ,no-cat
62, ,no-cat
high, ,no-cat
shot, ,no-cat
land, ,no-cat
touched, ,no-cat
big, ,no-cat
empty, ,no-cat
bottom, ,no-cat
mountains, ,no-cat
celebration, ,no-cat
ranch, ,no-cat
losing, ,no-cat
passed, ,no-cat
nine, ,no-cat
suit, ,no-cat
rich, ,no-cat
picture, ,no-cat
maybe, ,no-cat
measure, ,no-cat
music, ,no-cat
competition, ,no-cat
thing, ,no-cat
need, ,no-cat
paris, ,no-cat
sixth, ,no-cat
case, ,no-cat
allow, ,no-cat
seven, ,no-cat
domestic, ,no-cat
form, ,no-cat
feel, ,no-cat
vanished, ,no-cat
rose, ,no-cat
words, ,no-cat
century, ,no-cat
country, ,no-cat
russian, ,no-cat
self, ,no-cat
george, ,no-cat
hill, ,no-cat
warm, ,no-cat
iron, ,no-cat
afford, ,no-cat
train, ,no-cat
ones, ,no-cat
spain, ,no-cat
estimate, ,no-cat
simultaneously, ,no-cat
drink, ,no-cat
facing, ,no-cat
should, ,no-cat
new, ,no-cat
lady, ,no-cat
juice, ,no-cat
colorado, ,no-cat
production, ,no-cat
strip, ,no-cat
drives, ,no-cat
driving, ,no-cat
launch, ,no-cat
grain, ,no-cat
fly, ,no-cat
queen, ,no-cat
this, ,no-cat
sort, ,no-cat
yellow, ,no-cat
concept, ,no-cat
brown, ,no-cat
selling, ,no-cat
other, ,no-cat
does, ,no-cat
than, ,no-cat
books, ,no-cat
vehicle, ,no-cat
before, ,no-cat
buzz, ,no-cat
spreading, ,no-cat
120, ,no-cat
successful, ,no-cat
exploding, ,no-cat
arrive, ,no-cat
consider, ,no-cat
license, ,no-cat
college, ,no-cat
manufacturer, ,no-cat
metallic, ,no-cat
describes, ,no-cat
heaven, ,no-cat
largely, ,no-cat
late, ,no-cat
large, ,no-cat
much, ,no-cat
great, ,no-cat
very, ,no-cat
huge, ,no-cat
however, ,no-cat
remains, ,no-cat
goes, ,no-cat
ended, ,no-cat
though, ,no-cat
expected, ,no-cat
might, ,no-cat
across, ,no-cat
producer, ,no-cat
los, ,no-cat
earning, ,no-cat
900, ,no-cat
recalls, ,no-cat
task, ,no-cat
push, ,no-cat
dealer, ,no-cat
2002, ,no-cat
combat, ,no-cat
difference, ,no-cat
oldest, ,no-cat
plants, ,no-cat
transportation, ,no-cat
cross, ,no-cat
planning, ,no-cat
word, ,no-cat
reverse, ,no-cat
filling, ,no-cat
rocky, ,no-cat
strike, ,no-cat
bones, ,no-cat
students, ,no-cat
suggested, ,no-cat
attempt, ,no-cat
faster, ,no-cat
spirit, ,no-cat
bet, ,no-cat
often, ,no-cat
average, ,no-cat
costs, ,no-cat
itself, ,no-cat
2003, ,no-cat
test, ,no-cat
rise, ,no-cat
summer, ,no-cat
good, ,no-cat
global, ,no-cat
history, ,no-cat
windows, ,no-cat
fills, ,no-cat
feared, ,no-cat
georgia, ,no-cat
granted, ,no-cat
fed, ,no-cat
growth, ,no-cat
km, ,no-cat
hills, ,no-cat
whatever, ,no-cat
forget, ,no-cat
insurance, ,no-cat
films, ,no-cat
indian, ,no-cat
walks, ,no-cat
reminder, ,no-cat
rent, ,no-cat
replaced, ,no-cat
replacement, ,no-cat
tag, ,no-cat
prepared, ,no-cat
preparing, ,no-cat
prime, ,no-cat
temperature, ,no-cat
smith, ,no-cat
strikes, ,no-cat
signs, ,no-cat
springs, ,no-cat
stages, ,no-cat
somewhat, ,no-cat
songs, ,no-cat
stolen, ,no-cat
spare, ,no-cat
specialists, ,no-cat
scattered, ,no-cat
suffering, ,no-cat
shift, ,no-cat
shooting, ,no-cat
seattle, ,no-cat
seriously, ,no-cat
traveled, ,no-cat
moves, ,no-cat
mirror, ,no-cat
mission, ,no-cat
lane, ,no-cat
upside, ,no-cat
upcoming, ,no-cat
maintenance, ,no-cat
lots, ,no-cat
passengers, ,no-cat
threat, ,no-cat
pit, ,no-cat
trailer, ,no-cat
objects, ,no-cat
needs, ,no-cat
occur, ,no-cat
otherwise, ,no-cat
topped, ,no-cat
traced, ,no-cat
tough, ,no-cat
descended, ,no-cat
applied, ,no-cat
approval, ,no-cat
direct, ,no-cat
creates, ,no-cat
atop, ,no-cat
customers, ,no-cat
disastrous, ,no-cat
advantage, ,no-cat
emerging, ,no-cat
changed, ,no-cat
cash, ,no-cat
clark, ,no-cat
contrast, ,no-cat
barely, ,no-cat
contend, ,no-cat
costly, ,no-cat
computer, ,no-cat
companion, ,no-cat
competing, ,no-cat
comparable, ,no-cat
55, ,no-cat
71, ,no-cat
53, ,no-cat
burst, ,no-cat
round, ,no-cat
landing, ,no-cat
forced, ,no-cat
tax, ,no-cat
up, ,no-cat
rapidly, ,no-cat
letting, ,no-cat
tourists, ,no-cat
slowly, ,no-cat
evening, ,no-cat
child, ,no-cat
hung, ,no-cat
where, ,no-cat
until, ,no-cat
path, ,no-cat
sept, ,no-cat
latest, ,no-cat
challenge, ,no-cat
rising, ,no-cat
suspended, ,no-cat
climb, ,no-cat
object, ,no-cat
own, ,no-cat
second, ,no-cat
short, ,no-cat
top, ,no-cat
included, ,no-cat
smashed, ,no-cat
beyond, ,no-cat
hospital, ,no-cat
missing, ,no-cat
even, ,no-cat
official, ,no-cat
told, ,no-cat
broken, ,no-cat
opens, ,no-cat
happens, ,no-cat
matter, ,no-cat
material, ,no-cat
eyes, ,no-cat
stories, ,no-cat
marking, ,no-cat
handle, ,no-cat
surely, ,no-cat
clearing, ,no-cat
given, ,no-cat
prepare, ,no-cat
article, ,no-cat
worry, ,no-cat
website, ,no-cat
means, ,no-cat
wednesday, ,no-cat
co, ,no-cat
easier, ,no-cat
understand, ,no-cat
sink, ,no-cat
shortly, ,no-cat
aid, ,no-cat
structure, ,no-cat
services, ,no-cat
crisis, ,no-cat
failing, ,no-cat
report, ,no-cat
finger, ,no-cat
risky, ,no-cat
results, ,no-cat
ms, ,no-cat
thus, ,no-cat
26, ,no-cat
talking, ,no-cat
iraq, ,no-cat
load, ,no-cat
throw, ,no-cat
terms, ,no-cat
carefully, ,no-cat
possibility, ,no-cat
running, ,no-cat
estimates, ,no-cat
mixed, ,no-cat
naked, ,no-cat
raising, ,no-cat
wary, ,no-cat
pride, ,no-cat
african, ,no-cat
prompted, ,no-cat
promise, ,no-cat
art, ,no-cat
level, ,no-cat
fifth, ,no-cat
financial, ,no-cat
52, ,no-cat
experienced, ,no-cat
likened, ,no-cat
remove, ,no-cat
boys, ,no-cat
claim, ,no-cat
clock, ,no-cat
bomb, ,no-cat
date, ,no-cat
contains, ,no-cat
television, ,no-cat
news, ,no-cat
led, ,no-cat
cut, ,no-cat
cast, ,no-cat
choice, ,no-cat
happen, ,no-cat
carrier, ,no-cat
presidential, ,no-cat
