context,evidence_type,categories
cups,u,food
of,u,food
flavored,u,food
you,u,object food
the,u,food
from,u,food
which,u,food cold
in,u,food
even,u,food
not,u,food
lemon,u,food
frozen,n,object food all
cake,u,food
fruit,u,food
pour,u,food
out,u,food
glasses,i,food
can,i,food
up,u,food cold
0,u,food
had,u,food
on,u,food cold
fried,u,food
at,u,food
makes,u,food
goes,u,object food measure
chilled,n,relation food
used,u,food
white,u,food measure
their,u,food
favorite,u,food
was,u,food
one,u,food
about,u,food
cool,n,food
says,u,food
small,u,food
green,u,food cold
rice,u,food
every,u,food cold measure
plastic,u,food
10,u,food
16,u,food
12,u,food
still,u,food
onto,u,food
take,u,food
comes,u,food
create,u,food
looks,u,food
let,u,food
filled,u,food
off,u,food
beer,i,food
cookies,u,food
soda,i,food
set,u,food
sauce,i,food
chocolate,u,food
water,i,food cold
wine,i,food
orange,u,food
mixed,u,food
soft,u,relation food
combine,u,relation food
his,u,food
called,u,food
this,u,food
blend,u,food
turn,u,food
taste,u,food
own,u,food
but,u,food cold
yellow,u,food
that,u,food cold
try,u,food
variety,u,food cold relation all measure
old,u,food
plain,u,food measure
who,u,food
she,u,food
than,u,food cold
large,u,food cold
turned,u,food
buy,u,relation food
more,u,food
calories,u,food
nice,u,food
he,u,food measure
just,u,food
go,u,food
we,u,object food
come,u,food
well,u,food
been,u,food
front,u,food
serving,u,food
should,u,food
honey,u,relation food
too,u,food
red,u,food
if,u,food
similar,u,food cold
any,u,food measure
shop,u,food
often,u,food
popular,u,food
family,u,food
tips,u,food
time,u,food
blue,r,food
40,u,food
style,u,food measure
mom,u,food
little,u,food
liquid,i,food
started,u,food
known,u,food
might,u,food
pot,u,food
words,u,relation food
occasionally,u,food
offers,u,relation food
through,u,food
there,u,food
tossed,u,food
temperature,r,food
raw,u,food
slices,u,food
several,u,food
created,u,food
does,u,food
bags,u,food
ate,u,food
15,u,food cold
ahead,u,food
95,u,relation food
bright,u,food
by,u,food
include,u,relation food
have,u,food
long,u,food cold
many,u,food
learned,u,food
leaves,u,food cold
except,u,food cold
fish,u,food
topped,u,food
top,u,food
contains,u,object food cold measure
bag,u,food
pieces,u,food
dog,u,food
day,u,food
giant,u,food all cold
six,u,food
break,u,food
sold,u,cold
its,u,cold
dropping,u,cold
along,u,cold
formed,u,cold
stream,u,cold
covered,u,cold
record,u,cold
worn,u,cold
covers,u,cold
found,u,cold
wash,r,cold
covering,u,cold
clear,u,cold
most,u,cold
down,u,cold
million,u,cold
lining,u,cold
use,u,cold
days,u,cold
classic,u,cold
kids,u,cold
easier,u,cold
song,u,cold
washed,u,cold
another,u,cold
few,u,cold
nearly,u,cold
outside,u,cold
garden,u,cold
oct,u,cold
owners,u,cold
slide,u,cold
smell,u,cold
virtually,u,cold
closed,u,cold
areas,u,cold
trapped,u,cold
company,u,cold
system,u,cold
natural,u,cold
working,u,cold measure
beginning,u,cold
late,u,cold
collect,u,cold measure
mere,u,cold
wheel,u,cold
shape,u,cold
dozens,u,cold
wild,u,cold measure
christmas,u,cold
grow,u,cold
limit,u,cold
mountain,i,cold
trail,u,cold
disappeared,u,cold
dumping,u,cold
slightly,u,cold
90,u,cold
beauty,u,cold
scientists,u,cold
grip,u,cold
icy,n,cold
rail,u,cold
flow,u,cold
football,u,cold
major,u,cold
alone,u,cold
treated,u,cold
dirt,u,cold
posed,u,cold
millions,u,cold
walks,u,cold
monster,u,cold
escape,u,cold
bears,u,cold
eventually,u,cold
dozen,NA,cold
city,NA,cold
moving,NA,cold
moscow,NA,cold
cold,NA,cold
suburban,NA,cold
cave,NA,cold
fresh,r,object
