context,evidence_type,categories
red, ,plant vegetable fruit relation all
wine, ,plant food fruit
black, ,plant fruit
warner, ,animal
director, ,animal
character, ,animal relation
joseph, ,animal
latter, ,animal
16, ,animal
films, ,animal
wife, ,animal relation
brings, ,animal
begins, ,animal
wait, ,animal
concentrated, ,food
currant, ,food fruit
sugar, ,vegetable measure
spices, ,vegetable
lime, ,vegetable
color, ,vegetable
by, ,vegetable
savory, ,vegetable
burst, ,object all
modern, ,object
steel, ,object
summer, ,fruit
intense, ,fruit
picked, ,fruit
right, ,fruit
blueberry, ,fruit
elegant, ,fruit
what, ,fruit
introduced, ,fruit
features, ,fruit
heard, ,relation
forever, ,relation
songs, ,relation
reflected, ,relation
james, ,relation
tom, ,relation
football, ,relation
martin, ,relation
admits, ,relation
image, ,relation
writing, ,relation
positive, ,relation
ultimately, ,relation
belong, ,relation
mystery, ,relation
trained, ,relation
poster, ,relation
song, ,relation
twin, ,relation
60s, ,relation
bright, ,all
ceiling, ,measure
plastic, ,measure
thick, ,measure
covered, ,measure
sheet, ,measure
topped, ,measure
plates, ,measure
sculpture, ,measure
twisted, ,measure
small, ,measure
painted, ,measure
green, ,measure
bowls, ,measure
onto, ,measure
thin, ,measure
huge, ,measure
surface, ,measure
atop, ,measure
dishes, ,measure
cleaned, ,measure
use, ,measure
stored, ,measure
shape, ,measure
gently, ,measure
pot, ,measure
pink, ,measure
stuffed, ,measure
enormous, ,measure
purple, ,measure
dirty, ,measure
pile, ,measure
taste, ,measure
remove, ,measure
cream, ,measure
sales, ,measure
traditional, ,measure
mix, ,measure
dry, ,measure
buy, ,measure
bought, ,measure
appears, ,measure
sells, ,measure
alongside, ,measure
coat, ,measure
dusty, ,measure
washing, ,measure
soft, ,measure
18th, ,measure
1960s, ,measure
equivalent, ,measure
substance, ,measure
meat, ,measure
wants, ,measure
likes, ,measure
dirt, ,measure
directly, ,measure
common, ,measure
grass, ,measure
shed, ,measure
baked, ,measure
roots, ,measure
variety, ,measure
dealer, ,measure
selling, ,measure
collecting, ,measure
bunch, ,measure
buying, ,measure
cat, ,measure
helps, ,measure
grow, ,measure
growing, ,measure
fields, ,measure
tended, ,measure
ideas, ,measure
grew, ,measure
smell, ,measure
serves, ,measure
tradition, ,measure
fried, ,measure
jacket, ,measure
farmer, ,measure
edge, ,measure
enough, ,measure
keeps, ,measure
magazine, ,measure
sort, ,measure
suggest, ,measure
grandmother, ,measure
array, ,measure
suited, ,measure
deeper, ,measure
bass, ,measure
