context,evidence_type,categories
ramp,r,vehicle
ride,r,measure vehicle
wheels,l,vehicle
his,u,vehicle
shop,u,vehicle
on,u,vehicle
bicycle,i,vehicle
rides,r,vehicle
to,u,vehicle
and,u,vehicle
rider,r,vehicle
jump,u,vehicle
wheel,l,vehicle
boy,u,vehicle
racing,r,vehicle
toy,i,vehicle
boys,u,vehicle
driveway,r,vehicle
gear,u,vehicle
dirt,u,vehicle
motorcycle,NA,vehicle
him,u,vehicle
rolled,NA,vehicle
pushing,NA,vehicle
sidewalk,NA,vehicle
equipment,NA,vehicle
stroller,NA,vehicle
atop,NA,measure vehicle
put,NA,vehicle
turn,NA,vehicle
art,NA,vehicle
site,NA,vehicle
sitting,NA,vehicle
parents,NA,measure vehicle
pair,u,vehicle
handle,NA,vehicle
mostly,NA,vehicle
car,NA,vehicle
thing,NA,vehicle
your,NA,vehicle
cadillac,NA,vehicle
hanging,NA,vehicle
young,NA,measure vehicle
folding,NA,vehicle
mini,NA,vehicle
got,NA,vehicle
off,NA,vehicle
for,NA,vehicle
jumping,NA,vehicle
door,NA,vehicle
99,u,measure vehicle
record,NA,vehicle
bought,NA,vehicle
miniature,NA,vehicle
borrowed,NA,vehicle
tracks,NA,vehicle
wheeled,NA,vehicle
sells,NA,measure vehicle
yard,u,vehicle
instance,NA,vehicle
year,u,vehicle
steep,NA,vehicle
dad,NA,vehicle
scene,NA,vehicle
neighbor,NA,vehicle
himself,NA,vehicle
you,NA,vehicle
combination,NA,vehicle
popular,NA,vehicle
started,NA,vehicle
work,NA,vehicle
summer,NA,vehicle
hopped,NA,vehicle
ever,NA,vehicle
store,NA,vehicle
bags,NA,vehicle
arrive,NA,vehicle
anything,NA,vehicle
better,u,vehicle
maybe,NA,vehicle
uses,NA,vehicle
almost,NA,vehicle
garage,NA,vehicle
walk,NA,vehicle
frame,NA,measure vehicle
trash,NA,vehicle
side,NA,vehicle
get,NA,vehicle
help,NA,vehicle
recently,u,vehicle
having,NA,vehicle
hauling,NA,vehicle
room,NA,vehicle
rope,NA,vehicle
gate,NA,vehicle
full,NA,vehicle
floor,NA,measure vehicle
say,NA,measure vehicle
runs,NA,vehicle
return,u,vehicle
guy,NA,vehicle
gravel,NA,vehicle
hills,NA,vehicle
man,NA,vehicle
owners,NA,vehicle
many,NA,vehicle
lying,NA,vehicle
mother,NA,vehicle
needed,NA,vehicle
next,NA,vehicle
ones,NA,measure vehicle
presented,NA,vehicle
infant,NA,vehicle
ice,NA,vehicle
horse,NA,vehicle
holding,NA,vehicle
huge,NA,vehicle
race,NA,vehicle
raced,NA,vehicle
knife,NA,vehicle
kitchen,NA,vehicle
perfectly,NA,vehicle
introduced,NA,vehicle
books,NA,measure vehicle
train,NA,vehicle
training,NA,vehicle
brand,NA,measure vehicle
truck,NA,vehicle
trucks,NA,vehicle
beach,NA,vehicle
black,NA,measure vehicle
tried,NA,vehicle
chair,NA,measure vehicle
taken,NA,vehicle
children,u,vehicle
today,NA,vehicle
together,NA,measure vehicle
always,NA,vehicle
week,u,measure vehicle
years,NA,vehicle
youngest,NA,vehicle
williams,NA,vehicle
walking,NA,vehicle
view,NA,measure vehicle
village,NA,vehicle
edge,NA,vehicle
engine,NA,vehicle
sits,NA,measure vehicle
something,NA,vehicle
disabled,NA,vehicle
drops,NA,vehicle
smaller,NA,vehicle
see,NA,vehicle
seen,NA,measure vehicle
seat,NA,measure vehicle
fan,NA,measure vehicle
filling,NA,vehicle
fill,NA,vehicle
should,NA,vehicle
settled,NA,vehicle
stops,NA,vehicle
dinner,NA,vehicle
stuff,NA,vehicle
climb,NA,measure vehicle
cliff,NA,vehicle
concealed,NA,vehicle
daughter,NA,vehicle
stands,NA,vehicle
square,NA,vehicle
back,NA,vehicle
four,NA,vehicle
riding,NA,vehicle
parks,NA,vehicle
park,NA,vehicle
bike,NA,vehicle
rode,NA,vehicle
shoes,NA,vehicle
surf,NA,vehicle
motorized,NA,vehicle
tony,NA,vehicle
kids,NA,vehicle
kid,NA,vehicle
hop,NA,vehicle
powered,NA,vehicle
chassis,NA,vehicle
clothing,NA,measure vehicle
stolen,NA,vehicle
in,u,vehicle
well,NA,vehicle
pants,NA,vehicle
flip,NA,vehicle
event,NA,vehicle
custom,NA,measure vehicle
big,u,vehicle
street,NA,vehicle
maneuver,NA,vehicle
looks,NA,vehicle
fun,NA,measure vehicle
flat,NA,vehicle
spin,NA,measure vehicle
my,NA,vehicle
competitions,NA,vehicle
modern,NA,vehicle
pioneer,NA,vehicle
wear,NA,vehicle
icon,NA,vehicle
mid,NA,vehicle
run,NA,vehicle
grab,NA,vehicle
sports,NA,vehicle
suburban,NA,vehicle
star,NA,measure vehicle
emblazoned,NA,vehicle
backpack,NA,vehicle
cool,NA,vehicle
out,NA,vehicle
shops,NA,vehicle
ca,NA,vehicle
who,NA,vehicle
invented,NA,vehicle
clothes,NA,vehicle
just,NA,vehicle
make,NA,vehicle
uniform,NA,vehicle
hung,NA,vehicle
attached,NA,vehicle
using,NA,vehicle
transportation,NA,vehicle
love,NA,vehicle
