context,evidence_type,categories
garden, ,plant fruit
fruits, ,plant fruit
patch, ,plant fruit
leaves, ,plant fruit measure
vegetables, ,plant
sauteed, ,plant
squash, ,plant fruit
pumpkin, ,plant
ground, ,plant
growing, ,plant object
thick, ,plant
try, ,plant fruit
ones, ,plant fruit
greens, ,plant
leaf, ,plant
ham, ,plant
juice, ,plant
bell, ,plant
less, ,plant
remaining, ,plant
lunch, ,plant
produces, ,plant
combination, ,plant object
pineapple, ,plant measure
also, ,food
between, ,food all
pastry, ,food
annual, ,object all measure
spinach, ,fruit
my, ,fruit
eating, ,fruit
now, ,fruit
watermelon, ,fruit
about, ,fruit
using, ,fruit
bottom, ,fruit
tasty, ,fruit
first, ,fruit all
thing, ,fruit
come, ,fruit
stone, ,fruit
largest, ,fruit
refers, ,fruit
eat, ,fruit
fish, ,fruit measure
relish, ,fruit
glass, ,fruit
lobster, ,fruit
glazed, ,fruit
restaurant, ,fruit
shake, ,fruit
something, ,fruit
stuck, ,fruit
so, ,fruit
enough, ,fruit
old, ,fruit
keep, ,fruit
juicy, ,fruit
cover, ,fruit measure
couple, ,fruit
do, ,fruit measure
front, ,fruit
let, ,fruit
home, ,fruit
sausage, ,fruit
famous, ,fruit
day, ,fruit
easy, ,fruit
produce, ,fruit
especially, ,fruit
company, ,fruit
picking, ,fruit
us, ,fruit
inspired, ,fruit
latest, ,fruit
work, ,fruit
similar, ,fruit
pick, ,fruit
farming, ,fruit
biggest, ,fruit
festival, ,relation fruit
black, ,relation
shaped, ,relation
towering, ,relation
gold, ,relation
metal, ,relation
shiny, ,relation
inch, ,relation
bearing, ,relation
trees, ,relation
surrounding, ,relation
texas, ,relation
million, ,relation
picked, ,relation
leading, ,relation
dates, ,relation
fingers, ,relation measure
shade, ,relation
named, ,relation
tree, ,relation
history, ,relation
pine, ,relation
river, ,relation
jerry, ,relation measure
production, ,relation
journey, ,relation
fields, ,relation
hammer, ,relation
mini, ,relation
ed, ,relation
lush, ,relation
reminiscent, ,relation
staged, ,relation
batter, ,relation
88, ,relation
claim, ,relation
settling, ,relation
moss, ,relation
truck, ,relation
dotted, ,relation
dash, ,relation
1981, ,relation
farmers, ,relation
distinctive, ,relation
cookie, ,relation
concentration, ,relation
wedges, ,relation
faded, ,relation
species, ,relation
diverse, ,relation
halves, ,relation
study, ,relation
pride, ,relation
demand, ,relation
money, ,measure
shot, ,measure
apples, ,measure
roll, ,measure
plates, ,measure
beginning, ,measure
23, ,measure
main, ,measure
remember, ,measure
briefly, ,measure
throughout, ,measure
return, ,measure
large, ,measure
amount, ,measure
place, ,measure
outside, ,measure
minutes, ,measure
shrimp, ,measure
deep, ,measure
re, ,measure
ve, ,measure
bit, ,measure
job, ,measure
bowl, ,measure
amp, ,measure
until, ,measure
calling, ,measure
shell, ,measure
remove, ,measure
together, ,measure
forced, ,measure
plenty, ,measure
any, ,measure
fast, ,measure
beyond, ,measure
signs, ,measure
loose, ,measure
lower, ,measure
sweet, ,measure
setting, ,measure
pushing, ,measure
adding, ,measure
additional, ,measure
closer, ,measure
staples, ,measure
aside, ,measure
program, ,measure
lean, ,measure
desired, ,measure
chopped, ,measure
nobody, ,measure
balls, ,measure
on, ,measure
waste, ,measure
quite, ,measure
mix, ,measure
dipped, ,measure
dipping, ,measure
form, ,measure
finally, ,measure
estimated, ,measure
cooled, ,measure
fold, ,measure
enormous, ,measure
means, ,measure
serve, ,measure
here, ,measure
time, ,measure
mom, ,measure
mother, ,measure
cool, ,measure
food, ,measure
serving, ,measure
handful, ,measure
firmly, ,measure
add, ,measure
mixed, ,measure
according, ,measure
heat, ,measure
ready, ,measure
beans, ,measure
level, ,measure
clay, ,measure
replaced, ,measure
fruit, ,measure
expect, ,measure
burn, ,measure
bananas, ,measure
why, ,measure
added, ,measure
dishes, ,measure
generous, ,measure
true, ,measure
gently, ,measure
heading, ,measure
particularly, ,measure
follow, ,measure
happy, ,measure
eaten, ,measure
grease, ,measure
ease, ,measure
total, ,measure
handles, ,measure
singing, ,measure
season, ,measure
careful, ,measure
stay, ,measure
china, ,measure
zone, ,measure
chain, ,measure
sticky, ,measure
coat, ,measure
snap, ,measure
except, ,measure
news, ,measure
golden, ,measure
run, ,measure
fair, ,measure
past, ,measure
concerned, ,measure
strips, ,measure
remains, ,measure
corn, ,measure
markets, ,measure
frequently, ,measure
guide, ,measure
ability, ,measure
vendor, ,measure
managed, ,measure
risk, ,measure
rounds, ,measure
covering, ,measure
santa, ,measure
sky, ,measure
cause, ,measure
specialty, ,measure
seafood, ,measure
bacon, ,measure
everybody, ,measure
nuts, ,measure
types, ,measure
trip, ,measure
pre, ,measure
combined, ,measure
ate, ,measure
either, ,measure
assemble, ,measure
layer, ,measure
baking, ,measure
oven, ,measure
women, ,measure
pinch, ,measure
saying, ,measure
topping, ,measure
nor, ,measure
focus, ,measure
matter, ,measure
