context,evidence_type,categories
wings, ,animal object food all
bird, ,animal food bird object all
birds, ,animal object food all
found, ,food
it, ,food
hidden, ,food
quail, ,food
pigeon, ,food
flies, ,food
hatched, ,food
game, ,food
one, ,food
near, ,food
several, ,food
this, ,food
commonly, ,food
clear, ,food
raised, ,food
probably, ,food
eggs, ,food
roasted, ,food
outbreaks, ,food
manager, ,food
owner, ,food
chasing, ,food
on, ,food
but, ,food
garden, ,food
amp, ,food
had, ,food
their, ,food
home, ,food
dog, ,food
replaced, ,food
beak, ,food
dear, ,food
nesting, ,food
feet, ,food
failing, ,food
fighting, ,food
lake, ,food
28, ,food
distinctive, ,food
62, ,food
bright, ,food
following, ,food
fat, ,food
have, ,food
than, ,food
plastic, ,food
number, ,food
go, ,food
hours, ,food
starting, ,food
they, ,food
do, ,food
large, ,food
250, ,food
turning, ,food
weeks, ,food
water, ,food
includes, ,food
young, ,food
inside, ,food
virus, ,food
poultry, ,food
detected, ,food
chickens, ,food
suspected, ,food
wild, ,food
fowl, ,food
farms, ,food
farm, ,food
feathers, ,food
free, ,food
said, ,food
turkey, ,food
pet, ,food
dead, ,food
culled, ,food
wildlife, ,food
duck, ,food
slaughter, ,food
two, ,food
so, ,food
could, ,food
pig, ,food
being, ,food
flock, ,food
thanksgiving, ,food
million, ,food
foot, ,food
baby, ,food
them, ,food
ostrich, ,food
same, ,food
least, ,food
whether, ,food
kind, ,food
geese, ,food
does, ,food
common, ,food
appeared, ,food
us, ,food
every, ,food
farming, ,food
sight, ,food
brown, ,food
300, ,food
almost, ,food
dozen, ,food
strange, ,food
adding, ,food
longer, ,food
typical, ,food
bought, ,food
plants, ,food
goose, ,food
charge, ,food
wash, ,food
hens, ,food
rabbit, ,food
hen, ,food
hiding, ,food
nobody, ,food
wherever, ,food
blame, ,food
hatching, ,food
crashed, ,vehicle
similar, ,vehicle
visibility, ,vehicle
indicating, ,vehicle
hunt, ,vehicle
northwest, ,vehicle
piloted, ,vehicle
propeller, ,vehicle
conducting, ,vehicle
nest, ,bird
species, ,bird
