,reptile,food,communication,plant,fruit,no-cat,all,mammal,relation,bird,object,vegetable,measure,animal,mean
crocodile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snake,0.006005747345906972,0.0,0.0,0.0,0.0,0.0,0.0035876978859425666,0.0,0.0,0.0,0.003632088454613328,0.0,0.0,0.004702310040931545,0.001280560266242458
lizard,0.008423522587629994,0.0,0.0,0.0,0.0,0.0,0.005796098132472682,0.0,0.0,0.0,0.005956995144542134,0.0,0.0,0.0072780058319686595,0.001961044406900962
alligator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pea,0.0,0.0036881528365705707,0.0,0.003436142226377713,0.003214572669133179,0.0,0.0033322296979445077,0.0,0.0,0.0,0.0034031519674607106,0.004422727322137395,0.0,0.0,0.0015354983371160054
raisin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olive,0.0,0.00186863336137736,0.0,0.001732579395333036,0.0017017287115078442,0.0,0.00166393551845955,0.0,0.0014556938702416733,0.0,0.0016713284226940416,0.0,0.0,0.0,0.0007209928056866789
cherry,0.0,0.002578076382724739,0.0,0.002498115647479687,0.0024052476546011104,0.0,0.0022983052644196195,0.0,0.0019914647351020848,0.0,0.002345148032276905,0.0,0.0,0.0,0.0010083112654717247
bird,0.0,0.00020991180763822246,0.0002762645933997412,0.0,0.0,0.0002763560501826619,0.0002301176929249154,0.0,0.0,0.00038584342270699535,0.00023620065562037938,0.0,0.0,0.0003203534971285278,0.00013821769425724595
grape,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aubergine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
truffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coffee,0.0,0.0028178883150202652,0.0,0.002612078477367992,0.0026101330736012867,0.0,0.0026382730324544133,0.0,0.0024717482002220817,0.0,0.002641395927754902,0.0,0.0,0.0,0.00112796550188721
rabbit,0.0,0.0017544956096849035,0.0,0.0,0.0,0.0,0.0017726206114766008,0.0017755795917500693,0.0016478783480837701,0.0,0.001795828389541042,0.0,0.0,0.002137394024528142,0.0007774140410760378
dog,0.0,0.0027244919696887476,0.0,0.0,0.0,0.0029583778623003807,0.002813476585648759,0.0029045359981958226,0.0,0.0,0.0028652911067801497,0.0,0.0,0.0036410954750802763,0.0012790906426924382
ketchup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cucumber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gherkin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apple,0.0,0.001013968507772116,0.0,0.001013678607974486,0.0010287141753981665,0.0,0.0008319837275238883,0.0,0.0,0.0,0.0008315946355537599,0.0,0.0,0.0,0.0003371385467301726
heart,0.0,0.0037942132580115638,0.0,0.0,0.0,0.0,0.003363019628439195,0.0,0.0031716591736705036,0.0,0.0033567638053083556,0.0,0.0,0.0,0.0009775468475306868
rice,0.0,0.0007535529300935067,0.0,0.0008277076596638036,0.0,0.0,0.0007392723004207957,0.0,0.0,0.0,0.000711404559977014,0.0,0.0,0.0,0.0002165669607253657
pear,0.0,0.0011867773776137464,0.0,0.001104243146751514,0.0011410209290559441,0.0,0.0008719535869266178,0.0,0.0,0.0,0.0008885431135476571,0.0,0.0,0.0,0.00037089558242110564
avocado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lobster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
honey,0.0,0.0007564440715812771,0.0,0.0,0.0,0.0,0.0005375043601226604,0.0,0.0,0.0,0.0005356973452411217,0.0,0.0,0.0,0.00013068898406750422
beet,0.0,0.0022275914335268105,0.0,0.0021596678580345866,0.0,0.0,0.0016570878512290556,0.0,0.0,0.0,0.0016423432785710613,0.0023296017654680637,0.0,0.0,0.0007154494419163985
wine,0.0,0.0010092701112102342,0.0,0.0,0.0,0.0,0.000772167660404674,0.0,0.0007755976314892658,0.0,0.0,0.0,0.0,0.0,0.00018264538593601242
cider,0.0,0.002278510300056469,0.0,0.0,0.0,0.0,0.001474656651218996,0.0,0.0015930032492159356,0.0,0.0,0.0,0.0,0.0,0.0003818693000351
