,food,female,fish,communication,plant,fruit,vehicle,all,relation,vegetable,bird,object,blue,measure,animal,mean
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fish,0.009473890519318665,0.0,0.01055739912740479,0.0,0.0,0.0,0.0,0.009683159662389132,0.0,0.0,0.0,0.009647810249433182,0.0,0.0,0.009989752213067273,0.003290134118107536
currant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheese,0.0004219051124734255,0.0,0.0,0.0,0.0003903344293200686,0.0,0.0,0.0003144812921879867,0.0,0.0,0.0,0.000307397447007273,0.0,0.0,0.0,9.560788539925026e-05
water,0.0010152884771135507,0.0,0.0,0.0,0.0,0.0,0.0,0.0010053529397258437,0.0010867194726033353,0.0,0.0,0.0009679320682287899,0.0,0.0,0.0,0.0002716861971781013
iceberg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bird,0.000661705407156606,0.0011631152808792703,0.0,0.0009407964777721271,0.0,0.0,0.0,0.0006924845356861142,0.0,0.0,0.001595297063869784,0.0006883516694444285,0.0,0.0,0.0008081956347329874,0.00043666307130275456
blueberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
egg,0.0027080690317039576,0.0,0.0,0.0,0.0,0.0,0.0,0.0016290937640132644,0.0,0.0,0.0,0.0016513995480093321,0.0,0.0,0.0,0.00039923748958177024
lettuce,0.003238110384151403,0.0,0.0,0.0,0.0025687529309971068,0.0,0.0,0.0017508610973837166,0.0,0.004011190134328288,0.0,0.001744539608124614,0.0,0.002135131599484831,0.0,0.0010299057169646639
spinach,0.004148818148734763,0.0,0.0,0.0,0.003215409947540668,0.0,0.0,0.0024307032091823114,0.0,0.004526756895867198,0.0,0.0024428045725718894,0.0,0.0,0.0,0.001117632851593122
cabbage,0.0021073534932363543,0.0,0.0,0.0,0.0017460895033518686,0.0,0.0,0.0013556662180607302,0.0,0.0021594938127805986,0.0,0.0013268029982035194,0.0,0.0016729646307192896,0.0,0.0006912247104234908
ketchup,0.00158262913067338,0.0,0.0,0.0,0.0,0.0,0.0,0.001084923264445076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017783682634123042
strawberry,0.0008533023090008617,0.0,0.0,0.0,0.000723968114271659,0.001234661616278445,0.0,0.0006684521263658318,0.0,0.0,0.0,0.000648943187325085,0.0,0.0,0.0,0.0002752884902161255
beetroot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cucumber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemon,0.0003359046442902926,0.0,0.0,0.0,0.0002797899105224278,0.0004072703080586761,0.0,0.00019152337375859967,0.0,0.0,0.0,0.00019359262006899368,0.0,0.0,0.0,9.387205711326599e-05
broccoli,0.002112596164878485,0.0,0.0,0.0,0.0018563355779127298,0.0,0.0,0.0011770347057207824,0.0,0.0025249996795672753,0.0,0.0011654490827098176,0.0,0.0,0.0,0.0005890943473859393
raisin,0.0030134126441656037,0.0,0.0,0.0,0.0,0.004133551687516535,0.0,0.0015858194901569767,0.0,0.0,0.0,0.0015801335346459944,0.0,0.0,0.0,0.000687527823765674
radish,0.005364833331741697,0.0,0.0,0.0,0.004508393258086655,0.0,0.0,0.0026976002122423635,0.0,0.005780023956182307,0.0,0.0027975885847573794,0.0,0.0,0.0,0.0014098959562006935
jam,0.0013542147323965421,0.0,0.0,0.0,0.0,0.0,0.0,0.001055968619380168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016067889011844733
apple,0.002827901997636872,0.0,0.0,0.0,0.0023528827491873603,0.0034340174209183828,0.0,0.0019830563912418726,0.0,0.0,0.0,0.0019626988176750727,0.0,0.0,0.0,0.0008373704917773039
cherry,0.004344136818660875,0.0,0.0,0.0,0.0038146484980563023,0.005116318160603006,0.0,0.0028956446617180846,0.0030601730638593195,0.0,0.0,0.0028621240022619707,0.0,0.0,0.0,0.0014728696803439707
heart,0.001248341339234415,0.0,0.0,0.0,0.0,0.0,0.0,0.0009233982464427893,0.0009495310438270709,0.0,0.0,0.0009162723201440519,0.0,0.0,0.0,0.00026916952997655514
salad,0.012924381947526316,0.0,0.0,0.0,0.0,0.0,0.0,0.008117708135309562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014028060055223917
crab,0.0014942210124190933,0.0,0.0,0.0,0.0,0.0,0.0,0.0008746174365475694,0.0,0.0,0.0,0.000887638805606502,0.0,0.0,0.0008549087926565858,0.00027409240314865
slug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rice,0.0004644874311255953,0.0,0.0,0.0,0.0003917241595569744,0.0,0.0,0.0003205097780038493,0.0,0.0,0.0,0.0003125948452412784,0.0,0.0,0.0,9.928774759517983e-05
avocado,0.002463967532079544,0.0,0.0,0.0,0.0020224574333810295,0.002727972362985466,0.0,0.001510943544624163,0.0,0.0,0.0,0.00149550924848198,0.0,0.0,0.0,0.0006813900081034789
nectarine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beet,0.0023555207055513854,0.0,0.0,0.0,0.0022417423474505303,0.0,0.0,0.001544255196533357,0.0,0.0021059745848394985,0.0,0.001537069878981342,0.0,0.0,0.0,0.0006523041808904076
