,reptile,criminal,food,fish,communication,cutlery,no-cat,vehicle,all,mammal,relation,tool,object,measure,animal,weapon,medication,mean
snake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000945328701547708,0.0,0.0,0.0,0.0009137100411413423,0.0,0.0012686528594241788,0.0,0.0,0.000183981858947837
alligator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turtle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gunman,0.0,0.009273175339499562,0.0,0.0,0.0,0.0,0.0,0.0,0.008753785847080838,0.0,0.0,0.0,0.008610371818231134,0.0,0.0,0.0,0.0,0.0015669019414595018
coyote,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017247114168397193,0.002413896608031799,0.0,0.0,0.0017005987341909012,0.0,0.0026125883780238053,0.0,0.0,0.0004971644198286014
henchman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01745812583956827,0.0,0.0,0.0,0.01696551846027833,0.0,0.0,0.0,0.0,0.002024920252932153
traitor,0.0,0.008946520229945918,0.0,0.0,0.0,0.0,0.0,0.0,0.008269741423352727,0.0,0.0,0.0,0.007858721985033412,0.0,0.0,0.0,0.0,0.0014749990375489445
racketeer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hijacker,0.0,0.021666746365428428,0.0,0.0,0.0,0.0,0.0,0.0,0.016311489843880537,0.0,0.0,0.0,0.016043506104557716,0.0,0.0,0.0,0.0,0.0031777495478745106
looter,0.0,0.09265683548896672,0.0,0.0,0.0,0.0,0.0,0.0,0.08748598008998218,0.0,0.0,0.0,0.08506977919641366,0.0,0.0,0.0,0.0,0.015600740869138974
bootlegger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conspirator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gun,0.0,0.004800580170367044,0.0,0.0,0.0,0.0,0.0,0.0,0.004768253247174163,0.0,0.0,0.0,0.0046729091174289115,0.0,0.0,0.004505246605888104,0.0,0.0011027640671093073
mafioso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thief,0.0,0.0032588256668998348,0.0,0.0,0.0,0.0,0.0,0.0,0.0029930627355008047,0.0,0.0,0.0,0.002985454217667256,0.0,0.0,0.0,0.0,0.0005433730952981115
punk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
torpedo,0.0,0.008128372744050314,0.0073952443496057094,0.0064918874389249676,0.005890985520873388,0.0,0.0,0.0,0.006671408416142086,0.0,0.006160368014023759,0.0,0.006548561624685893,0.0,0.008219161740681812,0.0,0.0,0.0032650582264110548
pusher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spud,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elixir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soup,0.0,0.0,0.0002869556505479098,0.0,0.0,0.0,0.0,0.0,0.000200921456303871,0.0,0.00022213916086644567,0.0,0.0,0.0,0.0,0.0,0.0,4.1765662806954494e-05
