,all,relation,weapon,mammal,no-cat,animal,food,cutlery,object,medication,communication,fish,criminal,vehicle,measure,reptile,tool,mean,median
bayonet,0.010599836383139204,0.0,0.008819014645528457,0.0,0.0,0.0,0.0,0.0,0.010771462278880485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017759007827969496,0.0
gunman,0.05507742350673753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05689613174687907,0.0,0.0,0.0,0.05250186155789991,0.0,0.0,0.0,0.0,0.0096750245183245,0.0
bolo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coyote,0.0029153576371853908,0.0,0.0,0.0033712391082315104,0.0,0.0032164037453941826,0.0,0.0,0.0030189810616023487,0.0,0.0,0.0,0.004109550232003758,0.0,0.0,0.0,0.0,0.000978325399083364,0.0
sniper,0.03151772311642053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03278895499985096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037827457715453824,0.0
revolver,0.007925597884337512,0.0,0.007996301137091499,0.0,0.0,0.0,0.0,0.0,0.008527724283014383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014382131355554937,0.0
plot,0.004945908372756935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005136897590579128,0.0,0.004764058404192393,0.0,0.0,0.0,0.0,0.0,0.0,0.0008733449627957916,0.0
henchman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neurotoxin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hammer,0.008953681379869627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009105660375759307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010819273376749925,0.0016987420666105212,0.0
handgun,0.011480738049218838,0.0,0.011680351583840537,0.0,0.0,0.0,0.0,0.0,0.012255490883308844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020833282656687185,0.0
gang,0.019798035101828787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020200634107138498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02460674263706059,0.0038003183438839925,0.0
knife,0.013049483783718506,0.0,0.011038191567314467,0.0,0.0,0.0,0.0,0.013803908709084323,0.01357404600602314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015797797542997545,0.003956672212302234,0.0
scorpion,0.0038614609706462536,0.0,0.0,0.0,0.0,0.0036633931512626613,0.0,0.0,0.0038738344158163233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006705110904544258,0.0
mallet,0.007738020816475043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008076863756857228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006749833479053134,0.001327336356022671,0.0
harpoon,0.010437880001424165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010882923945420443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001254164938049683,0.0
buckshot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
