,criminal,food,female,fish,communication,no-cat,all,mammal,relation,bird,object,measure,animal,mean
murderess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
henchman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
murderer,0.011243898887978268,0.0,0.0,0.0,0.0,0.0,0.006959780037876211,0.0,0.0,0.0,0.007092543677308689,0.0,0.0,0.0019458632771663974
hijacker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pirate,0.0018552340400192497,0.0,0.0,0.0,0.0,0.0014016979443114772,0.0010722248424296817,0.0,0.0,0.0,0.0010885941519884236,0.0,0.0,0.00041675007528837175
kidnapper,0.05417873215657164,0.0,0.0,0.0,0.0,0.0,0.03899851773648861,0.0,0.0,0.0,0.039641334347207444,0.0,0.0,0.010216814172328285
hen,0.0,0.009536756760607699,0.0,0.0,0.0,0.0,0.012671161922093185,0.0,0.0,0.009316006295597154,0.01267388707971981,0.0,0.008438413888649741,0.0040489404574359684
emperor,0.0,0.0013147955159047134,0.0,0.0,0.0,0.0013278748397885798,0.0008519929709894115,0.0,0.0,0.0,0.0008499119969803277,0.0,0.0009625449672943673,0.0004082400223813384
hero,0.0,0.0024426406408270575,0.0,0.0,0.0,0.0,0.0023014286917730368,0.0,0.0,0.0,0.002324857412228063,0.0,0.0,0.0005437635957560121
girlfriend,0.0,0.0,0.03484093983342227,0.0,0.0,0.0,0.042460045722440276,0.0,0.0,0.0,0.04257192707706529,0.0,0.0,0.009220993279455986
madam,0.0,0.0,0.00401872193021078,0.0,0.0,0.0,0.0053496683689944384,0.0,0.0,0.0,0.00532003111237605,0.0,0.0,0.001129878570121636
enchantress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
