,criminal,animal,relation,bird,fish,object,food,all,mammal,female,measure,communication,no-cat,mean,median
murderess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
henchman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
murderer,0.0011243898887978267,0.0,0.0,0.0,0.0,0.0007710782453925022,0.0,0.0007611794136082767,0.0,0.0,0.0,0.0,0.0,0.00020435750367681584,0.0
hijacker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pirate,0.0009276170200096249,0.0,0.0,0.0,0.0,0.0005917420511242343,0.0,0.0005863371201210428,0.0,0.0,0.0,0.0,0.0007008489721557386,0.00021588808949312622,0.0
kidnapper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sow,0.0,0.0033994646245142255,0.0,0.0,0.0,0.0036402673846520736,0.0,0.0036494230932123894,0.003321480309775487,0.0,0.0,0.0,0.0,0.0010777411855503213,0.0
vixen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
siren,0.0,0.003692864374574788,0.0,0.0,0.0,0.004039978729094538,0.0,0.004053617657092986,0.0,0.003740806991611378,0.0,0.0038428117773904595,0.0,0.0014900061176741654,0.0
amazon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mademoiselle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nymph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cow,0.0,0.002442417666346642,0.0,0.0,0.0,0.002121170685934146,0.0,0.0021348014624766876,0.002359752121548816,0.0,0.0,0.0,0.0,0.0006967801489466378,0.0
hen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bitch,0.0,0.00578097110418707,0.0,0.0,0.0,0.00655392834161668,0.0,0.0066122612151770345,0.005168337884158326,0.0,0.0,0.0,0.0,0.0018550383496260853,0.0
tigress,0.0,0.11799056035078061,0.0,0.0,0.0,0.12097677096083907,0.0,0.12106502002486454,0.12377232328355783,0.0,0.0,0.0,0.0,0.037215744201541695,0.0
ewe,0.0,0.007665184444063893,0.0,0.0,0.0,0.007870766822965353,0.0,0.00793610799333857,0.007144323795963494,0.0,0.0,0.0,0.0,0.002355106388948562,0.0
doe,0.0,0.0005746302302776291,0.0,0.0,0.0,0.0006461498125609425,0.0,0.0006888682998163689,0.0005445361903640164,0.0,0.0,0.0,0.0,0.00018878342561684283,0.0
queen,0.0,0.001578168186543236,0.0017418664741413157,0.0,0.0,0.0016489318646060224,0.0,0.0016494184410062085,0.001445633434912145,0.0,0.0,0.0,0.0,0.0006203091077853022,0.0
molly,0.0,0.006109255574668001,0.0,0.0,0.01056534612209186,0.0057364760123406544,0.0,0.005767579983617927,0.0,0.0,0.0,0.0,0.0,0.0021675890532860337,0.0
