,vehicle,all,animal,communication,bird,object,mammal,food,no-cat,fish,relation,measure,mean
twinjet,0.0,0.0,,,,0.0,,,,,,,0.0
bomber,0.0004104990258244094,0.0003399742958633073,,,,0.0003400552903743422,,0.000319979017805893,,,,,0.000352626907466988
balloon,0.0077841063592105735,0.007144156163367079,,,,0.007130647861572224,,,,,,,0.007352970128049959
jet,0.0015196670862969866,0.0013098542490102994,,,,0.0013091027791363372,,,,,0.0008695312367136304,,0.0012520388377893134
airship,0.048419564329706954,0.06257553266240908,,,,0.06246331049857395,,,,,,,0.05781946916356332
helicopter,0.046347638373505994,0.04169063678871935,,,,0.04167554488763051,,,,,,,0.04323794001661862
capsule,0.0006629898109279133,0.0005689267499853397,,0.0007709419212233378,,0.0005677512901563856,,,0.0006756424160207678,,,,0.0006492504376627488
craft,0.01000010812019265,0.00926816657503615,,,,0.009259708109905932,,,,,,,0.009509327601711576
machine,0.0012841445013827984,0.001163636175002542,,,,0.0011637090514093381,,,,,,,0.0012038299092648928
plane,0.0019357352459652643,0.0017008176941962327,,,,0.0017008695705160773,,,0.0016318828181724472,,,,0.0017423263322125055
truck,0.0,0.0,,,,0.0,,,,,,,0.0
coupe,0.0,0.0,,,,0.0,,,,,,,0.0
trailer,0.0,0.0,,0.0,,0.0,,,,,,,0.0
schooner,0.0,0.0,,,,0.0,,,,,,,0.0
van,0.0,0.0,,,,0.0,,,,,,,0.0
tower,0.0007637491609250415,0.0008172780179118739,,,,0.0008073075055439929,,,,,,,0.0007961115614603028
tractor,0.0007900395208312548,0.0009063343852011859,,,,0.0009014705554732495,,,,,,,0.0008659481538352301
car,0.0003590609316591032,0.00040072599656912426,,,,0.0004002543156812392,,,,,,,0.0003866804146364889
heap,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0
sharpie,0.0,0.0,,,,0.0,,,,,,,0.0
minesweeper,0.0,0.0,,,,0.0,,,,,,,0.0
sloop,0.0,0.0,,,,0.0,,,,,,,0.0
sausage,0.0,0.0,,,,0.0,,0.0,,,,,0.0
bogie,0.0,0.0,,,,0.0,,,,,,,0.0
carrier,0.0007247671216581276,0.000760449421412342,,,,0.0007590576555306953,,,,,0.0008490413436953753,,0.0007733288855741351
clarence,0.0,0.0,,,,0.0,,,,,,,0.0
bark,0.0,0.0,,,,0.0,,,,,,,0.0
submarine,0.0005603614513901341,0.0005493110590013111,,,,0.0005512434644032618,,0.0005110731174063858,,,,,0.0005429972730502732
scull,0.0,0.0,,,,0.0,,,,,,,0.0
