,vehicle,all,animal,communication,bird,object,mammal,food,no-cat,fish,relation,measure,mean
twinjet,0.0,0.0,,,,0.0,,,,,,,0.0
bomber,0.003939133364536801,0.003082788849103065,,,,0.0030782280259340623,,0.003332554852034607,,,,,0.003358176272902134
balloon,0.04404677822350173,0.03820018517152012,,,,0.03806247936710399,,,,,,,0.040103147587375286
jet,0.04813969805199631,0.039209113239524945,,,,0.039119324568758496,,,,,0.03540234320905495,,0.04046761976733367
airship,0.03767289211856966,0.04600677407299139,,,,0.04584540150713678,,,,,,,0.04317502256623262
helicopter,0.06260773539499617,0.05321671426139029,,,,0.05310609528955899,,,,,,,0.05631018164864848
capsule,0.006190078899361135,0.005019434914000606,,0.0070358544296132645,,0.0050004623153635745,,,0.0050655165287121695,,,,0.00566226941741015
craft,0.027531334272799576,0.024111572621659066,,,,0.024048199108908052,,,,,,,0.025230368667788897
machine,0.009658256258696216,0.008270108062652822,,,,0.008256423063565095,,,,,,,0.008728262461638046
plane,0.11128411545826947,0.09239620383474716,,,,0.09224034744592656,,,0.07533446184124508,,,,0.09281378214504707
truck,0.001760501638481974,0.0013640857977381727,,,,0.001347516202684771,,,,,,,0.0014907012129683058
coupe,0.0,0.0,,,,0.0,,,,,,,0.0
trailer,0.0007668827443819306,0.0005249505829876096,,0.0005511837814811967,,0.0005141986686561822,,,,,,,0.0005893039443767298
schooner,0.0,0.0,,,,0.0,,,,,,,0.0
van,0.0005979266382407362,0.0004699227845175587,,,,0.00046674468753399995,,,,,,,0.0005115313700974317
tower,0.004009683094856468,0.0030183271661687852,,,,0.002954034777241844,,,,,,,0.003327348346089032
tractor,0.0005266930138875032,0.0004250444884123936,,,,0.00041886839947782926,,,,,,,0.0004568686339259087
car,0.006343409792644156,0.004980114451288005,,,,0.004928422691959395,,,,,,,0.005417315645297185
heap,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0
sharpie,0.0,0.0,,,,0.0,,,,,,,0.0
minesweeper,0.0,0.0,,,,0.0,,,,,,,0.0
sloop,0.0,0.0,,,,0.0,,,,,,,0.0
sausage,0.0011977180701789652,0.0010897428998385508,,,,0.0010799176206482772,,0.001577225255051543,,,,,0.001236150961429334
bogie,0.0,0.0,,,,0.0,,,,,,,0.0
carrier,0.024642082136376336,0.018188062671829458,,,,0.01798750766845374,,,,,0.028867405685642757,,0.022421264540575574
clarence,0.0,0.0,,,,0.0,,,,,,,0.0
bark,0.0,0.0,,,,0.0,,,,,,,0.0
submarine,0.0022414458055605366,0.0015456655415362274,,,,0.0015368120428691679,,0.0017995666318583777,,,,,0.0017808725054560774
scull,0.0,0.0,,,,0.0,,,,,,,0.0
phaeton,0.0,0.0,,,,0.0,,,,,,,0.0
taxi,0.002466184780610534,0.0017247092972409702,,,,0.0016987854020908523,,,,,,,0.0019632264933141185
junk,0.0009057310768994122,0.0007301995492647925,,,,0.0007188855975700177,,,,,0.001182132166008841,,0.0008842370974357658
steamer,0.0,0.0,0.0,,,0.0,,0.0,,,,,0.0
interceptor,0.0031360351286709,0.002436348013627736,,,,0.00240476601089994,,,,,,,0.002659049717732859
boat,0.007964497646443934,0.006145588378737541,,,,0.006049661329839146,,,,,,,0.0067199157850068745
shell,0.0005599330553185168,0.0004529460285734969,,,,0.00044567206302333886,,,,,0.0007623223960475515,,0.0005552183857407259
saloon,0.0,0.0,,,,0.0,,,,,,,0.0
ferry,0.0031743492309121383,0.002377487817777752,,,,0.002348218732311002,,,,,,,0.002633351927000297
ship,0.009370146725682501,0.006715595970069375,,,,0.006636383025161217,,,,,,,0.0075740419069710305
cart,0.0,0.0,,,,0.0,,,,,,,0.0
jalopy,0.0326158776550216,0.026676372580660353,,0.025916904662385644,,0.02642380378729217,,,,,,,0.027908239671339943
lorry,0.0,0.0,,,,0.0,,,,,,,0.0
forklift,0.0,0.0,,,,0.0,,,,,,,0.0
wren,,0.0042337622215857275,0.0036555382505590738,,0.004349514757378393,0.0042148007582904524,,,,,,,0.004113403996953412
flycatcher,,0.0,0.0,,0.0,0.0,,,,,,,0.0
stork,,0.004471763555437325,0.004118859590612198,,0.005087995691650195,0.004456021744938678,,,,,,,0.004533660145659599
budgie,,0.0,0.0,,0.0,0.0,,,,,,,0.0
pelican,,0.005390632851052428,0.005089681808297583,,0.005369657940912169,0.005379101550426658,,,,,,,0.005307268537672209
vulture,,0.02702249659130141,0.02279970110780221,,0.024716963412612487,0.0272149837994706,,,,,,,0.025438536227796675
kite,,0.3262535686458729,0.30932465097281703,0.33846948588112746,0.36293115003553,0.3259325625201266,,,,,,,0.33258228361109476
nightingale,,0.0,0.0,,0.0,0.0,,,,,,,0.0
tit,,0.0001206433268896156,0.00011938592887200169,,0.0001516398405139291,0.00012027308335783785,,,,,,,0.00012798554490834607
hawk,,0.012607207338618344,0.011793290247494544,,0.014459798261210102,0.012581498147432419,,,,,,,0.012860448498688852
chinook,,0.017788378394167546,0.01663500149802558,,,0.01775805158304351,,0.01985266805356814,,0.020356024842495088,,,0.018478024874259973
flicker,,0.0028447010551456648,0.0025146217288008407,,0.00294408274977842,0.002837872185389488,,,,,,,0.0027853194297786034
marabou,,0.0,0.0,,0.0,0.0,,,,,0.0,,0.0
pigeon,,0.04149574581550788,0.03871636393251391,,0.04823588023820215,0.04137914489779366,,,,,,,0.04245678372100439
sky,,0.031169340535815788,,,,,,,0.027736595643985246,,,,0.029452968089900517
toy,,0.005962649542816255,0.005854446299393822,,,0.005942710920803839,0.005756373621833881,,,,,,0.005879045096211949
seagull,,0.013591957775355367,0.013789176992748498,,0.020067321617089715,0.013542446821267517,,,,,,,0.015247725801615276
albatross,,0.026868480338921575,0.025625608479734493,,0.026403888106846178,0.026741071519544597,,,,,,,0.026409762111261708
fowl,,0.006635150844427939,0.0065097371202817896,,0.007575821017887356,0.006610477746364974,,0.008107681020788406,,,,,0.007087773549950093
crow,,0.0010237345736878335,0.0010405555869875498,,0.0015148715182144808,0.0010206088280715654,,,,,,,0.0011499426267403575
skylark,,0.0,0.0,,0.0,0.0,,,,,,,0.0
owl,,0.006975641662464982,0.006601001588021466,,0.008300623750929334,0.00697860853213911,,,,,,,0.007213968883388724
gull,,0.01754499258623393,0.014071100980202346,,0.018395372638648867,0.017495401222503735,,,,,,,0.016876716856897216
butterfly,,0.002547389382586373,0.002463882384146907,,,0.002538772710352206,,,,,,,0.0025166814923618286
arrow,,0.009534940906433852,,0.009616320092260395,,0.009509113540259547,,,0.008134996218577483,,,,0.009198842689382819
wing,,0.004976345602375395,,,,0.004968587887124686,,,,,,0.00612350231319489,0.005356145267564991
loon,,0.020053461129537473,0.019135109506801147,,0.019531963874480734,0.020020425469678315,,,,,,,0.019685239995124417
snowbird,,0.0045470631510085196,0.004455424936401272,,0.0069057490913665065,0.0045313011173338715,,,,,,,0.005109884574027543
duck,,0.0017945064732079752,0.001855948963500921,,0.00227732405529842,0.0017907054012545024,,0.0019952032359830184,,,,0.0017476953695858546,0.0019102305831384485
robin,,0.0005308928089664725,0.0005297218791708435,,0.0006974997743329173,0.0005288658130651362,,,,,,,0.0005717450688838423
pheasant,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0
woodpecker,,0.002047325601269001,0.0020485363723296564,,0.0025353990802731105,0.0020426407505423684,,,,,,,0.002168475451103534
quail,,0.0011008950617788734,0.0009521614405583399,,0.001406500190574546,0.0010983514132323047,,0.0010529992723735803,,,,,0.0011221814757035287
puffin,,0.0,0.0,,0.0,0.0,,,,,,,0.0
seal,,0.001833226079495032,0.0016325340125045347,0.0020691127181330224,,0.0017968521555298195,0.00263410753416515,,,,0.0027894700261707696,,0.0021258837543330546
titi,,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0
sheepshead,,0.0,0.0,,,0.0,,,,0.0,,,0.0
giraffe,,0.0,0.0,,,0.0,0.0,,,,,,0.0
basset,,0.0,0.0,,,0.0,0.0,,,,,,0.0
ass,,0.0,0.0,,,0.0,0.0,,,,,,0.0
monkey,,0.010318286223981173,0.010002716985584663,,,0.010334026160320932,0.017598260353153355,,,,,,0.01206332243076003
razorback,,0.0,0.0,,,0.0,0.0,,,,,,0.0
skimmer,,0.0,0.0,,0.0,0.0,,,,,,,0.0
lemur,,0.012241866978160178,0.010925990597300502,,,0.011811601018174194,0.01616482797375967,,,,,,0.012786071641848636
hog,,0.0,0.0,,,0.0,0.0,,,,,,0.0
chick,,0.00021994316710114,0.00024023904693045933,,0.00022922007432389652,0.00022144839421803117,,,0.0003225979613514463,,,,0.0002466897287849947
bream,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0
catfish,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0
