,food,communication,plant,no-cat,all,mammal,relation,vegetable,bird,object,fruit,measure,animal,weapon,green,mean
lettuce,0.003967358963890247,0.0,0.0038610427272841733,0.0,0.003371120646751316,0.0,0.0,0.004296510190932541,0.0,0.0034352479228843286,0.0,0.003327949458978545,0.0,0.0,0.0,0.0014839486607147432
herb,0.005211961790356633,0.0,0.0049868605719702135,0.0,0.005671027007466118,0.0,0.0,0.0,0.0,0.005471393831785507,0.0,0.0,0.0,0.0,0.0,0.0014227495467718982
guava,0.007774931309850775,0.0,0.007715229319842402,0.0,0.006785117026519396,0.0,0.0,0.0,0.0,0.006682406958052437,0.008301699834348007,0.0,0.0,0.0,0.0,0.002483958963240868
spinach,0.002574007055054215,0.0,0.0025094845679483418,0.0,0.002283503193225636,0.0,0.0,0.002687261344386726,0.0,0.0022479056227787324,0.0,0.0,0.0,0.0,0.0,0.00082014411889291
cabbage,0.003430151735301499,0.0,0.003487736789173676,0.0,0.003228038690311154,0.0,0.0,0.003494883126799117,0.0,0.003141338283781489,0.0,0.002958890828678128,0.0,0.0,0.0,0.0013160692969363375
strawberry,0.0013280766595100107,0.0,0.001122408547053472,0.0,0.0015639711649546974,0.0,0.0,0.0,0.0,0.0013737705315860055,0.001503815264538587,0.0,0.0,0.0,0.0,0.00045946947784285155
cucumber,0.0082931742660445,0.0,0.008185522714408162,0.0,0.0071511442922148685,0.0,0.0,0.008664150014015569,0.0,0.006834591150393925,0.0,0.0,0.0,0.0,0.0,0.002608572162471802
banana,0.009222756814750335,0.0,0.009161149163818496,0.0,0.009770635899930458,0.0,0.0,0.0,0.0,0.0094726709676385,0.010357198915311748,0.0,0.0,0.0,0.0,0.0031989607840966355
oregano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berry,0.00033151630369357356,0.0,0.0,0.0,0.00041018919586866725,0.0,0.0,0.0,0.0,0.00041570117506120624,0.0004372124308619541,0.0,0.0,0.0,0.0,0.00010630794036569342
broccoli,0.011390020306127385,0.0,0.01239569328202997,0.0,0.009774541737142567,0.0,0.0,0.012555905593654399,0.0,0.010026491305183308,0.0,0.0,0.0,0.0,0.0,0.003742843481609175
radish,0.012107720282916202,0.0,0.013275390952022948,0.0,0.010042468266968127,0.0,0.0,0.014980982411356593,0.0,0.010378078208887379,0.0,0.0,0.0,0.0,0.0,0.00405230934147675
rhubarb,0.00886129343530731,0.0,0.008945016617130553,0.0,0.008028823573140243,0.0,0.0,0.008661414170533578,0.0,0.007546867625209371,0.0,0.0,0.0,0.0,0.0,0.002802894361421404
cilantro,0.0025046215686561285,0.0,0.0024413490618154033,0.0,0.002065555344753789,0.0,0.0,0.0,0.0,0.002029686481518466,0.0,0.0,0.0,0.0,0.0,0.0006027474971162524
blackberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olive,0.0026369991392503843,0.0,0.0025583498511846867,0.0,0.002506668454820574,0.0,0.002383538174514039,0.0,0.0,0.0024163722202132304,0.0028441810637297132,0.0,0.0,0.0,0.0,0.0010230739269141752
chutney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apple,0.0009669184540927962,0.0,0.0008993697604680879,0.0,0.001040414313930468,0.0,0.0,0.0,0.0,0.0009848367350191042,0.001091769859223614,0.0,0.0,0.0,0.0,0.0003322206081822713
grass,0.012688050386246588,0.0,0.014034163246443609,0.0,0.0134965221500491,0.0,0.0,0.0,0.0,0.01342233773870735,0.0,0.0,0.0,0.0,0.0,0.0035760715680964433
pepper,0.00037639660141772615,0.0,0.0003530191355307595,0.0,0.00034649306619848844,0.0,0.0,0.00035937571295941497,0.0,0.00033567783519442587,0.0,0.0,0.0,0.0,0.0,0.00011806415675338767
watermelon,0.005096043262740389,0.0,0.00514062528808996,0.0,0.0045030358935249214,0.0,0.0,0.0,0.0,0.00438252989049402,0.005465664158684294,0.0,0.0,0.0,0.0,0.0016391932329022389
salad,0.002491332368204203,0.0,0.0,0.0,0.0022389183035670676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031535004478475137
crab,0.003556737143176908,0.0,0.0,0.0,0.0033165820209459427,0.0,0.0,0.0,0.0,0.003203988385112274,0.0,0.0,0.0030972605146851804,0.0,0.0,0.0008783045375946871
water,0.0036600370774161964,0.0,0.0,0.0,0.00396266632447602,0.0,0.0036062724601131674,0.0,0.0,0.0037621404879066254,0.0,0.0,0.0,0.0,0.0,0.0009994077566608005
melon,0.007486497047873053,0.0,0.007966386896377638,0.0,0.00705866145755821,0.0,0.0,0.0,0.0,0.007223782587756627,0.009345701534582012,0.0,0.0,0.0,0.0,0.002605401968276502
plantain,0.022427523848328097,0.0,0.02356870133723916,0.0,0.021261527148379214,0.0,0.0,0.021363746801020163,0.0,0.020622910972706618,0.0,0.0,0.0,0.0,0.0,0.007282960673844884
pear,0.003528691421805284,0.0,0.0036343147869034136,0.0,0.003961320586114283,0.0,0.0,0.0,0.0,0.0037915151339692095,0.004609456183649478,0.0,0.0,0.0,0.0,0.0013016865408294444
avocado,0.004123829851843289,0.0,0.004057576728979316,0.0,0.0036450293012314683,0.0,0.0,0.0,0.0,0.003559494348150282,0.004271172966940411,0.0,0.0,0.0,0.0,0.0013104735464763177
