,all,relation,no-cat,food,object,plant,hot,communication,measure,mean,median
glass,0.003919448147927753,0.0,0.0,0.0,0.003930199756224353,0.0,0.0,0.0,0.004039027511942371,0.0013209639351216085,0.0
charcoal,0.12241924862746002,0.1281209253346788,0.0,0.0,0.1161517225918027,0.0,0.0,0.0,0.0,0.04074354406154906,0.0
sandwich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grill,0.012838155076312491,0.0,0.0,0.0,0.012878459127085186,0.0,0.0,0.0,0.0,0.002857401578155298,0.0
kitchen,0.00556656356605789,0.0,0.0,0.0,0.0056049290067319265,0.0,0.0,0.0,0.0,0.001241276952532202,0.0
pizza,0.003945247675188021,0.0,0.0,0.0038517175510346053,0.0,0.0,0.0,0.0,0.0,0.0008663294695802917,0.0
dish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pastry,0.0005377990947207471,0.0,0.0,0.0005478646617680871,0.0,0.0,0.0,0.0,0.0,0.00012062930627653713,0.0
syrup,0.0006464711946336982,0.0,0.0,0.0008012120141739225,0.0,0.0,0.0,0.0,0.0,0.0001608536898675134,0.0
pie,0.0008967682526577562,0.0,0.0,0.0010574250215742915,0.0,0.0,0.0,0.0,0.0,0.00021713258602578306,0.0
casserole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soup,0.007153967291337341,0.007406277973826335,0.0,0.0077755810157352275,0.0,0.0,0.0,0.0,0.0,0.002481758475655434,0.0
toast,0.011875010649923754,0.0,0.0,0.013080836777671861,0.011411138239590042,0.0,0.0,0.0,0.010388589091662988,0.005195063862094294,0.002597531931047147
tray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cookware,0.004445998611075841,0.0,0.0,0.0,0.003887594988776373,0.0,0.0,0.0,0.0,0.0009259548444280237,0.0
cupcake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pasta,0.0009260862980918294,0.0,0.0,0.001052464585894347,0.0,0.0,0.0,0.0,0.0,0.00021983898710957518,0.0
oven,0.018328275314529352,0.0,0.0,0.0,0.020094264356871023,0.0,0.0,0.0,0.0,0.004269171074600041,0.0
tea,0.0017435318918045607,0.0019163811760135189,0.0,0.001820619516856903,0.0016812076258949694,0.001629161959377347,0.0,0.0,0.0,0.000976766907771922,0.0013029644335746345
chocolate,0.0009590342878978527,0.0010834748060059563,0.0,0.0011213817867672816,0.0,0.0,0.0,0.0,0.0,0.00035154343118567674,0.0
vapor,0.012560168334298231,0.011382362749113908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002660281231490238,0.0
firewood,0.07459370422664419,0.0,0.0,0.0,0.0,0.0,0.0744325445012564,0.0,0.0,0.016558472080877844,0.0
pancake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snack,0.0010002003492198964,0.0,0.0,0.001069247618815168,0.0,0.0,0.0,0.0,0.0,0.00022993866311500714,0.0
flame,0.06517280577654,0.0,0.0,0.0,0.0,0.0,0.08069177036684197,0.0,0.0,0.01620717512704244,0.0
heat,0.01069647152091521,0.0,0.0,0.0,0.010404042658599573,0.0,0.0,0.0,0.010462437795631642,0.0035069946639051585,0.0
chutney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pot,0.0016872456945674756,0.001810877524105051,0.0,0.0,0.0014490407349544928,0.0,0.0,0.0,0.0016937513758638265,0.0007378794810545384,0.0003689397405272692
seasoning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kettle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jungle,0.005131684083177091,0.0,0.0,0.0,0.004819722774400227,0.0,0.0,0.0,0.0,0.0011057118730641465,0.0
tandoor,0.12913361986757696,0.0,0.0,0.0,0.12943564051817577,0.0,0.0,0.0,0.0,0.028729917820639193,0.0
spiciness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flatbread,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firebox,0.040041913229087664,0.0,0.0,0.0,0.03892382179327726,0.0,0.0,0.0,0.0,0.008773970558040547,0.0
outfit,0.0018128208144500045,0.0,0.0,0.0,0.0016602435105013999,0.0,0.0,0.0,0.0,0.0003858960361057116,0.0
water,0.004480357443719883,0.004610001517687878,0.0,0.0043486433113169186,0.004286805795030289,0.0,0.0,0.0,0.0,0.001969534229750552,0.000984767114875276
stove,0.28063321766021715,0.0,0.0,0.0,0.28387666725299293,0.0,0.0,0.0,0.0,0.06272332054591223,0.0
quesadilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ingredient,0.0007708728389966548,0.0,0.0,0.0007466832405871126,0.000737719637168744,0.0,0.0,0.0,0.0,0.00025058619075027903,0.0
geyser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roast,0.0021309024868566588,0.0,0.0,0.0023733105083222376,0.0,0.0,0.0,0.0,0.0,0.0005004681105754329,0.0
enchiladas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tub,0.005426661646090527,0.0,0.0,0.0,0.005267631071627195,0.0,0.0,0.0,0.004585985395374669,0.0016978086792324878,0.0
shower,0.007586372180365842,0.0,0.0,0.0,0.007480471904503513,0.0,0.0,0.0,0.0,0.001674093787207706,0.0
dough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hearth,0.03281894355430024,0.0,0.0,0.0,0.03043216927377964,0.0,0.0,0.0,0.0,0.007027901425342209,0.0
marinade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
summertime,0.015297065813869441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013513203152277165,0.0032011409962385117,0.0
dessert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cooker,0.00744558288607633,0.0,0.0,0.0,0.007517230342140528,0.0,0.0,0.0,0.0,0.0016625348031352066,0.0
pudding,0.0009219898435453157,0.0,0.0,0.0009864001779461033,0.0,0.0,0.0,0.0,0.0,0.0002120433357212688,0.0
furnace,0.07016409532464418,0.0,0.0,0.0,0.06970714902361076,0.0,0.0,0.0,0.0,0.015541249372028325,0.0
steam,0.004915623956406237,0.004939376356916127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001095000034813596,0.0
bulb,0.01289183583433959,0.0,0.0,0.0,0.012526357502150434,0.0,0.0,0.0,0.0,0.002824243704054447,0.0
drink,0.0005782950003138349,0.0006216022669512488,0.0,0.0006080651672601454,0.0,0.0,0.0,0.0,0.0005261211713463458,0.0002593426228746194,0.0001296713114373097
lightning,0.006093371405967699,0.0,0.0,0.0,0.0,0.0,0.007337434123544737,0.0,0.0,0.0014923117255013817,0.0
mug,0.0014400514312654454,0.0,0.0,0.0,0.001533916902214575,0.0,0.0,0.0,0.001706148637339825,0.0005200129967577606,0.0
meat,0.0027532758791293187,0.0,0.0,0.00296252500982299,0.002656068986496666,0.0,0.0,0.0,0.0,0.0009302077639387749,0.0
coal,0.1341190832120126,0.0,0.0,0.0,0.0,0.0,0.14854966036529355,0.0,0.0,0.03140763817525624,0.0
sauna,0.0035687478297364967,0.0,0.0,0.0,0.003421843828066062,0.0,0.0,0.0,0.0,0.0007767324064225065,0.0
bathroom,0.0015996237947129863,0.0,0.0,0.0,0.0015832646915861733,0.0,0.0,0.0,0.0,0.0003536542762554622,0.0
bottle,0.0037055226185747766,0.0,0.0,0.0,0.0035641578851089662,0.0,0.0,0.0,0.003282897177689435,0.0011725086312636863,0.0
burner,0.009678143200411573,0.0,0.0,0.0,0.009456723428341201,0.0,0.0,0.0,0.0,0.002126096292083641,0.0
boiler,0.01598552333732458,0.0,0.0,0.0,0.015385532078018337,0.0,0.0,0.0,0.0,0.0034856728239269904,0.0
can,0.002900212731608341,0.0,0.0,0.0,0.00284540944287853,0.0,0.0,0.002942921462693312,0.0025598406390199982,0.0012498204751333535,0.0006249102375666767
sauce,0.0003333301457379905,0.0,0.0,0.00040735259887303643,0.0,0.0,0.0,0.0,0.0,8.229808273455855e-05,0.0
butter,0.0006497241650255749,0.0,0.0,0.0008230612191197246,0.0006417139067600217,0.0,0.0,0.0,0.0,0.0002349443656561468,0.0
fireplace,0.21319846778999105,0.0,0.0,0.0,0.2024209403553821,0.0,0.0,0.0,0.0,0.04617993423837479,0.0
puree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile,0.0014716244484683425,0.0,0.0,0.0,0.0015098033972785294,0.0,0.0,0.0,0.0,0.00033126976063854133,0.0
coffee,0.0018277411141156598,0.001990188112232757,0.0018102558102955604,0.0019522666895118185,0.0017782349138153973,0.0016590211760166313,0.0,0.0,0.0,0.0012241897573319804,0.0017186280449160143
heater,0.021561191006943783,0.0,0.0,0.0,0.02022590543838091,0.0,0.0,0.0,0.0,0.004643010716147188,0.0
tortilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kerosene,0.0246170950509862,0.02422457763655971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005426852520838434,0.0
fondue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cake,0.0005531390003764952,0.0,0.0,0.0006078585029711721,0.0005472333331354802,0.0,0.0,0.0,0.0,0.00018980342627590528,0.0
toaster,0.010774583567410624,0.0,0.0,0.0,0.011232454836346434,0.0,0.0,0.0,0.0,0.00244522648930634,0.0
kiln,0.012772385592940024,0.0,0.0,0.0,0.012752228430626721,0.0,0.0,0.0,0.0,0.0028360682248407495,0.0
custard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chimney,0.02839974517825676,0.0,0.0,0.0,0.02701397927550116,0.0,0.0,0.0,0.0,0.0061570804948619905,0.0
popcorn,0.005319256680273671,0.0,0.0,0.005550148774626852,0.005178065049947512,0.0049529313246546875,0.0,0.0,0.0,0.0023333779810558574,0.0011666889905279287
lava,0.012108109115814994,0.012763971893947141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002763564556640237,0.0
griddle,0.004314512206255709,0.0,0.0,0.0,0.004192441527793383,0.0,0.0,0.0,0.0,0.0009452170815610102,0.0
fume,0.002581014313293383,0.0,0.0,0.0,0.0,0.0,0.0031133269168675303,0.0,0.0,0.0006327045811289904,0.0
fire,0.01946801301973171,0.01996729102004838,0.0,0.0,0.015851391973905442,0.0,0.0,0.02408330377513814,0.0,0.008818888865424852,0.004409444432712426
atmosphere,0.0218539882434934,0.0,0.0,0.0,0.020373047514013573,0.0,0.0,0.0,0.022033287151418904,0.007140035878769542,0.0
bath,0.001123831726631306,0.0,0.0,0.0,0.0010926297746608415,0.0,0.0,0.0,0.001074962528776435,0.00036571378111873137,0.0
heating,0.003780810391140763,0.0,0.0,0.0,0.003974906986057964,0.0,0.0,0.0,0.0,0.000861746375244303,0.0
bathtub,0.004584922333306345,0.0,0.0,0.0,0.00438759576956138,0.0,0.0,0.0,0.0,0.0009969464558741918,0.0
noodle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
campfire,0.08968224675987777,0.0,0.0,0.0,0.0,0.0,0.08605389745522687,0.0,0.0,0.019526238246122738,0.0
wok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skillet,0.0011180049597824737,0.0,0.0,0.0,0.0010995805273837464,0.0,0.0,0.0,0.0,0.0002463983874629133,0.0
soot,0.03827362033575224,0.03835456426658268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008514242733592768,0.0
space,0.000424177977241667,0.0,0.0,0.0,0.0004193169999090784,0.0,0.0,0.0005425749215281166,0.00045647346082807616,0.00020472703994521536,0.00010236351997260768
bread,0.0014843143168493794,0.0,0.0,0.0017859677263736694,0.0,0.0,0.0,0.0,0.0012719861949246041,0.0005046964709052948,0.0
barbecue,0.006605133081742467,0.0,0.0,0.007590010563416468,0.006220105165089353,0.0,0.0,0.0,0.0,0.0022683609789164766,0.0
jar,0.0006011056601509173,0.0,0.0,0.0,0.0006480978644495779,0.0,0.0,0.0,0.0005962231801398862,0.00020504741163782016,0.0
lemonade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vinyl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cream,0.00021936480670872114,0.0,0.0,0.0002961212536532302,0.0001925309584471665,0.0,0.0,0.0,0.0,7.866855764545753e-05,0.0
pomade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
countertop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boot,0.0004840502590392898,0.0,0.0,0.0,0.0004623426579004393,0.0,0.0,0.0,0.0,0.0001051547685488588,0.0
