,food,fish,communication,plant,fruit,no-cat,all,mammal,relation,juicy,object,vegetable,measure,animal,mean
gooseberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guava,0.2527359069626043,0.0,0.0,0.23357759798363,0.2863022359073289,0.0,0.26545741151267727,0.0,0.0,0.0,0.26658011523335434,0.0,0.0,0.0,0.09318951911425678
elderberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
veg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scallop,0.0074852962620463445,0.0,0.0,0.0,0.0,0.0,0.007955667866827828,0.0,0.0,0.0,0.007946025560601498,0.0,0.006838554807627509,0.0,0.0021589674640787987
strawberry,0.00958638464944796,0.0,0.0,0.007039423305608131,0.014209863847531558,0.0,0.01014947984615573,0.0,0.0,0.0,0.009314334237423177,0.0,0.0,0.0,0.0035928204204404685
cucumber,0.02679567728314957,0.0,0.0,0.025069392698043987,0.0,0.0,0.02704499174055439,0.0,0.0,0.0,0.027166050471656815,0.025967621656766006,0.0,0.0,0.009431695275012197
lemon,0.008635449159938195,0.0,0.0,0.008421992929206189,0.008747876361218446,0.0,0.00869202706476572,0.0,0.0,0.0,0.008555362794801798,0.0,0.0,0.0,0.0030751934507093105
pork,0.0025011403251745325,0.0,0.0,0.0,0.0,0.0,0.002492269011256375,0.0,0.0,0.0,0.0,0.0,0.0026869039613896407,0.0,0.000548593806987182
bacon,0.004736919734178579,0.0,0.0,0.0,0.0,0.0,0.004854137321216766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006850755039568104
citron,0.007623052800631959,0.0,0.0,0.00623461867528049,0.010251170046878413,0.0,0.0077202160063360266,0.0,0.0,0.0,0.008009385691338515,0.0,0.0,0.0,0.0028456030871761005
tamarind,0.025184501412075313,0.0,0.0,0.02289350288477878,0.028368228644104477,0.0,0.026065843701312798,0.0,0.0,0.0,0.025899366595547684,0.0,0.0,0.0,0.009172245945558502
burger,0.0006364383916701199,0.0,0.0,0.0,0.0,0.0,0.0006318813058440826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.059426410815733e-05
pie,0.006101530082717566,0.0,0.0,0.0,0.0,0.0,0.006299955874127976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008858204254889674
berry,0.000884027447827897,0.0,0.0,0.0,0.0015358493140241389,0.0,0.0009683257650511805,0.0,0.0,0.0,0.0010130906894249836,0.0,0.0,0.0,0.0003143780868805857
shallot,0.00662786760058038,0.0,0.0,0.006444233338781829,0.0,0.0,0.006511148243886395,0.0,0.0,0.0,0.006522853027412784,0.006773716520258166,0.0,0.0,0.0023485584807799685
currant,0.007355248856713048,0.0,0.0,0.006703627784796695,0.007939921071927897,0.0,0.0073763972264853685,0.0,0.0,0.0,0.0074814377169654675,0.0,0.0,0.0,0.002632616618349177
ham,0.005147980558820183,0.0,0.0,0.0,0.0,0.0,0.005310291724774371,0.0,0.0,0.0,0.005204447465393664,0.0,0.0,0.0,0.0011187656963563013
juice,0.06386346602802453,0.0,0.0,0.0,0.0,0.0,0.06587394238176501,0.0,0.09384454684088554,0.0,0.0,0.0,0.0,0.0,0.015970139660762505
morello,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sorbet,0.12171509245411441,0.0,0.0,0.0,0.0,0.0,0.1258660357378748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017684366299427802
sardine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
okra,0.008544807517976512,0.0,0.0,0.00783676217565565,0.0088952392265497,0.0,0.008565108402637467,0.0,0.0,0.0,0.008563123121178615,0.008051560319228284,0.0,0.0,0.0036040429116590165
pumpkin,0.0013271800494261893,0.0,0.0,0.0012458194162755026,0.0,0.0,0.001368331488248853,0.0,0.0,0.0,0.0013920804444516517,0.0011662736664030506,0.0,0.0,0.0004642632189146605
date,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cayenne,0.0007721412492682069,0.0,0.0,0.0006750444533961644,0.0,0.0,0.0008064890688375977,0.0,0.0,0.0,0.0008012254364545019,0.000666025550444168,0.0,0.0,0.00026578041131433136
wintergreen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomegranate,0.024632876488702344,0.0,0.0,0.02423611672107545,0.02761264960457546,0.0,0.025507105824805937,0.0,0.0,0.0,0.025427256092291708,0.0,0.0,0.0,0.009101143195103635
blackberry,0.001259778728724715,0.0,0.0,0.0009725455714811952,0.0016011227790864706,0.0,0.0012926586042042118,0.0,0.0,0.0,0.001302278297838207,0.0,0.0,0.0,0.00045917028438105707
olive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chutney,0.08515312752094158,0.0,0.0,0.0,0.0,0.0,0.09051125498288758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012547455893130654
apple,0.0027225227744257824,0.0,0.0,0.0021205383306124276,0.003669665354278323,0.0,0.002803413784375208,0.0,0.0,0.0,0.0028793297676318664,0.0,0.0,0.0,0.001013962143665972
watermelon,0.11572824320328477,0.0,0.0,0.10449309459654638,0.1183640887106434,0.0,0.11682337469211752,0.0,0.0,0.0,0.11560909620606363,0.0,0.0,0.0,0.040786992672046836
mandarin,0.004874012795046626,0.0,0.0,0.004348362184763949,0.006458010473790839,0.0,0.005125700841510748,0.0,0.0,0.0,0.005118265930631454,0.0,0.0,0.0,0.0018517394446959726
cherry,0.00625961879197496,0.0,0.0,0.005740261524711857,0.007225077113248403,0.0,0.006478463255352613,0.0,0.009784520271867119,0.0,0.006488093520605951,0.0,0.0,0.0,0.002998288176982921
orange,0.01619774548664956,0.0,0.0,0.014181751282385018,0.01893153983185657,0.0,0.01657198800596783,0.0,0.02573925397402863,0.0,0.016463780767976628,0.0,0.0,0.0,0.007720432810633159
kumquat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
salad,0.011819560652710734,0.0,0.0,0.0,0.0,0.0,0.011969814620599236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016992410909507122
crab,0.0011561536181331471,0.0,0.0,0.0,0.0,0.0,0.0011626545292101136,0.0,0.0,0.0,0.0011453043390103521,0.0,0.0,0.0,0.0002474366061681152
cranberry,0.027257859904841013,0.0,0.0,0.026227041136274946,0.029899324449253382,0.0,0.027833862606657732,0.0,0.0,0.0,0.027834355866208693,0.0,0.0,0.0,0.009932317425945412
mangosteen,0.04273832206766654,0.0,0.0,0.031440872265411354,0.04522689053839791,0.0,0.044682336439087686,0.0,0.0,0.0,0.044418197997056465,0.0,0.0,0.0,0.014893329950544282
melon,0.07243339308779924,0.0,0.0,0.061932769650536526,0.08477791031600838,0.0,0.07359903242081817,0.0,0.0,0.0,0.07342314792231258,0.0,0.0,0.0,0.02615473238553392
pear,0.012001364672877577,0.0,0.0,0.011200824400385475,0.015535921369331683,0.0,0.012944181544106028,0.0,0.0,0.0,0.013249552726832594,0.0,0.0,0.0,0.004637988908109526
doughnut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nectarine,0.0575170860861061,0.0,0.0,0.05312045044897017,0.07100278822708898,0.0,0.06091014627033391,0.0,0.0,0.0,0.06129369691779503,0.0,0.0,0.0,0.021703154853592442
lobster,0.00691079193568634,0.0,0.0,0.0,0.0,0.0,0.006989200352187205,0.0,0.0,0.0,0.0069715166751060835,0.0,0.0,0.006919704059290103,0.001985086644447838
ginger,0.01714181293281489,0.0,0.0,0.015418817994441137,0.0,0.0,0.017505422724954183,0.0,0.0,0.0,0.017451895790293697,0.0,0.0,0.0,0.004822710674464566
steak,0.0029937351778464897,0.0,0.0,0.0,0.0,0.0,0.003002851905817279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004283276488331263
mango,0.22739596993155015,0.0,0.0,0.21456628292664037,0.2637663219272243,0.0,0.23769827007996466,0.0,0.0,0.0,0.2387239394858848,0.0,0.0,0.0,0.08443934173937603
cantaloupe,0.047638135327416196,0.0,0.0,0.04478718588082997,0.06067674688384396,0.0,0.05111785109794565,0.0,0.0,0.0,0.05113193711926078,0.0,0.0,0.0,0.0182394183078069
anjou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blueberry,0.02138889167056053,0.0,0.0,0.01941131592037905,0.02556081059906451,0.0,0.022129529883362673,0.0,0.0,0.0,0.022296532118448797,0.0,0.0,0.0,0.007913362870843968
chicken,0.005122082853822319,0.0,0.0,0.0,0.0,0.0046176122182301285,0.005115960492635045,0.0,0.0,0.0,0.00512335707018391,0.0,0.0,0.004622539794341619,0.0017572537449437873
pineapple,0.09644592647970872,0.0,0.0,0.08789169004385856,0.10386172191471806,0.0,0.09821742273209624,0.0,0.0,0.0,0.09723368795147902,0.0,0.0,0.0,0.03454646065156147
beet,0.0020841094264368405,0.0,0.0,0.0020066278488016847,0.0,0.0,0.002245754086425258,0.0,0.0,0.0,0.0022242142733151704,0.001861794146415446,0.0,0.0,0.0007444642700995999
coconut,0.09264660713113905,0.0,0.0,0.08683415282969233,0.11190115245315775,0.0,0.09753009465362507,0.0,0.0,0.0,0.09868592467765706,0.0,0.0,0.0,0.03482842369609081
