,all,relation,juicy,mammal,no-cat,animal,food,plant,object,fruit,communication,vegetable,fish,measure,mean,median
gooseberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guava,0.21988735025607778,0.0,0.0,0.0,0.0,0.0,0.2085635425843777,0.19727594426845013,0.2262441664075381,0.23951573321992484,0.0,0.0,0.0,0.0,0.07796333833831204,0.0
elderberry,0.08130539722726418,0.0,0.0,0.0,0.0,0.0,0.07938294950331773,0.06258635006774114,0.08369718846174985,0.08833675321732969,0.0,0.0,0.0,0.0,0.028236331319814473,0.0
veg,0.007337889708080304,0.0,0.0,0.0,0.0,0.0,0.007417239140688062,0.0,0.0,0.0,0.0,0.00826019846042294,0.0,0.0,0.0016439519506565219,0.0
scallop,0.01317989742147886,0.0,0.0,0.0,0.0,0.014922269562711383,0.012354080783123396,0.0,0.013487442059491947,0.0,0.0,0.0,0.0,0.012065929275754521,0.004714972793040007,0.0
strawberry,0.008235582715879127,0.0,0.0,0.0,0.0,0.0,0.007749460257604283,0.00582405116722379,0.007743666025504769,0.011645131064801924,0.0,0.0,0.0,0.0,0.002942706516500992,0.0
cucumber,0.04060413462172171,0.0,0.0,0.0,0.0,0.0,0.040078753047816135,0.03837644765156504,0.04178824738737183,0.0,0.0,0.04148912832049527,0.0,0.0,0.014452622216355,0.0
lemon,0.8376711164572054,0.0,0.0,0.0,0.0,0.0,0.8290934023063902,0.8275702988521048,0.8447635171921081,0.8514497521256484,0.0,0.0,0.0,0.0,0.2993248633523898,0.0
fruit,0.2183438445531508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2229377616338509,0.24722863941659837,0.0,0.0,0.0,0.0,0.049179303257400005,0.0
pork,0.0039700590322400186,0.0,0.0,0.0,0.0,0.0,0.00396922905528165,0.0,0.0,0.0,0.0,0.0,0.0,0.004558429555893186,0.0008926941173867753,0.0
bacon,0.006804508756212228,0.0,0.0,0.0,0.0,0.0,0.006615258225190316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000958554784385896,0.0
