,food,fish,communication,plant,fruit,no-cat,all,mammal,relation,juicy,object,vegetable,measure,animal,mean
gooseberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guava,0.018960322053125245,0.0,0.0,0.019177464248500833,0.021774157565447715,0.0,0.019989759114188887,0.0,0.0,0.0,0.020567651491594376,0.0,0.0,0.0,0.0071763824623469336
elderberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
veg,0.014834478281376124,0.0,0.0,0.0,0.0,0.0,0.014675779416160608,0.0,0.0,0.0,0.0,0.01652039692084588,0.0,0.0,0.0032879039013130437
scallop,0.012354080783123396,0.0,0.0,0.0,0.0,0.0,0.01317989742147886,0.0,0.0,0.0,0.013487442059491947,0.0,0.012065929275754521,0.01843197161597607,0.004965665796844628
strawberry,0.003390388862701874,0.0,0.0,0.002724664136078186,0.005094744840850841,0.0,0.003603067438197118,0.0,0.0,0.0,0.0033878538861583365,0.0,0.0,0.0,0.0013000513688561682
cucumber,0.022112415474657178,0.0,0.0,0.022641046272565336,0.0,0.0,0.022402281170605078,0.0,0.0,0.0,0.023055584765446526,0.02289055355613532,0.0,0.0,0.00807870580281496
lemon,0.04828596726532474,0.0,0.0,0.05153853960226631,0.04958798941692054,0.0,0.04878552886302337,0.0,0.0,0.0,0.049198586582172264,0.0,0.0,0.0,0.017671186552121944
pork,0.013971686274591407,0.0,0.0,0.0,0.0,0.0,0.013974607793484865,0.0,0.0,0.0,0.0,0.0,0.016045672036744014,0.0,0.003142283293201449
bacon,0.004811096891047502,0.0,0.0,0.0,0.0,0.0,0.004948733640881621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006971307522806516
citron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tamarind,0.01039141785559754,0.0,0.0,0.010337962000089192,0.011866196333238672,0.0,0.010795609870167495,0.0,0.0,0.0,0.010990280728109942,0.0,0.0,0.0,0.0038843904848002023
burger,0.001313009370123497,0.0,0.0,0.0,0.0,0.0,0.0013085216308960565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018725221435853952
pie,0.007155176763952743,0.0,0.0,0.0,0.0,0.0,0.007415715524455386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010407780206005807
berry,0.002772175961110086,0.0,0.0,0.0,0.004882491674968773,0.0,0.003047968503513322,0.0,0.0,0.0,0.003267243926387794,0.0,0.0,0.0,0.0009978485761414266
shallot,0.013673675845769296,0.0,0.0,0.014550031882698102,0.0,0.0,0.013483510653500062,0.0,0.0,0.0,0.013839717982097693,0.014927639776807201,0.0,0.0,0.005033898295776597
currant,0.006069722251111508,0.0,0.0,0.0060542809591665496,0.006642407144409103,0.0,0.0061101192516174645,0.0,0.0,0.0,0.0063494294700979495,0.0,0.0,0.0,0.0022304256483144697
ham,0.004522312726383176,0.0,0.0,0.0,0.0,0.0,0.004682480922899798,0.0,0.0,0.0,0.0047019338371397336,0.0,0.0,0.0,0.0009933376776016221
juice,0.03942639832849948,0.0,0.0,0.0,0.0,0.0,0.04082086650931334,0.0,0.04146460216369253,0.0,0.0,0.0,0.0,0.0,0.00869370478582181
morello,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sorbet,0.020781128744746025,0.0,0.0,0.0,0.0,0.0,0.021570846929841916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030251411196134245
sardine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
okra,0.06698805012177281,0.0,0.0,0.06723771585697634,0.07069530043394928,0.0,0.06740030468732923,0.0,0.0,0.0,0.06904073914760175,0.06742605902733531,0.0,0.0,0.029199154948211768
pumpkin,0.01971395663354894,0.0,0.0,0.020252576400081133,0.0,0.0,0.02040183434002664,0.0,0.0,0.0,0.021266032652612,0.018505341118490944,0.0,0.0,0.007152838653197118
date,0.004014510018369337,0.0,0.0,0.0,0.005356941330100378,0.0,0.004185979092562292,0.0,0.0,0.0,0.004294304454760584,0.0,0.004598311108425149,0.0,0.0016035747145869814
cayenne,0.0031859444955467373,0.0,0.0,0.0030482814022402766,0.0,0.0,0.003340210833569473,0.0,0.0,0.0,0.003399964412508513,0.0029355198049537943,0.0,0.0,0.0011364229249156282
wintergreen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomegranate,0.0243931464093261,0.0,0.0,0.02626618267583217,0.027720345229824143,0.0,0.025354077916562946,0.0,0.0,0.0,0.02589586257892839,0.0,0.0,0.0,0.009259258200748124
blackberry,0.003118796031315172,0.0,0.0,0.0026350198688062693,0.004018418806887874,0.0,0.0032122584972611684,0.0,0.0,0.0,0.0033156959325393283,0.0,0.0,0.0,0.0011642992240578438
olive,0.007895760303698105,0.0,0.0,0.007779658185833052,0.00984157812871242,0.0,0.00838183288916106,0.0,0.007762935792644317,0.0,0.008698015504618573,0.0,0.0,0.0,0.0035971272003333947
chutney,0.014054067861860763,0.0,0.0,0.0,0.0,0.0,0.014994706618382668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020749124628745307
apple,0.006079276251722664,0.0,0.0,0.00518212299296312,0.008307008957108328,0.0,0.00628349834955966,0.0,0.0,0.0,0.006612260517525402,0.0,0.0,0.0,0.0023188690763485125
watermelon,0.026045900499227642,0.0,0.0,0.02573764697221853,0.027005849006122337,0.0,0.02639147770289927,0.0,0.0,0.0,0.026759020618733066,0.0,0.0,0.0,0.009424278199942918
mandarin,0.0012066445809224724,0.0,0.0,0.0011781474400390493,0.0016207995465386145,0.0,0.0012737373989552233,0.0,0.0,0.0,0.0013031479950192438,0.0,0.0,0.0,0.00047017692581961454
cherry,0.005509955056446432,0.0,0.0,0.005529846571098599,0.006447339164701286,0.0,0.005724085525516927,0.0,0.006164154979057011,0.0,0.005873479583361336,0.0,0.0,0.0,0.0025177757771558283
orange,0.012940157326757901,0.0,0.0,0.012399269003125178,0.0153323521341663,0.0,0.013289037888081097,0.0,0.014716847246218362,0.0,0.013526727829663772,0.0,0.0,0.0,0.005871742244858043
kumquat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
salad,0.03520875264519313,0.0,0.0,0.0,0.0,0.0,0.03579073966000618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005071392307514236
crab,0.02385212070452594,0.0,0.0,0.0,0.0,0.0,0.0240766515271161,0.0,0.0,0.0,0.024300239464176733,0.0,0.0,0.03405985263239001,0.007592061737729199
cranberry,0.016625866448441738,0.0,0.0,0.017507456732442046,0.018488078140087242,0.0,0.017041191431832598,0.0,0.0,0.0,0.017460307960620838,0.0,0.0,0.0,0.006223064336673176
mangosteen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
melon,0.0232453351355928,0.0,0.0,0.02175197603252702,0.027581478906738763,0.0,0.023708442825669616,0.0,0.0,0.0,0.02423305532895989,0.0,0.0,0.0,0.008608592016392006
pear,0.012951129578992644,0.0,0.0,0.013228427963647676,0.016996202246501155,0.0,0.014021211973098493,0.0,0.0,0.0,0.014704708696216632,0.0,0.0,0.0,0.005135834318461186
