,food,plant,no-cat,vehicle,all,mammal,relation,vegetable,red,bird,object,fruit,measure,animal,weapon,mean
cabbage,0.0051408522724956125,0.005369435640205615,0.0,0.0,0.004897652401684934,0.0,0.0,0.0060578012799203836,0.0,0.0,0.004954365871708926,0.0,0.004438336243017192,0.0,0.0,0.0020572295806021773
strawberry,0.0020587363712398915,0.0022041322289467024,0.0,0.0,0.0022596610315987883,0.0,0.0,0.0,0.0,0.0,0.002161888705903552,0.002622443155996583,0.0,0.0,0.0,0.0007537907662457012
beetroot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
syrup,0.004277071635451086,0.0,0.0,0.0,0.004054872591898007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005554629484899395
berry,0.0016521101417011905,0.0,0.0,0.0,0.002017635045596271,0.0,0.0,0.0,0.0,0.0,0.0019649382870355874,0.001958142702896904,0.0,0.0,0.0,0.0005061884118153302
shallot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
currant,0.014922838433275952,0.01554875471425047,0.0,0.0,0.013623490949311179,0.0,0.0,0.0,0.0,0.0,0.013849462560329324,0.01629646977550234,0.0,0.0,0.0,0.004949401095511285
juice,0.0030097479629273296,0.0,0.0,0.0,0.0028402051216624463,0.0,0.0026432913735507484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005662162972093683
spice,0.005128959787930257,0.0,0.0,0.0,0.005500100342026277,0.0,0.005887951682074452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011011341208020658
radish,0.004326789115865057,0.00490106343299183,0.0,0.0,0.003930750892777258,0.0,0.0,0.005874283683349369,0.0,0.0,0.0041211930119626405,0.0,0.0,0.0,0.0,0.0015436053424630772
jam,0.00016170333980023297,0.0,0.0,0.0,0.00018413147021750087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3055654001182256e-05
rhubarb,0.009030038872083855,0.009765387134887126,0.0,0.0,0.008362510096998482,0.0,0.0,0.010044689464903256,0.0,0.0,0.0085029076926867,0.0,0.0,0.0,0.0,0.003047035550770628
pomegranate,0.00956649327737909,0.0104088189262328,0.0,0.0,0.008776448279988467,0.0,0.0,0.0,0.0,0.0,0.008905118708044404,0.010342369113120963,0.0,0.0,0.0,0.003199949886984382
allspice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blackberry,0.0021810981615392644,0.002195154490726137,0.0,0.0,0.002378752289532314,0.0,0.0,0.0,0.0,0.0,0.002368111146444854,0.0023850079849975087,0.0,0.0,0.0,0.0007672082715493386
chutney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apple,0.0037209681952047914,0.0038815728958280947,0.0,0.0,0.0040468930811394035,0.0,0.0,0.0,0.0,0.0,0.003991601005445695,0.004181738990537637,0.0,0.0,0.0,0.0013215182778770415
pepper,0.0012501097979192043,0.0013155456323171656,0.0,0.0,0.0012100632078396406,0.0,0.0,0.001343093873991359,0.0,0.0,0.0012239418137002518,0.0,0.0,0.0,0.0,0.0004228502883845081
watermelon,0.018670619973341025,0.01945625692572793,0.0,0.0,0.017403404730642544,0.0,0.0,0.0,0.0,0.0,0.017560662380009123,0.019891308289856968,0.0,0.0,0.0,0.006198816819971839
cherry,0.007217856838234629,0.0076174390623096385,0.0,0.0,0.007116950969066914,0.0,0.007237181636350701,0.0,0.0,0.0,0.0072172430846459,0.007954246750433845,0.0,0.0,0.0,0.002957394556069442
heart,0.000571231112748589,0.0,0.0,0.0,0.0006163360651858703,0.0,0.0007250866547348901,0.0,0.0,0.0,0.0006164558993181008,0.0,0.0,0.0,0.0,0.00016860731546583003
crab,0.0022906220960658384,0.0,0.0,0.0,0.00216552995913845,0.0,0.0,0.0,0.0,0.0,0.0021934473840519346,0.0,0.0,0.0018577495766365377,0.0,0.0005671566010595173
lentil,0.0046651558650431186,0.004784145331989071,0.0,0.0,0.004308619515876848,0.0,0.0,0.004935174659647665,0.0,0.0,0.0043296769537026145,0.004687787570246093,0.0,0.0,0.0,0.0018473706597670271
melon,0.006198850906102894,0.0061931639645094,0.0,0.0,0.005802024228605852,0.0,0.0,0.0,0.0,0.0,0.005865739484872569,0.006775341122436656,0.0,0.0,0.0,0.0020556746471018248
nectarine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lobster,0.002874783944985254,0.0,0.0,0.0,0.002840781847600889,0.0,0.0,0.0,0.0,0.0,0.0028580306822339197,0.0,0.0,0.0025290004840868813,0.0,0.0007401731305937963
ginger,0.0017741027096709907,0.0018422546875978794,0.0,0.0,0.0016673789231002685,0.0,0.0,0.0,0.0,0.0,0.0016868392809529856,0.0,0.0,0.0,0.0,0.0004647050400881416
mango,0.017704966837500308,0.01841340926744969,0.0,0.0,0.016329285744730346,0.0,0.0,0.0,0.0,0.0,0.01657589419036713,0.019248170766248573,0.0,0.0,0.0,0.005884781787086403
marinade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beet,0.010156385123106503,0.01095115647944947,0.0,0.0,0.009604844288645404,0.0,0.0,0.010445281570763947,0.0,0.0,0.009646328863765583,0.0,0.0,0.0,0.0,0.0033869330883820603
wine,0.008344748293931552,0.0,0.0,0.0,0.008396361517270455,0.0,0.008788580510952325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017019793548102887
