,food,plant,no-cat,vehicle,all,mammal,relation,vegetable,red,bird,object,fruit,measure,animal,weapon,mean
cabbage,0.0028330426991396646,0.002875255024215762,0.0,0.0,0.0027436493139924587,0.0,0.0,0.0030289006399601918,0.0,0.0,0.0026699186499314666,0.0,0.002857583005823114,0.0,0.0,0.0011338899555375106
strawberry,0.001570897635451583,0.0016342350756495428,0.0,0.0,0.00175272221108086,0.0,0.0,0.0,0.0,0.0,0.0016131414073007233,0.0020725976336445286,0.0,0.0,0.0,0.0005762395975418158
beetroot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
syrup,0.0021757170442503575,0.0,0.0,0.0,0.002096793916001392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028483406401678333
berry,0.0023175138559762675,0.0,0.0,0.0,0.0028770578883749146,0.0,0.0,0.0,0.0,0.0,0.002695406149249181,0.0028450470090891373,0.0,0.0,0.0,0.0007156683268459667
shallot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
currant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
juice,0.0010615197998344306,0.0,0.0,0.0,0.0010182872863370945,0.0,0.0009468996478536755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020178044893501336
spice,0.006124059366204336,0.0,0.0,0.0,0.006675800594664543,0.0,0.007140609473626812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013293646289663794
radish,0.00953770127260853,0.010497793961206906,0.0,0.0,0.008807976643449301,0.0,0.0,0.011748567366698739,0.0,0.0,0.00888367986340169,0.0,0.0,0.0,0.0,0.003298381273824344
jam,0.00017822432622642198,0.0,0.0,0.0,0.00020629972914078934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5634937024480755e-05
rhubarb,0.004976312164497502,0.005229223386672527,0.0,0.0,0.0046846515859295295,0.0,0.0,0.005022344732451628,0.0,0.0,0.004582235631200821,0.0,0.0,0.0,0.0,0.0016329845000501338
pomegranate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allspice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blackberry,0.0006009844180618819,0.0005877367195845952,0.0,0.0,0.0006662847372639218,0.0,0.0,0.0,0.0,0.0,0.0006380901490449276,0.0006806746922885507,0.0,0.0,0.0,0.0002115847144162585
chutney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apple,0.0019746200286127713,0.0020015436249778557,0.0,0.0,0.0021830915848072424,0.0,0.0,0.0,0.0,0.0,0.002071412824871691,0.0022985093141553157,0.0,0.0,0.0,0.0007019451584949917
pepper,0.00041334948935212607,0.0004226733804851252,0.0,0.0,0.0004067241385609038,0.0,0.0,0.0004029281621974077,0.0,0.0,0.0003957509589862485,0.0,0.0,0.0,0.0,0.0001360950753054541
watermelon,0.01175895375211393,0.011906907216893229,0.0,0.0,0.011142093752960044,0.0,0.0,0.0,0.0,0.0,0.010815405173103297,0.01297582731997602,0.0,0.0,0.0,0.0039066124810031005
cherry,0.007487335895516522,0.007678170919096963,0.0,0.0,0.007504740367073728,0.0,0.007625168970470111,0.0,0.0,0.0,0.007321201223755808,0.008546334326538159,0.0,0.0,0.0,0.0030775301134967534
heart,0.0011332672817204966,0.0,0.0,0.0,0.0012429702195025855,0.0,0.0014610711157587429,0.0,0.0,0.0,0.001195953977208999,0.0,0.0,0.0,0.0,0.0003355508396127216
crab,0.0012623257510173587,0.0,0.0,0.0,0.0012131230025177557,0.0,0.0,0.0,0.0,0.0,0.0011820536129084078,0.0,0.0,0.001136395441023182,0.0,0.000319593187164447
lentil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
melon,0.004554785438087127,0.00442179948333534,0.0,0.0,0.004333700717267609,0.0,0.0,0.0,0.0,0.0,0.004214746522383539,0.005156436386711555,0.0,0.0,0.0,0.0015120979031856782
nectarine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lobster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ginger,0.0004888400271729056,0.0004932503526756122,0.0,0.0,0.00046703018745835315,0.0,0.0,0.0,0.0,0.0,0.00045452069672237156,0.0,0.0,0.0,0.0,0.0001269094176019495
mango,0.010643921784758982,0.010756487996157128,0.0,0.0,0.00997921526264367,0.0,0.0,0.0,0.0,0.0,0.009744857221246551,0.011985544973218796,0.0,0.0,0.0,0.0035406684825350088
marinade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beet,0.00447761907131396,0.004691348558531834,0.0,0.0,0.004304482602232921,0.0,0.0,0.004178112628305579,0.0,0.0,0.0041587422493456205,0.0,0.0,0.0,0.0,0.001454020340648661
wine,0.0017945987601346422,0.0,0.0,0.0,0.0018355570903449518,0.0,0.00191970194077919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036999051941725226
grape,0.008836154576464226,0.008875577389724495,0.0,0.0,0.008916545626279809,0.0,0.0,0.0,0.0,0.0,0.008600218434774206,0.00991882234669261,0.0,0.0,0.009799359621985344,0.0036631118663947126
tomato,0.004009376796149064,0.004089342343294522,0.0,0.0,0.003708458571597013,0.0,0.0,0.0039278079740127,0.0,0.0,0.0036219347338977037,0.0,0.0,0.0,0.0,0.0012904613612634002
vegetable,0.0024808199866544266,0.0025279575856533287,0.0,0.0,0.002372140081047428,0.0,0.0,0.002411676493192951,0.0,0.0,0.002322804845671895,0.0,0.0,0.0,0.0,0.0008076932661480019
aubergine,0.08918105450880065,0.08866503917611164,0.0,0.0,0.09529169829096192,0.0,0.0,0.07390703502770739,0.0,0.0,0.09128113997027108,0.0,0.0,0.0,0.0,0.029221731131590177
onion,0.0016725112599621501,0.0017146763706811874,0.0,0.0,0.001547050620075269,0.0,0.0,0.0018032424814909225,0.0,0.0,0.0015069715793442386,0.0,0.0,0.0,0.0,0.0005496301541035846
sauce,0.0010510625724950231,0.0,0.0,0.0,0.0009576992505562193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013391745487008284
raspberry,0.03934264347209554,0.040573956472458525,0.02833157917679473,0.0,0.03714400133233598,0.0,0.0,0.0,0.0,0.0,0.03631701771217907,0.04517012529075467,0.0,0.0,0.0,0.015125288230441234
cake,0.002777687642704594,0.0,0.0,0.0,0.0027089932762254026,0.0,0.0,0.0,0.0,0.0,0.002595867276295526,0.0,0.0,0.0,0.0,0.0005388365463483682
tongue,0.0004896248825573196,0.0,0.0006425345840150238,0.0,0.0005667782726534911,0.0,0.0,0.0,0.0,0.0,0.0005507291872351595,0.0,0.0,0.0,0.0,0.0001499777950973996
