,food,plant,all,relation,bird,object,fruit,measure,animal,round,mean
egg,0.0016557796388882516,0.0,0.0015069530638103282,0.0,0.0,0.001421225689963071,0.0,0.0,0.0,0.0,0.00045839583926616503
fondant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabbage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemon,0.00020181926724344057,0.00015255056924742095,0.00017580804727034108,0.0,0.0,0.00016121553145787443,0.000129622702532162,0.0,0.0,0.0,8.21016117751239e-05
pizza,0.0019976383049747767,0.0,0.0018525740200632682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038502123250380444
pastry,0.022630954291624695,0.0,0.019564166541646458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004219512083327115
pie,0.006916989219844042,0.0,0.006060520528887195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001297750974873124
berry,0.0011157076146824918,0.0,0.00106078894854938,0.0,0.0,0.0011226114132765815,0.0011345971173413443,0.0,0.0,0.0,0.00044337050938497973
vinaigrette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pasta,0.000712509973622221,0.0,0.0006436982035275132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001356208177149734
pumpkin,0.0028849225671620693,0.0023267575677532195,0.002688264014357962,0.0,0.0,0.0024323885495153136,0.0,0.0,0.0,0.0,0.0010332332698788564
chocolate,0.0010657705921243682,0.0,0.000983273515510187,0.0007415840155598658,0.0,0.0,0.0,0.0,0.0,0.0,0.00027906281231944213
table,0.0024229996231208595,0.0,0.0025991078715348836,0.0,0.0,0.0027391152833765183,0.0,0.0,0.0,0.0,0.0007761222778032261
pilaf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheese,0.002023126003525441,0.0015417710256042559,0.0017750447562537885,0.0,0.0,0.0015853069069583859,0.0,0.0,0.0,0.0,0.0006925248692341872
pancake,0.006830853906321825,0.0,0.006532968187396357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013363822093718184
snack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apple,0.0015104936886792763,0.001578170421732772,0.001582738762607461,0.0,0.0,0.00167278486138484,0.0013785042405714504,0.0,0.0,0.0,0.00077226919749758
tart,0.003208339643430689,0.0,0.0031478286285311933,0.0,0.0,0.0030392050391140476,0.0,0.0,0.0,0.0,0.0009395373311075931
watermelon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cherry,0.002154908229647701,0.0020654026005992383,0.0021666046963148377,0.0018193798638998823,0.0,0.0022111993083217965,0.0018305240108743906,0.0,0.0,0.0,0.0012248018709657845
orange,0.002029203216331802,0.0016668878698892313,0.0019408225863563242,0.0016544700646151016,0.0,0.00190161168935315,0.001578102971610288,0.0,0.0,0.0,0.0010771098398155896
marzipan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
