,food,plant,all,relation,bird,object,fruit,measure,animal,round,mean
egg,0.0012206434948819082,0.0,0.00133881293297876,0.0,0.0,0.001421225689963071,0.0,0.0,0.0,0.0,0.000398068211782374
fondant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabbage,0.0066395895615156434,0.006944954382410365,0.007541798489692531,0.0,0.0,0.008019662950707883,0.0,0.008587528789149755,0.0,0.0,0.0037733534173476175
lemon,0.009522015897929864,0.00976323643183494,0.009996291162497374,0.0,0.0,0.010317794013303964,0.008295852962058368,0.0,0.0,0.0,0.0047895190467624514
pizza,0.00021038032432621565,0.0,0.00023512440120064413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.455047255268598e-05
pastry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pie,0.0013597909121191932,0.0,0.0014358161439819875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027956070561011806
berry,0.004112507516298512,0.0,0.004712150622289066,0.0,0.0,0.005613057066382908,0.005672985586706722,0.0,0.0,0.0,0.0020110700791677203
vinaigrette,0.10166790359495176,0.0,0.11181819113105128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021348609472600304
pasta,0.0021010541352577687,0.0,0.00228750715735974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043885612926175093
pumpkin,0.0007089232331279759,0.0007755858559177399,0.0007961058898949303,0.0,0.0,0.0008107961831717713,0.0,0.0,0.0,0.0,0.0003091411162112418
chocolate,0.007333086576106433,0.0,0.008153259992711177,0.0069214508118920805,0.0,0.0,0.0,0.0,0.0,0.0,0.002240779738070969
table,0.0007655311453805464,0.0,0.0009896182425083069,0.0,0.0,0.0011739065500185077,0.0,0.0,0.0,0.0,0.0002929055937907361
pilaf,0.01031264850789565,0.0,0.011354174369847808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021666822877743457
cheese,0.0012783872947806445,0.0013215180219465048,0.0013517074002935504,0.0,0.0,0.0013588344916786164,0.0,0.0,0.0,0.0,0.0005310447208699316
pancake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snack,0.0029129072030347537,0.0,0.0032852550063844823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006198162209419235
apple,0.00715846147405935,0.01014538128256782,0.00903948910560067,0.0,0.0,0.0107536169660454,0.008861812975102181,0.0,0.0,0.0,0.004595876180337543
tart,0.05439944599654756,0.0,0.06432193340150522,0.0,0.0,0.0699017158996231,0.0,0.0,0.0,0.0,0.018862309529767588
watermelon,0.0275588441205493,0.02929801169808475,0.0290374970050634,0.0,0.0,0.031056603839272102,0.02719283912289569,0.0,0.0,0.0,0.014414379578586522
