,all,relation,no-cat,square,food,object,plant,communication,measure,mean,median
suite,0.008067390320289174,0.0,0.0,0.0,0.0,0.008594875120350967,0.0,0.010216554285261834,0.0,0.0029865355251002196,0.0
blackboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
countertop,0.021736204582104887,0.0,0.0,0.0,0.0,0.023545025136605415,0.0,0.0,0.0,0.005031247746523367,0.0
kitchenette,0.011737604709940485,0.0,0.0,0.0,0.0,0.01272762113941293,0.0,0.0,0.0,0.002718358427705935,0.0
diskette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toilet,0.006178995966916941,0.0,0.0,0.0,0.0,0.006541241385639631,0.0,0.0,0.0,0.0014133597058396193,0.0
marble,0.026184899072957468,0.034976044350858874,0.0,0.0,0.0,0.028014721753276076,0.0,0.0,0.0,0.009908407241899156,0.0
washroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hardware,0.00029294947030625307,0.0,0.0,0.0,0.0,0.0003137567924259991,0.0,0.0,0.0,6.741180697025025e-05,0.0
dresser,0.013264750493959745,0.0,0.0,0.0,0.0,0.01381860619247671,0.0,0.0,0.0,0.003009261854048495,0.0
kitchen,0.259066754925542,0.0,0.0,0.0,0.0,0.27268036547832236,0.0,0.0,0.0,0.05908301337820716,0.0
page,0.0024896023015049565,0.002760860278473165,0.0,0.0,0.0,0.002647297623059079,0.0,0.0,0.0,0.000877528911448578,0.0
computer,0.003007916963211104,0.0,0.0,0.0,0.0,0.003162747922075862,0.0,0.0,0.0,0.0006856294316985518,0.0
button,0.00022947071344831885,0.0,0.0,0.0,0.0,0.0002453856166886036,0.0,0.0,0.0,5.276181445965805e-05,0.0
bookshelf,0.08096278030134128,0.0,0.0,0.0,0.0,0.08582710906248692,0.0,0.0,0.0,0.018532209929314244,0.0
armoire,0.16082762207077062,0.0,0.0,0.0,0.0,0.17084947039303142,0.0,0.0,0.0,0.03685301027375579,0.0
foyer,0.0310324074559657,0.0,0.0,0.0,0.0,0.033312373009020284,0.0,0.0,0.0,0.00714942005166511,0.0
box,0.005576452011458781,0.0,0.0,0.0,0.0,0.005880423655469786,0.006486234981149388,0.0,0.005527994900873922,0.0026079006165502083,0.0013039503082751041
tray,0.18462273819866964,0.0,0.0,0.0,0.0,0.1925547682284725,0.0,0.0,0.0,0.041908611825238015,0.0
dumbwaiter,0.03999440204801027,0.0,0.0,0.0,0.0,0.043283322379932154,0.0,0.0,0.0,0.009253080491993602,0.0
shelf,0.0058554989245525844,0.0,0.0,0.0,0.0,0.00613264430164574,0.0,0.0,0.0,0.001332015914022036,0.0
lavatory,0.011470134197260987,0.0,0.0,0.0,0.0,0.012150792393623074,0.0,0.0,0.0,0.0026245473989871177,0.0
classroom,0.005798398011655219,0.0,0.0,0.0,0.0,0.006098387737209346,0.0,0.0,0.0,0.0013218650832071738,0.0
armrest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
table,0.042823787268432494,0.0,0.0,0.0,0.043092632507716354,0.04633269700604679,0.0,0.0,0.0,0.014694346309132848,0.0
bookmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
window,0.01434644132427074,0.0,0.0,0.0,0.0,0.015006218737684065,0.0,0.0,0.013960471952115347,0.004812570223785572,0.0
console,0.008870232969174906,0.0,0.0,0.0,0.0,0.009224093360252004,0.0,0.0,0.0,0.0020104807032696567,0.0
snack,0.013532009355443544,0.0,0.0,0.0,0.01595791487224091,0.0,0.0,0.0,0.0,0.003276658247520495,0.0
screen,0.00661097481464532,0.0,0.0,0.0,0.0,0.0069976903519553876,0.0,0.0,0.0,0.0015120739074000787,0.0
rack,0.002506932803610355,0.0,0.0,0.0,0.0032434305380355734,0.0025885373932754935,0.0,0.0,0.0,0.0009265445261023803,0.0
folder,0.004051532575149619,0.0,0.0,0.0,0.0,0.0042560741429810344,0.0,0.0,0.0,0.0009230674131256283,0.0
mainframe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tart,0.002676743787435835,0.0,0.0033623411129794782,0.0,0.0035501668151843094,0.002828797049379068,0.0,0.0,0.0,0.0013797831961087435,0.0006898915980543717
notebook,0.005425447644123727,0.0,0.0,0.0,0.0,0.005735603221492694,0.0,0.0,0.0,0.001240116762846269,0.0
locker,0.001890371250908601,0.0,0.0,0.0,0.0,0.0019017496788639645,0.0,0.0,0.0,0.00042134676997472955,0.0
macintosh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photocopier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
workstation,0.004126815222840673,0.0,0.0,0.0,0.0,0.004311464695432717,0.0,0.0,0.0,0.0009375866575859321,0.0
floor,0.012658976576972543,0.0,0.0,0.0,0.0,0.013467340065899433,0.0,0.0,0.0,0.0029029240714302192,0.0
phone,0.0015327888952009685,0.0015694262240859504,0.0,0.0,0.0,0.0015965206838805457,0.0,0.0,0.0,0.0005220817559074961,0.0
cafeteria,0.06006136527577558,0.0,0.0,0.0,0.0,0.062030553545590714,0.0,0.0,0.0,0.01356576875792959,0.0
refrigerator,0.007462785676544147,0.0,0.0,0.0,0.0,0.007809234135298965,0.0,0.0,0.0,0.00169689109020479,0.0
workspace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laptop,0.009245325540990695,0.0,0.0,0.0,0.0,0.009825944205250724,0.0,0.0,0.0,0.0021190299718046018,0.0
room,0.029344821706168443,0.03394143704597777,0.0,0.0,0.0,0.03064545532065234,0.0,0.0,0.0,0.01043685711919984,0.0
workroom,0.05753382152986319,0.0,0.0,0.0,0.0,0.06107132774585457,0.0,0.0,0.0,0.013178349919524194,0.0
cubicle,0.004952432476302702,0.0,0.0,0.0,0.0,0.00526124630390412,0.0,0.0,0.0,0.001134853197800758,0.0
restroom,0.009861157178740493,0.0,0.0,0.0,0.0,0.010391238208927338,0.0,0.0,0.0,0.0022502661541853146,0.0
cupboard,0.00660588825314813,0.0,0.0,0.0,0.0,0.007359126617142667,0.0,0.0,0.0,0.0015516683189211997,0.0
couch,0.026006064786977628,0.02921865643270817,0.0,0.0,0.0,0.026573827265462632,0.0,0.0,0.0,0.009088727609460938,0.0
footrest,0.09179257545677996,0.0,0.0,0.0,0.0,0.09741466352704824,0.0,0.0,0.0,0.02102302655375869,0.0
cabinet,0.004603301960233403,0.0,0.0,0.0,0.0,0.00491188729418692,0.0,0.0,0.0,0.001057243250491147,0.0
file,0.0006370054584018278,0.0,0.0007565178134402593,0.0,0.0,0.0006735417561519983,0.0,0.0008781042841288165,0.0,0.00032724103468032245,0.00016362051734016122
parlor,0.008165773567350763,0.0,0.0,0.0,0.0,0.008410266327707893,0.0,0.0,0.0,0.001841782210562073,0.0
drawer,0.009269514829234334,0.0,0.0,0.0,0.0,0.00981494738186513,0.0,0.0,0.0,0.0021204958012332738,0.0
bookcase,0.07386810531885622,0.0,0.0,0.0,0.0,0.07781112689941638,0.0,0.0,0.0,0.016853248024252514,0.0
closet,0.00711043793110653,0.0,0.0,0.0,0.0,0.007472660646878537,0.0,0.0,0.0,0.0016203442864427852,0.0
hallway,0.016393168897255245,0.0,0.0,0.0,0.0,0.017431792167187717,0.0,0.0,0.0,0.0037583290071603295,0.0
bathroom,0.008529381084970995,0.0,0.0,0.0,0.0,0.009014075157385684,0.0,0.0,0.0,0.0019492729158174088,0.0
dining,0.2339220509006889,0.0,0.0,0.23426287227361633,0.0,0.0,0.0,0.0,0.0,0.05202054701936725,0.0
stairwell,0.0048030939874249634,0.0,0.0,0.0,0.0,0.00508220159963103,0.0,0.0,0.0,0.0010983661763395549,0.0
luggage,0.0005087422841387111,0.0,0.0,0.0,0.0,0.0005395017025405191,0.0,0.0,0.0,0.00011647155407547002,0.0
sideboard,0.221996531414239,0.0,0.0,0.0,0.0,0.23827875637125417,0.0,0.0,0.0,0.05114169864283258,0.0
typewriter,0.011360115166033823,0.0,0.0,0.0,0.0,0.012028871496070931,0.0,0.0,0.0,0.002598776295789417,0.0
doorbell,0.001703302278370819,0.0,0.0,0.0,0.0,0.0017632666363195085,0.0,0.0,0.0,0.00038517432385448084,0.0
fireplace,0.02411311660500173,0.0,0.0,0.0,0.0,0.025631939779419854,0.0,0.0,0.0,0.005527228487157954,0.0
lounge,0.016755546129246485,0.0,0.0,0.0,0.0,0.017896337139528217,0.0,0.0,0.0,0.0038502092520860784,0.0
cube,0.002255019658442564,0.0,0.0,0.0,0.0,0.002283272917863372,0.003046113371868241,0.0,0.0027277240215391927,0.001145792218857041,0.0005728961094285205
newspaper,0.0015395219935480837,0.0019687408059301174,0.0,0.0,0.0,0.0016327696410898846,0.0,0.0,0.0,0.0005712258267297874,0.0
