,food,communication,plant,fruit,no-cat,all,mammal,relation,bird,tool,object,vegetable,measure,animal,mean
flavoring,0.009940111486280455,0.0,0.0,0.0,0.0,0.010146784980937226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014347783190869772
lemonade,0.014691186102975207,0.0,0.0,0.0,0.0,0.014942136168471017,0.0,0.014405029252390227,0.0,0.0,0.0,0.0,0.0,0.0,0.0031455965374168893
pea,0.0051255334201891385,0.0,0.004486720630817089,0.0055005734091256395,0.0,0.0052587732016727345,0.0,0.0,0.0,0.0,0.005281324786613183,0.0047615816631685825,0.0,0.0,0.0021724647936847406
ketchup,0.0037408278832213,0.0,0.0,0.0,0.0,0.003950226434828785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005493610227178632
strawberry,0.007640765623586693,0.0,0.006480452010952502,0.01204159541194257,0.0,0.008875676219182671,0.0,0.0,0.0,0.0,0.009330127664013504,0.0,0.0,0.0,0.003169186923548424
beetroot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spud,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breadfruit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plum,0.01242712897233435,0.0,0.010698956875787742,0.013048959970700663,0.0,0.012781220346543262,0.0,0.0,0.0,0.0,0.012694084796682995,0.0,0.0,0.0,0.004403596497289215
banana,0.004421091164483517,0.0,0.0039236692819798885,0.00525795274352007,0.0,0.004594559594851442,0.0,0.0,0.0,0.0,0.004704591539877864,0.0,0.0,0.0,0.001635847451765199
tamarind,0.0125341509554992,0.0,0.010957818308256227,0.013342251636422761,0.0,0.012774707318080244,0.0,0.0,0.0,0.0,0.012695262575202232,0.0,0.0,0.0,0.004450299342390047
pie,0.005738367550976242,0.0,0.0,0.0,0.0,0.005908763828456156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008319379556737428
berry,0.002844648797081363,0.0,0.0,0.003969776974422244,0.0,0.0031134914750241332,0.0,0.0,0.0,0.0,0.003140944614879315,0.0,0.0,0.0,0.0009334901329576469
tater,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
currant,0.02997117285589159,0.0,0.026877023731540748,0.029903105212923213,0.0,0.030158285544197395,0.0,0.0,0.0,0.0,0.030077794566521186,0.0,0.0,0.0,0.010499098707933866
juice,0.08638837414509125,0.0,0.0,0.0,0.0,0.08852204578553823,0.0,0.08972916651114037,0.0,0.0,0.0,0.0,0.0,0.0,0.01890282760298356
raisin,0.029818358163834213,0.0,0.0,0.03575333618554473,0.0,0.030444209676189476,0.0,0.0,0.0,0.0,0.03058788761358245,0.0,0.0,0.0,0.009043127974225061
pumpkin,0.0012635456179097195,0.0,0.0011047123804044144,0.0,0.0,0.001306484242133449,0.0,0.0,0.0,0.0,0.0012994823899200815,0.0010783330965727174,0.0,0.0,0.000432325551924313
donut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jam,0.0039233015535250736,0.0,0.0,0.0,0.0,0.004172701333623696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005782859205106264
tea,0.0027094089939121505,0.0,0.002326551642255711,0.0,0.0,0.002831594850170522,0.0,0.0033594754823073974,0.0,0.0,0.002842791643596342,0.0,0.0,0.0,0.001004987329445866
dewberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chocolate,0.0009236169805901195,0.0,0.0,0.0,0.0,0.0009517428252332639,0.0,0.0010752212770117314,0.0,0.0,0.0,0.0,0.0,0.0,0.00021075579163107961
fennel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rhubarb,0.0043889337788924855,0.0,0.0040339974165948195,0.0,0.0,0.004453357047705689,0.0,0.0,0.0,0.0,0.004450023242475285,0.004037308265979403,0.0,0.0,0.001525972839403406
date,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lychee,0.023759400587687534,0.0,0.0,0.026284581793806237,0.0,0.024634531435412717,0.0,0.0,0.0,0.0,0.024650434174906817,0.0,0.0,0.0,0.0070949248565580925
pomegranate,0.05484780135891357,0.0,0.049318716987769455,0.05711669063289107,0.0,0.05608139045435611,0.0,0.0,0.0,0.0,0.0549828020248987,0.0,0.0,0.0,0.019453385818487778
litchi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allspice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apple,0.009004347237547006,0.0,0.007407678255416566,0.011427684419587459,0.0,0.009679146902728409,0.0,0.0,0.0,0.0,0.009658658910539629,0.0,0.0,0.0,0.00336982255184422
pepper,0.0006345956025731201,0.0,0.0005517573893617212,0.0,0.0,0.0006445527879048962,0.0,0.0,0.0,0.0,0.0006343340726558562,0.0005819979128409092,0.0,0.0,0.0002176598403811788
watermelon,0.017932887425804227,0.0,0.016117101769352108,0.018369062656425867,0.0,0.018187041824775405,0.0,0.0,0.0,0.0,0.018116736123274836,0.0,0.0,0.0,0.006337344985688032
cherry,0.061081064704231525,0.0,0.05403875630031251,0.0652301664033161,0.0,0.06292806723606903,0.0,0.07028694565966721,0.0,0.0,0.06334703446074086,0.0,0.0,0.0,0.026922288197452657
parsnip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orange,0.004469711108642994,0.0,0.0038631170798945876,0.004916129621203101,0.0,0.004593040919359507,0.0,0.005271497612256397,0.0,0.0,0.004585789158661031,0.0,0.0,0.0,0.0019785203928584013
yoghurt,0.01249555918706706,0.0,0.0,0.0,0.0,0.013070504791682555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001826147427053544
mangosteen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chilli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
melon,0.024268134907378773,0.0,0.020954861008321363,0.028906624702853267,0.0,0.026005952803285527,0.0,0.0,0.0,0.0,0.026026322965133155,0.0,0.0,0.0,0.009011564027640863
plantain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pear,0.021196085455750257,0.0,0.01845276454631684,0.021115073135736313,0.0,0.02219097167275077,0.0,0.0,0.0,0.0,0.021411774807364895,0.0,0.0,0.0,0.007454762115565648
doughnut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nectarine,0.04384640518383426,0.0,0.03856329686208419,0.049952423695188555,0.0,0.046074294942249044,0.0,0.0,0.0,0.0,0.045692096223391335,0.0,0.0,0.0,0.016009179779053386
mango,0.009520152086393415,0.0,0.00841389891411614,0.009663910167371356,0.0,0.009680426200227212,0.0,0.0,0.0,0.0,0.009666405636345663,0.0,0.0,0.0,0.0033531995003181275
huckleberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cookie,0.0002578867737993909,0.00038107582254303887,0.0,0.0,0.0,0.000269962728238373,0.0,0.0,0.0,0.0,0.0002758905537316673,0.0,0.0,0.0,8.462970559374785e-05
blueberry,0.05154245872306435,0.0,0.045911703235502525,0.05465769447984235,0.0,0.052173510358243365,0.0,0.0,0.0,0.0,0.05199020413809927,0.0,0.0,0.0,0.018305397923910848
pineapple,0.015759353588947037,0.0,0.013647138607152129,0.01558555958454007,0.0,0.01595865780904526,0.0,0.0,0.0,0.0,0.015745166701882106,0.0,0.0,0.0,0.005478276877969043
honey,0.006651367265428075,0.0,0.0,0.0,0.0,0.006824220250002484,0.0,0.0,0.0,0.0,0.006829723864471589,0.0,0.0,0.0,0.001450379384278725
beet,0.002087631799618071,0.0,0.0018846751169367677,0.0,0.0,0.0021717277787259978,0.0,0.0,0.0,0.0,0.002181211757631918,0.0019509831054623271,0.0,0.0,0.0007340163970267914
coconut,0.0017234901274237558,0.0,0.0015532255631007861,0.0019020146823833753,0.0,0.0017855578402733462,0.0,0.0,0.0,0.0,0.0017758012481523112,0.0,0.0,0.0,0.0006242921043809696
yogurt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carrot,0.0016160392807728096,0.0,0.0013847230780795166,0.0,0.0,0.0016843901274316336,0.0,0.0,0.0,0.0,0.0016814856343924764,0.001416359219317671,0.0,0.0,0.0005559283814281505
dessert,0.008086087822999959,0.0,0.0,0.0,0.0,0.008257618747835866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011674076122025587
saskatoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
