,reptile,food,fish,communication,plant,no-cat,vehicle,all,mammal,relation,bird,object,measure,animal,mean
snake,0.0031671548372688226,0.0,0.0,0.0,0.0,0.0,0.0,0.0023108083311015886,0.0,0.0,0.0,0.002312644252138506,0.0,0.002312644252138506,0.0007216608337605302
serpent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chameleon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
perch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
herring,0.0,0.009012862685995831,0.011298153827680684,0.0,0.0,0.0,0.0,0.009450058256896005,0.0,0.0,0.0,0.009449081995235562,0.0,0.009449081995235562,0.003475659911503117
fish,0.0,0.006181950271290657,0.007787186312061329,0.0,0.0,0.0,0.0,0.006900304799753168,0.0,0.0,0.0,0.006899916599856423,0.0,0.006899916599856423,0.0024763767559155716
croaker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sardine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
catfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sunfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
haddock,0.0,0.002918798128979655,0.004053300144519599,0.0,0.0,0.0,0.0,0.002432128018178594,0.0,0.0,0.0,0.002432128018178594,0.0,0.002432128018178594,0.0010191773091453597
trout,0.0,0.0036501811499495816,0.004757592626123143,0.0,0.0,0.0,0.0,0.003943502246941137,0.0,0.0,0.0,0.003943546923775265,0.0,0.003943546923775265,0.0014455978478974563
crab,0.0,0.0058003192585756895,0.0,0.0,0.0,0.0,0.0,0.005008296480967299,0.0,0.0,0.0,0.005008296480967299,0.0,0.005008296480967299,0.001487514907248399
albacore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
duckling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bass,0.0,0.0016163803013211845,0.002623179256095747,0.002229200371499757,0.0,0.0,0.0,0.0018496094696973855,0.0,0.0,0.0,0.001849611391110386,0.0,0.001849611391110386,0.0008583994414882034
shrimp,0.0,0.0032239880949878792,0.0,0.0,0.0,0.0,0.0,0.002943654951536954,0.0,0.0,0.0,0.002943654951536954,0.0,0.002943654951536954,0.0008610680678284814
octopus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cod,0.0,0.0046309877053542,0.0065064203936134705,0.0,0.0,0.0,0.0,0.005690324124448513,0.0,0.0,0.0,0.005690339404391281,0.0,0.005690339404391281,0.00201488650229991
bluefish,0.0,0.00732838141258097,0.009994810261317846,0.0,0.0,0.0,0.0,0.007838368290311273,0.0,0.0,0.0,0.007838368290311273,0.0,0.007838368290311273,0.0029170211817737593
whiting,0.0,0.007477813784698938,0.010117812109443335,0.0,0.0,0.0,0.0,0.008202344822052603,0.0,0.0,0.0,0.00820184836969938,0.0,0.00820184836969938,0.0030144048182566877
dog,0.0,0.006829440926128733,0.0,0.0,0.0,0.010174775093924431,0.0,0.007901727573648782,0.008973578851877452,0.0,0.0,0.007901757066693238,0.0,0.007901757066693238,0.0035487883270689906
duck,0.0,0.0008227878705297597,0.0,0.0,0.0,0.0,0.0,0.000925114434030937,0.0,0.0,0.0008026556279251907,0.0009251149532543863,0.0009851406565927277,0.0009251149532543863,0.00038470917825624197
bluefin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rockfish,0.0,0.03409827298434178,0.045517728488217814,0.0,0.0,0.0,0.0,0.0376998533367469,0.0,0.0,0.0,0.0376998533367469,0.0,0.0376998533367469,0.013765397248771448
plaice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
partridge,0.0,0.00388419301878067,0.0,0.0,0.0,0.0,0.0,0.004250284228269485,0.0,0.0,0.004311894647984615,0.004250284228269485,0.0,0.004250284228269485,0.00149621002511241
