,all,relation,no-cat,food,object,communication,warm,measure,mean,median
vinyl,0.0044427837197969135,0.0,0.0,0.0,0.0,0.0,0.0045184788687368796,0.0,0.001120157823566724,0.0
glass,0.002039850061675964,0.0,0.0,0.0,0.002102081809528199,0.0,0.0,0.002324587183240065,0.0008083148818055284,0.0
boot,0.0006984438432118924,0.0,0.0,0.0,0.0007135765551078472,0.0,0.0,0.0,0.00017650254978996744,0.0
corset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shawl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sun,0.003431730982547939,0.0,0.0,0.0,0.00378538925290448,0.0,0.0,0.0,0.0009021400294315523,0.0
feather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toilet,0.0011104849330432947,0.0,0.0,0.0,0.0011547663464238319,0.0,0.0,0.0,0.00028315640993339085,0.0
clothing,0.003101688961215447,0.0,0.0,0.0,0.003182639506441007,0.0,0.0,0.0,0.0007855410584570567,0.0
bodice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dad,0.0013847728132263192,0.0,0.0,0.0,0.0014213107180012499,0.0,0.0,0.0,0.0003507604414034461,0.0
underwear,0.0037777944490908896,0.0,0.0,0.0,0.003969674694096736,0.0,0.0,0.0,0.0009684336428984532,0.0
linen,0.002189382172257001,0.0020230543770307216,0.0,0.0,0.0022523938951132506,0.0,0.0,0.0,0.0008081038055501217,0.0
cape,0.00010667180465035006,0.0,0.0,0.0,0.00010883385669908901,0.0,0.0,0.0,2.6938207668679886e-05,0.0
skirt,0.0009365359802313893,0.0,0.0,0.0,0.0010053299178837017,0.0,0.0,0.0,0.00024273323726438638,0.0
legging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
casserole,0.0013099525611715867,0.0,0.0,0.0013821977999452504,0.0013129331350620476,0.0,0.0,0.0,0.0005006354370223605,0.0
people,0.003102893290916447,0.0,0.0,0.0,0.0,0.0,0.002588022097983835,0.0,0.0007113644236125353,0.0
footwear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soup,0.003486088848590725,0.0040272335103986425,0.0,0.0037486328854167213,0.0,0.0,0.0,0.0,0.001407744405550761,0.0
sunglass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sock,0.00412524029841512,0.0,0.0,0.0,0.00426827363340153,0.003966734213840221,0.0,0.0,0.0015450310182071089,0.0
parka,0.01075966939340139,0.0,0.0,0.0,0.011301973984950238,0.0,0.0,0.0,0.0027577054222939533,0.0
juice,0.0006075559105057752,0.0007339706966888057,0.0,0.0006733523792828723,0.0,0.0,0.0,0.0,0.0002518598733096817,0.0
necktie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mask,0.005475610706159217,0.0,0.0,0.0,0.005820363320980008,0.0,0.0,0.0,0.0014119967533924031,0.0
uniform,0.0028867207335684627,0.0,0.0,0.0,0.00303008097642432,0.0,0.0,0.0,0.0007396002137490978,0.0
stocking,0.0013148989107226062,0.0,0.0,0.0,0.0013657026681627342,0.0,0.0,0.0,0.0003350751973606675,0.0
kimono,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jumpsuit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
headdress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tea,0.0009599238988550603,0.0011092800118376617,0.0011301695407415322,0.0009985219029472342,0.0009580160768435357,0.0,0.0,0.0,0.0006444889289031281,0.0009580160768435357
comforter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calfskin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vapor,0.0049621008904878324,0.004649063245768103,0.0,0.0,0.0,0.0,0.0,0.0,0.001201395517031992,0.0
dress,0.0013275814991216986,0.0,0.0,0.0,0.0013879383900210146,0.0,0.0,0.0,0.00033943998614283913,0.0
denim,0.0014826042233120568,0.0,0.0,0.0,0.001590518524525065,0.0,0.0,0.0,0.00038414034347964023,0.0
toe,0.0007869174183605643,0.0,0.0,0.0,0.0008259113357946864,0.0,0.0,0.0,0.00020160359426940632,0.0
tunic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coat,0.0011788515141704264,0.0,0.0,0.0,0.0012535131912409562,0.0,0.0,0.0,0.0003040455881764228,0.0
wig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flame,0.07846903813599719,0.0,0.0,0.0,0.0,0.0,0.09023759300106739,0.0,0.021088328892133072,0.0
bathrobe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glove,0.0031668458226787564,0.0,0.0,0.0,0.003221289395871991,0.0,0.0,0.0,0.0007985169023188434,0.0
heat,0.00938375991175496,0.0,0.0,0.0,0.009505079587088306,0.0,0.0,0.011251329369647048,0.0037675211085612895,0.0
waistcoat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turtleneck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
garment,0.0009391998836939875,0.0,0.0,0.0,0.0009391267457735563,0.0,0.0,0.0,0.00023479082868344296,0.0
kettle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jungle,0.0031726717912107876,0.0,0.0,0.0,0.003232164646263345,0.0,0.0,0.0,0.0008006045546842665,0.0
blanket,0.0024414343298310216,0.0,0.0,0.0,0.0025073579832317317,0.0,0.0,0.0,0.0006185990391328442,0.0
blouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smoke,0.009305907414920099,0.010009753401361027,0.0,0.0,0.0,0.009056407337287848,0.0,0.0,0.0035465085191961213,0.0
robe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sweater,0.0010943644837666257,0.0,0.0,0.0,0.0011787393817901605,0.0,0.0,0.0,0.0002841379831945983,0.0
vest,0.0005252091273497075,0.0,0.0,0.0,0.0005514932001500326,0.0,0.0,0.0,0.00013458779093746752,0.0
helmet,0.0014819440739228893,0.0,0.0,0.0,0.0015381401086622096,0.0,0.0,0.0,0.0003775105228231374,0.0
outfit,0.00320260403288914,0.0,0.0,0.0,0.003215612063230311,0.0,0.0,0.0,0.0008022770120149314,0.0
nightgown,0.04120994469423418,0.0,0.0,0.0,0.039634339170907563,0.0,0.0,0.0,0.010105535483142719,0.0
taffeta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water,0.004490745148664457,0.004755424976386781,0.0,0.0043613561222070486,0.004498835033789047,0.0,0.0,0.0,0.0022632951601309166,0.0022632951601309166
leather,0.0006443128936441383,0.0005113651769046124,0.0,0.0,0.0,0.0,0.0,0.0,0.00014445975881859384,0.0
stove,0.020921345910440602,0.0,0.0,0.0,0.020956688452980984,0.0,0.0,0.0,0.005234754295427698,0.0
deerskin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sheepskin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quesadilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flannel,0.0022558938695037686,0.0,0.0,0.0,0.0024294120280119384,0.0,0.0,0.0,0.0005856632371894633,0.0
poncho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wool,0.0017176274444402802,0.0016220184171961746,0.0,0.0,0.001772210890785709,0.0,0.0,0.0,0.0006389820940527704,0.0
head,0.0014486286275400887,0.0,0.0,0.0,0.001478954625388928,0.0012587667352581473,0.0,0.0015065278693224507,0.0007116097321887018,0.0007116097321887018
waist,0.0034567955136840522,0.0,0.0,0.0,0.0035665863909241876,0.0,0.0,0.0,0.0008779227380760299,0.0
dragon,0.0005883902979409312,0.0,0.0,0.0,0.000601721800039706,0.0,0.0,0.0,0.00014876401224757965,0.0
candle,0.029224700077639824,0.0,0.0,0.0,0.02891664841664194,0.0,0.0,0.03616726553592905,0.011788576753776352,0.0
jacket,0.0019325270216548943,0.0015832346652773649,0.0,0.0,0.002078244727510621,0.0,0.0,0.0,0.0006992508018053601,0.0
nose,0.005627483517323387,0.0,0.0,0.0,0.005904518420134224,0.0051065393756168495,0.0,0.006113326010004995,0.002843983415384932,0.002843983415384932
turban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chiffon,0.0017159724807889185,0.0,0.0,0.0,0.0018508387970021837,0.0,0.0,0.0,0.0004458514097238878,0.0
undergarment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jean,7.311115191507497e-05,0.0,0.0,0.0,7.41636370894988e-05,0.0,0.0,0.0,1.8409348625571722e-05,0.0
towel,0.000964360906216974,0.0,0.0,0.0,0.0009983265458776763,0.0,0.0,0.0,0.0002453359315118313,0.0
sandal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
