,all,relation,no-cat,food,object,communication,warm,measure,mean,median
vinyl,0.0009693750158466766,0.0,0.0,0.0,0.0,0.0,0.0011296197171842199,0.0,0.00026237434162886203,0.0
glass,0.00556345922560566,0.0,0.0,0.0,0.005734314576494613,0.0,0.0,0.005939069817128185,0.0021546054524035573,0.0
boot,0.0012191527731851709,0.0,0.0,0.0,0.0012458118188481012,0.0,0.0,0.0,0.00030812057400415903,0.0
corset,0.008857469743007374,0.0,0.0,0.0,0.009096183335434287,0.0,0.0,0.0,0.002244206634805208,0.0
shawl,0.010170455541379837,0.0,0.0,0.0,0.010641617048165575,0.0,0.0,0.0,0.0026015090736931767,0.0
sun,0.014149218287589752,0.0,0.0,0.0,0.015610434536540627,0.0,0.0,0.0,0.0037199566030162974,0.0
feather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toilet,0.003392168028971182,0.0,0.0,0.0,0.0035281256315792073,0.0,0.0,0.0,0.0008650367075687987,0.0
clothing,0.05053143813469545,0.0,0.0,0.0,0.051860428405106275,0.0,0.0,0.0,0.012798983317475216,0.0
bodice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dad,0.000604289676215286,0.0,0.0,0.0,0.0006203558952668447,0.0,0.0,0.0,0.00015308069643526633,0.0
underwear,0.01318848644424354,0.0,0.0,0.0,0.013861071010497243,0.0,0.0,0.0,0.0033811946818425977,0.0
linen,0.007643252561564988,0.00628432878056234,0.0,0.0,0.007864773345333077,0.0,0.0,0.0,0.0027240443359325506,0.0
cape,0.0004654963592423243,0.0,0.0,0.0,0.0004750243824436387,0.0,0.0,0.0,0.00011756509271074537,0.0
skirt,0.0016347490905441334,0.0,0.001936920648805683,0.0,0.0017551752290289526,0.0,0.0,0.0,0.0006658556210473461,0.0
legging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gown,0.003257484056184995,0.0,0.0,0.0,0.003519152214326683,0.0,0.0,0.0,0.0008470795338139598,0.0
casserole,0.008002952701568858,0.0,0.0,0.00818337832378954,0.008022736479474627,0.0,0.0,0.0,0.003026133438104128,0.0
people,0.0027080924238105128,0.0,0.0,0.0,0.0,0.0,0.002588022097983835,0.0,0.0006620143152242935,0.0
footwear,0.00067495082997136,0.0,0.0,0.0,0.000692555239598109,0.0,0.0,0.0,0.00017093825869618362,0.0
soup,0.013691392070285285,0.014073777358947052,0.0,0.01426756358068756,0.0,0.0,0.0,0.0,0.005254091626239987,0.0
sunglass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sock,0.0054005395695881,0.0,0.0,0.0,0.005588887801007238,0.0059501013207603325,0.0,0.0,0.0021174410864194587,0.0
parka,0.056343888948311466,0.0,0.0,0.0,0.059195328094699365,0.0,0.0,0.0,0.014442402130376354,0.0
juice,0.002014960275873667,0.002165976142004496,0.0,0.0021641650924587095,0.0,0.0,0.0,0.0,0.000793137688792109,0.0
necktie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mask,0.004181549659936146,0.0,0.0,0.0,0.0044456987081082045,0.0,0.0,0.0,0.0010784060460055438,0.0
uniform,0.007054389655980974,0.0,0.0,0.0,0.007406177980015,0.0,0.0,0.0,0.0018075709544994967,0.0
stocking,0.0011475959513750711,0.0,0.0,0.0,0.001192169580720303,0.0,0.0,0.0,0.0002924706915119218,0.0
kimono,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jumpsuit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
headdress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tea,0.00837786670116603,0.008614548851531055,0.011301695407415324,0.008445434300080587,0.00836285709385299,0.0,0.0,0.0,0.005637800294255748,0.00836285709385299
comforter,0.027455093449491704,0.0,0.0,0.0,0.02616713061954749,0.0,0.0,0.0,0.006702778008629899,0.0
calfskin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vapor,0.018766545218906514,0.01564512014468243,0.0,0.0,0.0,0.0,0.0,0.0,0.004301458170448618,0.0
dress,0.006951989119871963,0.0,0.0,0.0,0.0072694795158727765,0.0,0.0,0.0,0.0017776835794680924,0.0
denim,0.0012939630493947803,0.0,0.0,0.0,0.0013884191974683749,0.0,0.0,0.0,0.00033529778085789443,0.0
toe,0.0013735858110656216,0.0,0.0,0.0,0.0014419337295885999,0.0,0.0,0.0,0.0003519399425817777,0.0
tunic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coat,0.02092012753427677,0.0,0.0,0.0,0.022249454477039663,0.0,0.0,0.0,0.005396197751414554,0.0
wig,0.0017539950009575799,0.0,0.0,0.0,0.0018296689260553264,0.0017866539242374928,0.0,0.0,0.0006712897314062999,0.0
flame,0.006763942998791232,0.0,0.0,0.0,0.0,0.0,0.008912354864302951,0.0,0.001959537232886773,0.0
bathrobe,0.015236831574365716,0.0,0.0,0.0,0.016301768472126114,0.0,0.0,0.0,0.003942325005811479,0.0
glove,0.00184260524521386,0.0,0.0,0.0,0.0018746507166755495,0.0,0.0,0.0,0.00046465699523617616,0.0
heat,0.02040510587571973,0.0,0.0,0.0,0.020672974029547077,0.0,0.0,0.022918792438632575,0.007999609042987424,0.0
waistcoat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turtleneck,0.006056276938458759,0.0,0.0,0.0,0.0064483688221398305,0.0,0.0,0.0,0.0015630807200748237,0.0
garment,0.000409849751669061,0.0,0.0,0.0,0.0004098982761226744,0.0,0.0,0.0,0.00010246850347396693,0.0
kettle,0.010121414447764746,0.0,0.0,0.0,0.009876302163783103,0.0,0.0,0.010240055489469314,0.0037797215126271454,0.0
jungle,0.0011867110976944675,0.0,0.0,0.0,0.0012092011976114038,0.0,0.0,0.0,0.0002994890369132339,0.0
blanket,0.04048510684941311,0.0,0.0,0.0,0.04158644756293978,0.0,0.0,0.0,0.010258944301544112,0.0
blouse,0.0020870591604239216,0.0,0.0,0.0,0.0022544437198283216,0.0,0.0,0.0,0.0005426878600315304,0.0
smoke,0.00118443756244654,0.0011336305254182318,0.0,0.0,0.0,0.0013207260700211446,0.0,0.0,0.00045484926973573956,0.0
robe,0.007308839073610128,0.0,0.0,0.0,0.00781988691864294,0.0,0.0,0.0,0.0018910907490316334,0.0
sweater,0.019102430470629452,0.0,0.0,0.0,0.020579255899935568,0.0,0.0,0.0,0.004960210796320627,0.0
vest,0.0018335337059197283,0.0,0.0,0.0,0.001925670740842748,0.0,0.0,0.0,0.00046990055584530954,0.0
helmet,0.002586773790030106,0.0,0.0,0.0,0.0026853924960105664,0.0,0.0,0.0,0.000659020785755084,0.0
outfit,0.007453643555470555,0.0,0.0,0.0,0.0074853870212470575,0.0,0.0,0.0,0.0018673788220897017,0.0
nightgown,0.017983270539597643,0.0,0.0,0.0,0.01729909980152314,0.0,0.0,0.0,0.004410296292640098,0.0
taffeta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water,0.04210511441219223,0.039673497261344386,0.0,0.03962832742138774,0.04218924440401697,0.0,0.0,0.0,0.020449522937367667,0.020449522937367667
leather,0.002249331449391573,0.001588482709651955,0.0,0.0,0.0,0.0,0.0,0.0,0.00047972676988044095,0.0
stove,0.04017065773678246,0.0,0.0,0.0,0.040246416406106426,0.0,0.0,0.0,0.01005213426786111,0.0
deerskin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sheepskin,0.015199234389274171,0.010285210000401005,0.0,0.0,0.0,0.014364396171739412,0.0,0.0,0.004981105070176824,0.0
quesadilla,0.02396893981716394,0.0,0.0,0.021354574492196896,0.0,0.0,0.0,0.0,0.005665439288670105,0.0
flannel,0.003937724261938367,0.0,0.0,0.0,0.004241437300152862,0.0,0.0,0.0,0.0010223951952614036,0.0
poncho,0.013350749877083526,0.0,0.0,0.0,0.013205185804615592,0.0,0.0,0.0,0.0033194919602123896,0.0
wool,0.013491744929003069,0.011336777972663917,0.0,0.0,0.013923223315602248,0.0,0.0,0.0,0.004843968277158654,0.0
head,0.002686659568059149,0.002226519880644582,0.00351245568751486,0.0,0.002743441239523795,0.002674879312423563,0.0,0.002617331153706763,0.0020576608552340886,0.002617331153706763
waist,0.0022627240603168785,0.0,0.0,0.0,0.002335048415767705,0.0,0.0,0.0,0.0005747215595105729,0.0
dragon,0.0010270513090231519,0.0,0.0015571191077530446,0.0,0.0010505279703797487,0.0,0.0,0.0,0.0004543372983944931,0.0
candle,0.004136149530142582,0.0,0.0,0.0,0.004093354513930994,0.0,0.0,0.004794990720833774,0.0016280618456134188,0.0
jacket,0.034744769699413085,0.02532817284829833,0.0,0.0,0.037371952318531285,0.0,0.0,0.0,0.012180611858280337,0.0
nose,0.0017334575165695915,0.0,0.0,0.0,0.001819150747140506,0.001802308014923594,0.0,0.0017640157378102704,0.0008898665020554953,0.0008898665020554953
turban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chiffon,0.0014976383777990942,0.0,0.0,0.0,0.0016156618596721082,0.0,0.0,0.0,0.00038916252968390034,0.0
undergarment,0.04342183040594128,0.0,0.0,0.0,0.0448204782644088,0.0,0.0,0.0,0.011030288583793759,0.0
jean,0.00012761750923042325,0.0,0.0,0.0,0.00012948006062348132,0.0,0.0,0.0,3.2137196231738074e-05,0.0
towel,0.038716319924105104,0.0,0.0,0.0,0.04008780981310895,0.0,0.0,0.0,0.009850516217151757,0.0
sandal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slipper,0.012325335008559415,0.0,0.0,0.0,0.011920529688348724,0.0,0.0,0.0,0.0030307330871135177,0.0
shoe,0.0020507303397694823,0.0,0.0,0.0,0.00212885747322261,0.0,0.0,0.0,0.0005224484766240115,0.0
drink,0.011461293810273237,0.01079505517271633,0.0,0.010858230450972754,0.0,0.0,0.0,0.010970865430094238,0.0055106806080070705,0.0055106806080070705
mug,0.011050458626850465,0.0,0.0,0.0,0.011374888600626274,0.0,0.0,0.012060481432862534,0.004310728582542409,0.0
pullover,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leotard,0.000973650117851239,0.0,0.0,0.0,0.0010101335728188766,0.0,0.0,0.0,0.00024797296133376444,0.0
coverall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cloak,0.0019441056888534237,0.0,0.0,0.0,0.002171730377658793,0.0,0.0,0.0,0.0005144795083140271,0.0
cassock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bed,0.017432518259527793,0.0,0.0,0.0,0.017613723362552947,0.0,0.0,0.0,0.0043807802027600925,0.0
cheesecloth,0.01307476381182686,0.0,0.0,0.0,0.012716262417686149,0.0,0.0,0.0,0.003223878278689126,0.0
cloth,0.014746990321219518,0.0,0.0,0.0,0.01530047191654563,0.0,0.0,0.0,0.0037559327797206435,0.0
mitten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
overcoat,0.04142745094150692,0.0,0.0,0.0,0.04219277700561957,0.0,0.0,0.0,0.01045252849339081,0.0
winter,0.0739837615254251,0.0,0.0,0.0,0.0,0.0,0.0,0.0780271057622251,0.019001358410956275,0.0
scarf,0.003685067679978464,0.0,0.0,0.0,0.003967016317026635,0.0,0.0,0.0,0.0009565104996256373,0.0
fireplace,0.04066111652347532,0.0,0.0,0.0,0.04029948465450673,0.0,0.0,0.0,0.010120075147247757,0.0
loincloth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile,0.0007164357914534947,0.0,0.0,0.0,0.0007549996960470245,0.0,0.0,0.0,0.0001839294359375649,0.0
coffee,0.009544954248785065,0.009598141879765303,0.012668252461433273,0.009604188950571097,0.009580018058124182,0.0,0.0,0.0,0.0063744444498348655,0.009544954248785065
hat,0.0019244602692003792,0.0,0.0,0.0,0.0019189740837750615,0.0,0.0,0.0,0.0004804292941219301,0.0
tortilla,0.03174086361314783,0.0,0.0,0.033937801651863775,0.0,0.0,0.0,0.0,0.008209833158126451,0.0
frock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cake,0.020282160389783532,0.0,0.0,0.02050454248079269,0.019934771211321364,0.0,0.0,0.0,0.007590184260237198,0.0
costume,0.000639522279283346,0.0,0.0,0.0,0.0006715994342838814,0.0,0.0,0.0,0.00016389021419590342,0.0
sleeve,0.011667707038745865,0.0,0.0,0.0,0.012213893448077735,0.0,0.0,0.0,0.0029852000608529498,0.0
basement,0.00670299156472631,0.0,0.0,0.0,0.00691214960723258,0.0,0.0,0.0,0.001701892646494861,0.0
topcoat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shalwar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lava,0.0012684776759260576,0.0011851003053263824,0.0,0.0,0.0,0.0,0.0,0.0,0.00030669724765655497,0.0
attire,0.004010294549739171,0.0,0.0,0.0,0.004208489249797785,0.0,0.0,0.0,0.0010273479749421195,0.0
atmosphere,0.036766941535176664,0.0,0.0,0.0,0.03678916919366693,0.0,0.0,0.04005330037054818,0.014201176387423974,0.0
trouser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,0.006210494004549131,0.0,0.0,0.0,0.0065117662283252645,0.0,0.0,0.0,0.0015902825291092995,0.0
bathtub,0.03644178570162466,0.0,0.0,0.0,0.035765518258516926,0.0,0.0,0.0,0.009025912995017697,0.0
undershirt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brogue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
suit,0.005375564681453378,0.004827259276664369,0.0,0.0,0.005511229778127573,0.0,0.0,0.0,0.001964256717030665,0.0
